ts_ns,nav
1709019000000000000,89726.53206123
1709019060000000000,89956.08166123
1709019120000000000,90734.49846123
1709019180000000000,91242.32886123
1709019240000000000,91409.04086123
1709019300000000000,91818.12646123
1709019360000000000,91802.73766123
1709019420000000000,92078.45366123
1709019480000000000,91120.50086123
1709019540000000000,90461.34726123
1709019600000000000,89967.62326123
1709019660000000000,89295.64566123
1709019720000000000,90016.35446123
1709019780000000000,89711.14326123
1709019840000000000,90104.84006123
1709019900000000000,90161.26566123
1709019960000000000,89316.16406123
1709020020000000000,88324.86886123
1709020080000000000,88526.20566123
1709020140000000000,88755.75526123
1709020200000000000,88757.03766123
1709020260000000000,88418.48406123
1709020320000000000,88841.67606123
1709020380000000000,89314.88166123
1709020440000000000,89462.35766123
1709020500000000000,89389.26086123
1709020560000000000,88989.84109475
1709020620000000000,88989.84109475
1709020680000000000,88989.84109475
1709020740000000000,88989.84109475
1709020800000000000,88989.84109475
1709020860000000000,88989.84109475
1709020920000000000,88989.84109475
1709020980000000000,88989.84109475
1709021040000000000,88989.84109475
1709021100000000000,88989.84109475
1709021160000000000,88989.84109475
1709021220000000000,88989.84109475
1709021280000000000,88989.84109475
1709021340000000000,88989.84109475
1709021400000000000,88989.84109475
1709021460000000000,88989.84109475
1709021520000000000,88989.84109475
1709021580000000000,88989.84109475
1709021640000000000,88989.84109475
1709021700000000000,88989.84109475
1709021760000000000,88286.61422744
1709021820000000000,88256.36612744
1709021880000000000,88001.92622744
1709021940000000000,86320.97810252
1709022000000000000,86320.97810252
1709022060000000000,86320.97810252
1709022120000000000,86320.97810252
1709022180000000000,86320.97810252
1709022240000000000,86320.97810252
1709022300000000000,86320.97810252
1709022360000000000,86320.97810252
1709022420000000000,86320.97810252
1709022480000000000,86320.97810252
1709022540000000000,86320.97810252
1709022600000000000,86320.97810252
1709022660000000000,86320.97810252
1709022720000000000,86320.97810252
1709022780000000000,86320.97810252
1709022840000000000,86320.97810252
1709022900000000000,86320.97810252
1709022960000000000,86320.97810252
1709023020000000000,86320.97810252
1709023080000000000,86320.97810252
1709023140000000000,86320.97810252
1709023200000000000,86320.97810252
1709023260000000000,86320.97810252
1709023320000000000,86320.97810252
1709023380000000000,86320.97810252
1709023440000000000,86320.97810252
1709023500000000000,86320.97810252
1709023560000000000,86320.97810252
1709023620000000000,86320.97810252
1709023680000000000,86320.97810252
1709023740000000000,86320.97810252
1709023800000000000,86320.97810252
1709023860000000000,86320.97810252
1709023920000000000,86320.97810252
1709023980000000000,86320.97810252
1709024040000000000,86320.97810252
1709024100000000000,86320.97810252
1709024160000000000,86320.97810252
1709024220000000000,86320.97810252
1709024280000000000,86320.97810252
1709024340000000000,86320.97810252
1709024400000000000,86320.97810252
1709024460000000000,86320.97810252
1709024520000000000,86320.97810252
1709024580000000000,86320.97810252
1709024640000000000,86320.97810252
1709024700000000000,86320.97810252
1709024760000000000,86320.97810252
1709024820000000000,86320.97810252
1709024880000000000,86320.97810252
1709024940000000000,86320.97810252
1709025000000000000,86320.97810252
1709025060000000000,86320.97810252
1709025120000000000,86320.97810252
1709025180000000000,86320.97810252
1709025240000000000,86320.97810252
1709025300000000000,86320.97810252
1709025360000000000,86320.97810252
1709025420000000000,86320.97810252
1709025480000000000,86320.97810252
1709025540000000000,86320.97810252
1709025600000000000,86320.97810252
1709025660000000000,86320.97810252
1709025720000000000,86320.97810252
1709025780000000000,86320.97810252
1709025840000000000,86320.97810252
1709025900000000000,86320.97810252
1709025960000000000,86320.97810252
1709026020000000000,86320.97810252
1709026080000000000,86320.97810252
1709026140000000000,86320.97810252
1709026200000000000,86320.97810252
1709026260000000000,86320.97810252
1709026320000000000,86320.97810252
1709026380000000000,86320.97810252
1709026440000000000,86320.97810252
1709026500000000000,86320.97810252
1709026560000000000,86320.97810252
1709026620000000000,86320.97810252
1709026680000000000,86320.97810252
1709026740000000000,86320.97810252
1709026800000000000,86320.97810252
1709026860000000000,86320.97810252
1709026920000000000,86320.97810252
1709026980000000000,86320.97810252
1709027040000000000,86320.97810252
1709027100000000000,86320.97810252
1709027160000000000,86320.97810252
1709027220000000000,86320.97810252
1709027280000000000,86320.97810252
1709027340000000000,86320.97810252
1709027400000000000,86320.97810252
1709027460000000000,86320.97810252
1709027520000000000,86320.97810252
1709027580000000000,86320.97810252
1709027640000000000,86320.97810252
1709027700000000000,86320.97810252
1709027760000000000,86320.97810252
1709027820000000000,86320.97810252
1709027880000000000,86320.97810252
1709027940000000000,86320.97810252
1709028000000000000,86320.97810252
1709028060000000000,86320.97810252
1709028120000000000,86320.97810252
1709028180000000000,86320.97810252
1709028240000000000,86320.97810252
1709028300000000000,86320.97810252
1709028360000000000,86320.97810252
1709028420000000000,86320.97810252
1709028480000000000,86320.97810252
1709028540000000000,86320.97810252
1709028600000000000,86320.97810252
1709028660000000000,86320.97810252
1709028720000000000,86320.97810252
1709028780000000000,86320.97810252
1709028840000000000,86320.97810252
1709028900000000000,86320.97810252
1709028960000000000,86320.97810252
1709029020000000000,86320.97810252
1709029080000000000,86320.97810252
1709029140000000000,86320.97810252
1709029200000000000,86320.97810252
1709029260000000000,86320.97810252
1709029320000000000,86320.97810252
1709029380000000000,86320.97810252
1709029440000000000,86320.97810252
1709029500000000000,86320.97810252
1709029560000000000,86320.97810252
1709029620000000000,86320.97810252
1709029680000000000,86320.97810252
1709029740000000000,86320.97810252
1709029800000000000,86320.97810252
1709029860000000000,86320.97810252
1709029920000000000,86320.97810252
1709029980000000000,86320.97810252
1709030040000000000,86320.97810252
1709030100000000000,86320.97810252
1709030160000000000,86320.97810252
1709030220000000000,85695.1215098
1709030280000000000,85728.2679098
1709030340000000000,87158.2983098
1709030400000000000,85425.2151098
1709030460000000000,85095.3295098
1709030520000000000,84612.3391098
1709030580000000000,83731.42207396
1709030640000000000,83731.42207396
1709030700000000000,83731.42207396
1709030760000000000,83731.42207396
1709030820000000000,83731.42207396
1709030880000000000,83731.42207396
1709030940000000000,83731.42207396
1709031000000000000,83731.42207396
1709031060000000000,83731.42207396
1709031120000000000,83731.42207396
1709031180000000000,83731.42207396
1709031240000000000,83731.42207396
1709031300000000000,83731.42207396
1709031360000000000,83731.42207396
1709031420000000000,83731.42207396
1709031480000000000,83731.42207396
1709031540000000000,83731.42207396
1709031600000000000,83731.42207396
1709031660000000000,83731.42207396
1709031720000000000,83731.42207396
1709031780000000000,83731.42207396
1709031840000000000,83731.42207396
1709031900000000000,83731.42207396
1709031960000000000,83731.42207396
1709032020000000000,83731.42207396
1709032080000000000,83731.42207396
1709032140000000000,83731.42207396
1709032200000000000,83731.42207396
1709032260000000000,83731.42207396
1709032320000000000,83731.42207396
1709032380000000000,83731.42207396
1709032440000000000,83731.42207396
1709032500000000000,83731.42207396
1709032560000000000,83731.42207396
1709032620000000000,83731.42207396
1709032680000000000,83159.14655833
1709032740000000000,82258.33405833
1709032800000000000,81220.03681611
1709032860000000000,81220.03681611
1709032920000000000,81220.03681611
1709032980000000000,81220.03681611
1709033040000000000,81220.03681611
1709033100000000000,81220.03681611
1709033160000000000,81220.03681611
1709033220000000000,81220.03681611
1709033280000000000,81220.03681611
1709033340000000000,81220.03681611
1709033400000000000,81220.03681611
1709033460000000000,81220.03681611
1709033520000000000,81220.03681611
1709033580000000000,81220.03681611
1709033640000000000,81220.03681611
1709033700000000000,81220.03681611
1709033760000000000,81220.03681611
1709033820000000000,81220.03681611
1709033880000000000,81220.03681611
1709033940000000000,81220.03681611
1709034000000000000,81220.03681611
1709034060000000000,81220.03681611
1709034120000000000,81220.03681611
1709034180000000000,81220.03681611
1709034240000000000,81220.03681611
1709034300000000000,81220.03681611
1709034360000000000,81220.03681611
1709034420000000000,81220.03681611
1709034480000000000,81220.03681611
1709034540000000000,81220.03681611
1709034600000000000,81220.03681611
1709034660000000000,81220.03681611
1709034720000000000,81220.03681611
1709034780000000000,81220.03681611
1709034840000000000,81220.03681611
1709034900000000000,81220.03681611
1709034960000000000,81220.03681611
1709035020000000000,81220.03681611
1709035080000000000,81220.03681611
1709035140000000000,81220.03681611
1709035200000000000,81220.03681611
1709035260000000000,81220.03681611
1709035320000000000,80534.69402843
1709035380000000000,79939.60352843
1709035440000000000,79860.25812843
1709035500000000000,78784.11164735
1709035560000000000,78784.11164735
1709035620000000000,78784.11164735
1709035680000000000,78202.60058735
1709035740000000000,79226.35058735
1709035800000000000,78663.28808735
1709035860000000000,77886.70058735
1709035920000000000,78335.68808735
1709035980000000000,78274.26308735
1709036040000000000,78436.60058735
1709036100000000000,78148.48808735
1709036160000000000,78477.55058735
1709036220000000000,79052.31308735
1709036280000000000,79267.30058735
1709036340000000000,79597.82558735
1709036400000000000,79900.56308735
1709036460000000000,80339.31308735
1709036520000000000,79894.71308735
1709036580000000000,80277.88808735
1709036640000000000,80500.18808735
1709036700000000000,80848.03113485
1709036760000000000,80848.03113485
1709036820000000000,80848.03113485
1709036880000000000,80848.03113485
1709036940000000000,80848.03113485
1709037000000000000,80848.03113485
1709037060000000000,80848.03113485
1709037120000000000,80848.03113485
1709037180000000000,80848.03113485
1709037240000000000,80848.03113485
1709037300000000000,80848.03113485
1709037360000000000,80848.03113485
1709037420000000000,80848.03113485
1709037480000000000,80848.03113485
1709037540000000000,80848.03113485
1709037600000000000,80848.03113485
1709037660000000000,80848.03113485
1709037720000000000,80848.03113485
1709037780000000000,80848.03113485
1709037840000000000,80848.03113485
1709037900000000000,80848.03113485
1709037960000000000,80848.03113485
1709038020000000000,80848.03113485
1709038080000000000,80848.03113485
1709038140000000000,80848.03113485
1709038200000000000,80848.03113485
1709038260000000000,80848.03113485
1709038320000000000,80848.03113485
1709038380000000000,80848.03113485
1709038440000000000,80848.03113485
1709038500000000000,80848.03113485
1709038560000000000,80848.03113485
1709038620000000000,80848.03113485
1709038680000000000,80848.03113485
1709038740000000000,80848.03113485
1709038800000000000,80848.03113485
1709038860000000000,80848.03113485
1709038920000000000,80848.03113485
1709038980000000000,80848.03113485
1709039040000000000,80848.03113485
1709039100000000000,80848.03113485
1709039160000000000,80848.03113485
1709039220000000000,80848.03113485
1709039280000000000,80848.03113485
1709039340000000000,80848.03113485
1709039400000000000,80848.03113485
1709039460000000000,80848.03113485
1709039520000000000,80848.03113485
1709039580000000000,80848.03113485
1709039640000000000,80848.03113485
1709039700000000000,80848.03113485
1709039760000000000,80848.03113485
1709039820000000000,80848.03113485
1709039880000000000,80848.03113485
1709039940000000000,80848.03113485
1709040000000000000,80848.03113485
1709040060000000000,80848.03113485
