symbol,spot_state,perp_state,spot_direction,futures_direction,spot_return_z,futures_return_z,spot_volume_z,futures_volume_z,relative_return_z,open_interest_z,spot_directional_taker_pressure,futures_directional_taker_pressure,spot_confirmation_follow,futures_confirmation_follow_spot_direction,futures_confirmation_follow_futures_direction,confirmation_open_interest_z,confirmation_futures_pressure_spot_direction,confirmation_futures_pressure_futures_direction,spot_gap_repair,perp_gap_repair,spot_index_follow_ratio,perp_spot_follow_ratio,entry_ts,entry_price,spot_continuation_return,perp_reversal_return,event_score,spot_cross_market_breadth,route,horizon_minutes,gross_return,net_return,state_quality,rank_score
SOLUSDT,True,False,-1.0,-1.0,-2.128644330998392,-2.070138684017728,1.7311527792592316,0.2773653763096177,1.1972339727115004,7.447251764214723,0.6478524710239243,0.22491500588514146,0.0016794837797223794,0.0019452672531942161,0.0019452672531942161,0.5887165861576025,0.5610582950663507,0.5610582950663507,2.5364532913954205,2.5364532913954205,0.26949850308873574,0.2938967423454155,2025-02-01 14:55:00+00:00,225.75,-0.0,0.002923588039867031,21.285785788276524,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.0,-0.0016,5.0907206080930845,108.3599883718342
SOLUSDT,True,False,-1.0,-1.0,-2.355521600827465,-2.2956356099326403,2.471191016732294,1.6414682288309597,1.3210381953067722,3.0610758329113867,0.509555434946436,0.21712548503956042,0.008034734005389677,0.008285913946291301,0.008285913946291301,0.8378825887405127,0.2520308135407031,0.2520308135407031,2.28478161031762,2.28478161031762,1.0562940061939132,1.1744685098313166,2025-02-02 18:45:00+00:00,198.68,-0.025417757197503388,0.03201127441111318,11.994283483916439,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.025417757197503388,-0.02701775719750339,7.38760384490192,88.60901478262468
XRPUSDT,True,False,-1.0,-1.0,-10.25848448939034,-10.099630280808604,4.0024893940925725,3.307848923906734,7.486306374694541,5.699623894191617,0.15358556907172372,0.14649019515967587,0.05368259745235138,0.05498495198968145,0.05498495198968145,0.3793871046865653,0.1852362834737349,0.1852362834737349,2.3340009260914987,2.3340009260914987,1.2277667842428301,1.277797861580973,2025-02-03 02:00:00+00:00,1.9782,-0.14199777575573758,0.12122131230411481,269.0776351479975,0.75,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.14199777575573758,-0.14359777575573757,12.24966933984765,3296.1120573111375
BTCUSDT,True,False,1.0,1.0,8.48795795035172,8.214583386705819,3.2417758200081694,2.685086267663502,-3.009225858831788,1.4581431619875755,0.15359022227163988,0.11827132056724987,0.00424467661854111,0.00444440278142344,0.00444440278142344,1.2884905457673284,0.01941269963847625,0.01941269963847625,1.5511806872019003,1.5511806872019003,0.36358159869077933,0.31343899243629586,2025-02-03 14:40:00+00:00,96435.1,0.024130218146712235,-0.015799226630137664,18.544055463635807,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.024130218146712235,0.022530218146712234,0.8223646800997384,15.249976239104667
XRPUSDT,True,False,1.0,1.0,4.269497496094891,4.241541851703491,3.034357292447312,3.227615210336397,-1.3072772584418213,1.9700640533468017,0.10381985783161873,0.13086369583219137,0.00420521446593769,0.0042918454935623185,0.0042918454935623185,1.0494982610559211,0.01870858948256937,0.01870858948256937,1.5255866135977252,1.5255866135977252,0.3265666990956619,0.3181855177839839,2025-02-12 13:50:00+00:00,2.3868,0.004860063683593152,0.0006284565108094498,3.463952780101896,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.004860063683593152,0.0032600636835931522,0.9814973073845609,3.399860326577275
SOLUSDT,True,False,-1.0,-1.0,-3.927422724332129,-3.8344092270469865,3.0508437827222763,3.1572016410738315,1.4189472227778752,2.135872498254656,0.5357869324423091,0.15784139588245194,0.006149341142020592,0.006209724663151728,0.006209724663151728,4.296501229592715,0.23741802834752168,0.23741802834752168,1.3547797446278693,1.3547797446278693,0.7281357770035105,0.7202258941644145,2025-02-18 06:10:00+00:00,169.64,0.01939401084649839,-0.033482669181796654,19.456346957050993,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.01939401084649839,0.017794010846498388,2.1069604780906457,40.99375408652564
ETHUSDT,False,True,-1.0,-1.0,-5.38195475056852,-5.413491877936156,3.034574661189936,3.07773197146562,-1.529427111312215,-3.3834620609922457,0.17158022584114818,0.21125490938439695,-0.004726503065636267,-0.004865822403135933,-0.004865822403135933,0.0016486265310061046,-0.19614770657745617,-0.19614770657745617,2.0763718080340787,2.0763718080340787,-0.5062646645459941,-0.4724757732538474,2025-02-21 17:45:00+00:00,2666.11,0.012216300152656956,0.005761202651053177,18.21399409328889,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.005761202651053177,0.004161202651053177,4.373094759259588,79.65152211454672
ETHUSDT,False,True,1.0,1.0,3.753380728153723,3.7990572939689553,1.7646515345559488,2.1428431314364778,1.8085666810062584,-1.6217064383439286,0.283448305944513,0.31157657308720377,-0.0027976672270303427,-0.002981393282314615,-0.002981393282314615,1.5247391447890895,-0.020444307084121593,-0.020444307084121593,2.1523677339419307,2.1523677339419307,-0.2721930981833771,-0.32221622823077617,2025-02-25 08:25:00+00:00,2401.09,-0.014068610506061896,0.004277224094057286,7.4393978602019155,0.25,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.004277224094057286,0.002677224094057286,1.6482748112794365,12.262172104056956
ETHUSDT,False,True,-1.0,-1.0,-6.707027086188218,-7.173890163833941,3.138785828387073,2.6783872917924216,-15.432875049651615,-2.89346344737076,0.27164318899101236,0.2675559849657084,-0.009120245614535394,-0.010677309051424277,-0.010677309051424277,0.40638982363541554,-0.04854082446563579,-0.04854082446563579,2.0214804777971045,2.0214804777971045,-0.5277951269621649,-0.41981098840864317,2025-02-28 04:10:00+00:00,2122.2,0.001295825087173741,0.0007727829610781889,229.56602234432697,0.75,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.0007727829610781889,-0.0008272170389218112,3.332869983190721,765.1137050318977
BTCUSDT,True,False,-1.0,-1.0,-3.1050875974268353,-3.045111249623049,1.7689816238259102,1.6260544057677837,1.390371509811074,1.1031709568136936,0.35061904479539496,0.23782616127419431,0.0028169972286962164,0.00307124683226101,0.00307124683226101,-0.19309245659270777,0.07707712912769649,0.07707712912769649,3.1637764811921696,3.1637764811921696,0.4107207164180128,0.43675908470053865,2025-02-28 08:20:00+00:00,78520.9,-0.017181412846770883,0.010250773997751095,2.9539719016018045,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.017181412846770883,-0.018781412846770883,1.4334918290280272,4.23449458412457
XRPUSDT,True,False,1.0,1.0,12.957445437098263,12.791386185624095,4.008224549017591,4.1591338476288735,-6.280489387393198,15.402070707237955,0.10824667421792755,0.008851254084824456,0.01604171642385177,0.016018489002231462,0.016018489002231462,6.145589913694959,0.05161067093757121,0.05161067093757121,0.9745787810429951,0.9745787810429951,0.31061465627849577,0.30551013291559176,2025-03-02 15:40:00+00:00,2.5498,0.15432582947682172,-0.16491489528590475,543.8242795314229,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.15432582947682172,0.15272582947682173,4.66249101887765,2535.575819162868
SOLUSDT,True,False,-1.0,-1.0,-3.680340392029336,-3.663090051272996,2.2434382595271947,2.3589375952619784,1.1113890563135853,0.9639684171927144,0.14889891398038968,0.15233560078554464,0.0056770395290159925,0.005819252611652392,0.005819252611652392,1.930726705332859,0.09450745519248072,0.09450745519248072,1.726173872299836,1.726173872299836,0.2978334340958988,0.30011927517394393,2025-03-03 20:00:00+00:00,141.8,0.014386459802538942,0.01812411847672779,1.3171115602678864,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.014386459802538942,0.012786459802538942,0.4955880126038145,0.6527447005306711
XRPUSDT,True,False,-1.0,-1.0,-3.1293201832032485,-3.0286929435309142,1.720255613236701,1.77501503818408,4.242649792216811,3.2730857714837454,0.19438879586435942,0.27997926499134307,0.005398051435091644,0.005661122569886379,0.005661122569886379,1.040826187632628,0.010418828403651048,0.010418828403651048,1.3869159019082917,1.3869159019082917,0.4844445214878989,0.33428949007528896,2025-03-04 01:45:00+00:00,2.2658,-0.00679671639156143,0.00044134522023120404,14.531444420183266,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.00679671639156143,-0.008396716391561431,2.1991333400542765,31.956583903570706
ETHUSDT,False,True,1.0,1.0,4.490279408330982,4.580858818157232,1.8198265431390532,2.0654526655288477,3.5167835664227156,-4.517708457995008,0.38545796932519094,0.3001984238363733,-0.0024393241748372763,-0.0028321513002362853,-0.0028321513002362853,0.7628936579418584,-0.11931996147276913,-0.11931996147276913,1.948910324671868,1.948910324671868,-0.00808678814448921,-0.13806096530721224,2025-03-04 17:25:00+00:00,2109.01,0.026604899929350667,-0.0073304536251603825,45.12678602803486,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.0073304536251603825,-0.008930453625160383,2.536264069073139,114.45344595565656
BTCUSDT,False,True,1.0,1.0,5.184335282460851,5.269143740388002,2.3631885478131824,2.374046706616503,2.1669744166986886,-1.607894264155604,0.3403787191222094,0.26988178960685016,-0.003468396002676344,-0.003587135478923864,-0.003587135478923864,0.4916888171307803,-0.15436474771782915,-0.15436474771782915,1.5818144803557006,1.5818144803557006,-0.19511826172552016,-0.23663341564863843,2025-03-07 01:50:00+00:00,88359.9,-0.01797874375140751,0.008381630128598938,11.76289326846294,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.008381630128598938,0.006781630128598938,0.9833597292488824,11.567155539659218
BTCUSDT,False,True,-1.0,-1.0,-1.9378717771182392,-2.082661978065912,1.1838447753173718,1.5009176129956938,-3.9380694033355,-2.6623568959468065,0.13897003309833733,0.18301645855369209,-0.00021439706216153098,-0.0006640623595310924,-0.0006640623595310924,0.9188893376166837,-0.0738700468938045,-0.0738700468938045,2.192312386776289,2.192312386776289,0.10771882198643815,-0.03801293439982291,2025-03-09 14:05:00+00:00,83481.3,0.007441187427603468,0.0014218753181849397,5.998123849680595,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.0014218753181849397,-0.00017812468181506035,1.0973784786329281,6.582212024814373
ETHUSDT,False,True,-1.0,-1.0,-4.138926254198243,-4.226718932874302,2.711592889228764,2.827882910860512,-3.172311521840115,-1.5345538734482036,0.2767249830855013,0.185364450367684,-0.009794295009124765,-0.009934202038446749,-0.009934202038446749,-0.23341792930322788,-0.2671094122782438,-0.2671094122782438,1.4481311108972212,1.4481311108972212,-0.6242186209031225,-0.7213318206071312,2025-03-10 14:25:00+00:00,2035.28,0.015231319523603681,-0.007315946700208298,10.785721665217105,0.75,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.007315946700208298,-0.008915946700208299,1.936304247415279,20.884438671798875
SOLUSDT,True,False,1.0,1.0,2.276378172565098,2.2352129517418,1.8786063543006513,2.535905540725968,-1.0403070954033586,2.062148220637685,0.20122655797027766,0.14528654707440247,0.012214218603194604,0.01214162619457948,0.01214162619457948,5.6858710535779196,0.06757683566628758,0.06757683566628758,0.5329806816333957,0.5329806816333957,1.6460840644275292,1.646580618507258,2025-03-14 13:55:00+00:00,129.21,0.024456311431003686,-0.007661945669839687,1.8460647792617562,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.024456311431003686,0.022856311431003685,1.8091865743446178,3.33987561401083
ETHUSDT,False,True,1.0,1.0,11.407289595048383,11.499178865904657,4.917553662482436,4.900771557412286,1.8450686214418826,-2.1356609056167564,-0.034414335216132685,0.28774737628282177,-0.008517913338174865,-0.008529978511112701,-0.008529978511112701,2.3239227717557607,-0.08389284692086885,-0.08389284692086885,1.0724316413318018,1.0724316413318018,-0.4763508540996272,-0.4580773273323047,2025-03-19 10:40:00+00:00,1965.51,0.01582795305035334,-0.025932200802845085,63.89803183751912,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.025932200802845085,-0.027532200802845085,1.3927101075270423,88.99143479119762
SOLUSDT,True,False,1.0,1.0,4.366971526598184,4.305962370617026,2.6866386514749845,2.8218974225647115,-1.0601423773606191,2.87197899296337,0.3917454699700318,0.17824763554646061,0.005612438376943585,0.005766750132787157,0.005766750132787157,0.7809318752858236,0.08672067003170358,0.08672067003170358,2.027423258365941,2.027423258365941,0.5579234864840852,0.5722494785741519,2025-03-19 14:10:00+00:00,132.55,-0.0055827989437948755,0.005054696341003528,13.993909333852466,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.0055827989437948755,-0.007182798943794875,3.2486305738423105,45.4610417095304
SOLUSDT,True,False,1.0,1.0,3.5599145547605535,3.437223417827221,2.8185479166146865,2.9511754345794694,-1.6192867084247495,2.8551425104534265,0.3735303294885144,0.2165961673959993,0.0016758962401630662,0.001822688830562802,0.001822688830562802,3.099813925648054,0.20847737852557247,0.20847737852557247,1.6746425434612755,1.6746425434612755,0.2855896719575694,0.235299287575061,2025-03-24 03:20:00+00:00,137.41,0.010625136452951045,-0.008878538679863102,17.32775939430288,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.010625136452951045,0.009025136452951044,1.3655022119151057,23.661093780453335
BTCUSDT,True,False,1.0,1.0,2.3190766329990224,2.210997692051977,2.96863384098187,2.1342261451107674,-1.2584967401279221,3.2400814345512017,0.3946757601652753,0.24562394012137112,0.001557633294765548,0.0016095532396001033,0.0016095532396001033,1.1720093586732194,0.2583204766713125,0.2583204766713125,1.517357277885705,1.517357277885705,0.6436641014802988,0.6698588456306575,2025-03-27 14:45:00+00:00,86996.2,0.0012575261907992186,0.0019161756490513326,11.079501193031405,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.0012575261907992186,-0.0003424738092007815,3.164485179373009,35.060917320193454
BTCUSDT,False,True,-1.0,-1.0,-2.5818620834657953,-2.6671124611353845,2.0432304455724672,2.6418385739776578,-1.1840578007040703,-4.564444956076475,0.3363603047571039,0.5425990234793561,-0.0005513710384577042,-0.0006374425612729606,-0.0006374425612729606,0.028601371524957554,-0.21796869651458972,-0.21796869651458972,1.896902786295876,1.896902786295876,-0.31728129429677565,-0.20149722175077883,2025-03-29 09:50:00+00:00,83511.7,0.01771009331626583,-0.004212583386519531,20.66272001343272,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.004212583386519531,-0.00581258338651953,3.043371331870637,62.884329727350796
ETHUSDT,False,True,1.0,1.0,3.7776159259722992,3.827584661760406,2.077581872966471,2.0558382390949252,1.423465321528064,-2.4435504044670426,-0.027123495310580448,0.1824497117384125,-0.008911785531166783,-0.0089346239579835,-0.0089346239579835,2.7862309259677387,-0.07821203098633855,-0.07821203098633855,1.1698641317554141,1.1698641317554141,-0.9430608197004087,-1.0891020006245284,2025-04-06 18:40:00+00:00,1622.82,-0.01825834041976304,0.00016637704736199854,4.9937307221384755,0.25,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.00016637704736199854,-0.0014336229526380015,3.542124204933956,17.688414463809018
SOLUSDT,True,False,-1.0,-1.0,-2.9503416611371556,-2.8967338912563396,1.7148268297326223,1.7238594254091313,1.2303378400174243,1.42202734244357,0.12626268580238142,0.15584980545328453,0.013103381828692529,0.01330376940133049,0.01330376940133049,2.136402573691826,0.24112272127072876,0.24112272127072876,2.0865127344039904,2.0865127344039904,1.498114038065451,1.5233409341512265,2025-04-07 03:45:00+00:00,102.35,0.004885197850513001,0.00039081582804101345,1.1176348440232982,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.004885197850513001,0.0032851978505130013,4.445021441554659,4.967910845512157
XRPUSDT,True,False,-1.0,-1.0,-3.9726179341748975,-3.874906587574291,2.731232723001685,2.9350514138241817,2.8194807602567744,8.973072315927055,0.3469182160801175,-0.02035333018963814,0.016432748538011688,0.016375226621439865,0.016375226621439865,5.5849133699373015,0.10251519940207532,0.10251519940207532,0.8316504428318477,0.8316504428318477,1.4075633394253768,1.3673152834008084,2025-04-07 06:30:00+00:00,1.6819,-0.0367441583922945,-0.0024377192460907082,95.22980908726298,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.0367441583922945,-0.0383441583922945,10.503884505783123,1000.2829161603864
SOLUSDT,False,True,-1.0,-1.0,-4.49009561380994,-4.915215684427015,3.5743959522220057,3.406736884095066,-8.67026106090212,-1.5536498408628376,0.14474134984492293,0.13560249795465418,-0.007712082262210762,-0.007427156732050966,-0.007427156732050966,0.05618508289811082,-0.07540646830694753,-0.07540646830694753,0.7940857876022624,0.7940857876022624,-0.4489552997205811,-0.45518328622761106,2025-04-07 14:35:00+00:00,105.8,-0.0024574669187145126,-0.0021739130434782483,30.586809720431777,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.0021739130434782483,-0.003773913043478248,0.7466335367595965,22.837137919758785
XRPUSDT,True,False,-1.0,-1.0,-2.017816492160959,-1.9508494040255095,1.817471021114754,1.8412142220565342,2.0120302649168758,4.9639265703492885,0.40192719319065373,0.23870589573229284,0.006802721088435382,0.0068042142230025915,0.0068042142230025915,0.1166660943940793,0.1193717219684971,0.1193717219684971,1.00463132141431,1.00463132141431,0.8386552594119289,0.8923226433430455,2025-04-08 17:30:00+00:00,1.81,-0.013535911602210016,0.02679558011049732,14.721647345889744,0.75,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.013535911602210016,-0.015135911602210016,3.1367275677807855,46.1777970729992
ETHUSDT,False,True,1.0,1.0,3.4418963787641745,3.883418366618666,1.5725788571467332,1.5570164158440363,13.662331597037415,-1.6238554240685115,0.3262713799906112,0.4348027486649759,-0.006936745551502144,-0.008372576562973744,-0.008372576562973744,0.7214917677347895,-0.23172990905748803,-0.23172990905748803,1.9574377430757033,1.9574377430757033,-0.4493876181975032,-0.5208274467164843,2025-04-12 12:45:00+00:00,1602.46,0.03215056850092979,-0.01337942912771628,58.32729483287615,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.01337942912771628,-0.014979429127716281,2.132289369305319,124.37067071247887
BTCUSDT,True,False,1.0,1.0,3.47265247698871,3.383009074099017,1.9082670382351026,2.1846251424013796,-1.1024042865027834,1.3545778361163756,0.1780869364795965,0.1767497701075773,0.0031598951962326094,0.0031969826024131898,0.0031969826024131898,2.0097835623810374,0.14652484449406078,0.14652484449406078,1.417292138637889,1.417292138637889,0.8228976628520869,0.8400387231019545,2025-04-21 00:50:00+00:00,86921.2,0.003539987943102396,-0.004895238445856709,1.7622900702286641,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,0.003539987943102396,0.001939987943102396,1.5798256923772154,2.784111130368491
BTCUSDT,True,False,1.0,1.0,2.601657733817627,2.482399082079099,3.529306146258141,3.3175815597357308,-1.4866038198724576,2.2919473095666083,0.3741518253844309,0.16517205779941868,0.003920087697263819,0.0039025199843580882,0.0039025199843580882,4.858182433804932,0.13652071043529634,0.13652071043529634,0.8515612793778119,0.8515612793778119,1.4151544799130313,1.4616362685417947,2025-04-21 14:30:00+00:00,88312.1,-0.006663865993448259,0.001596610204037674,11.705426329604297,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.006663865993448259,-0.00826386599344826,2.7620045238637143,32.3304404761205
ETHUSDT,False,True,1.0,1.0,9.034094836212216,9.14561201183928,4.134222275030672,3.6141045036182007,2.938842356256063,-4.883412741954687,0.2050918843022269,0.18891336200605546,-0.0025070724203463124,-0.0027120575104797595,-0.0027120575104797595,0.22698624919052313,-0.13781208722352178,-0.13781208722352178,1.8096825926995588,1.8096825926995588,-0.14392787977749108,-0.1593860515134197,2025-04-22 07:40:00+00:00,1610.63,0.009847078472398962,-0.007736103263940031,89.61400333024027,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.007736103263940031,-0.009336103263940031,2.734176654994001,245.02051586609758
