scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason,partial_entry_abort_requested,partial_entry_abort_opened_quantity,partial_entry_open_parent_count,partial_entry_flatten_attempts,partial_entry_cancel_retry_count,causal_context_invalidation_reason
OIDB-1709140500000000000-000263:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709140800000000000,2024-02-28,17,1709140800000000000,63320.0,63320.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-172000-001-000-86,64320.0,62321.799999999996,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,64300.0,250.6100000000002,2.074,75362.07772759,2260.8623318277,1089.596834159997,0.8352637842433015,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,63319.9,1709140800000000000,3919,7,61475.0,63850.0,1844.9000000000015,530.0999999999985,1.8447155284471595,0.5300469953004693,7.36163760424564,2.115238817285815,1.3046189245730389,1.6128383590200046,1.70914116e+18,1.70914116e+18,62321.9,1709141160000000000,2024-02-28,17,6.0,1887.44523476,0.01576123777832877,0.8348342170990011,OTHER_EXIT,,,,,,,
OIDB-1709143500000000000-000265:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1709143620000000000,2024-02-28,18,1709143620000000000,61322.6,61322.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-180700-001-000-89,60777.2,61846.899999999994,PRE_SHOCK_FAST_RANGE_LIQUIDITY,60800.0,284.56999999999937,3.672,77249.52296235,2317.4856888705,631.0354840799974,0.6939092349749574,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,61322.700000000004,1709143620000000000,3966,5,61368.0,60531.0,45.299999999995634,791.7000000000044,0.08304307974334561,1.451329055911996,0.1591875461222045,2.7820922795797385,-0.13652435112362749,-0.06462947176332508,,,60777.100000000006,1709143860000000000,2024-02-28,18,4.0,-2317.28852592,-0.00889719467668577,-0.9999149237678375,STOP,,,,,,,
OIDB-1709148600000000000-000271:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709148780000000000,2024-02-28,19,1709148780000000000,61150.9,61150.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-193300-001-000-92,61532.5,60724.5,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,61520.0,156.28499999999912,4.806,74932.23443643,2247.9670330929,467.6811819600006,0.7288880398637817,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,61150.8,1709148780000000000,4052,14,60674.5,61269.6,476.3000000000029,118.79999999999563,1.2478386167147146,0.3112391930835644,3.0476373292382863,0.760149726461249,0.6163398296078035,0.8356596439525523,1.70914956e+18,,60724.600000000006,1709149560000000000,2024-02-28,19,13.0,1638.30397932,0.006969655343838463,0.7287935967040916,OTHER_EXIT,,,,,,,
OIDB-1709153100000000000-000276:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1709153340000000000,2024-02-28,20,1709153340000000000,60348.1,60348.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-204900-001-000-95,60061.6,60791.100000000006,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,60072.9,141.16499999999905,6.192,76570.53841575,2297.1161524725,370.97999475999717,0.9650185051935407,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,60348.19999999999,1709153340000000000,4128,21,60648.8,59990.4,300.6000000000131,357.79999999998836,1.04884856943483,1.2484298674110232,2.129423015620126,2.5346226047532374,0.5046688572011412,0.5814386302408571,1.70915388e+18,,60061.5,1709154540000000000,2024-02-28,21,20.0,-2297.15020368,-0.004750763071640743,-1.0000148234591721,STOP,,,,,,,
OIDB-1709154600000000000-000277:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1709154720000000000,2024-02-28,21,1709154720000000000,60141.2,60141.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-211200-001-000-98,59830.1,60648.8,PRE_SHOCK_FAST_RANGE_LIQUIDITY,59840.5,130.14999999999964,5.636,74273.38821207,2228.2016463621,395.2919015999937,1.0697082290036284,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,60141.299999999996,1709154720000000000,4151,30,60677.5,60014.7,536.2000000000044,126.59999999999854,1.7230077120822924,0.40681233933161864,4.119861698040768,0.9727237802535451,1.1207735807558217,1.1420088248021207,1.70915514e+18,1.70915646e+18,60648.700000000004,1709156460000000000,2024-02-28,21,29.0,2383.165692,0.008436798007359482,1.0695466884206393,TARGET,,,,,,,
OIDB-1709158500000000000-000280:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709158620000000000,2024-02-28,22,1709158620000000000,61095.9,61095.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-221700-001-000-101,61236.99999999999,60508.1,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,61231.3,71.23499999999986,10.133,76656.55390407,2299.6966171220997,226.93182915999975,2.2142209044008903,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,61095.80000000001,1709158620000000000,4216,8,60985.7,61296.7,110.1000000000131,200.8999999999869,0.779745042493107,1.4228045325779868,1.54558854495702,2.8202428581453964,-0.057652996710137364,0.10771054060811991,,,61237.100000000006,1709159040000000000,2024-02-28,22,7.0,-2299.51239299,-0.002312761270005395,-0.9999198919845652,STOP,,,,,,,
OIDB-1709159400000000000-000281:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709159460000000000,2024-02-28,22,1709159460000000000,61314.3,61314.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-223100-001-000-104,61437.40000000001,60985.7,PRE_SHOCK_FAST_RANGE_LIQUIDITY,61430.6,85.01500000000014,10.661,74357.04151108,2230.7112453324,209.22739083999733,1.16041211920324,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,61314.200000000004,1709159460000000000,4230,24,61021.2,61438.4,293.0000000000073,124.19999999999709,2.378246753246728,1.0081168831168237,3.446450626360134,1.4609186614126553,0.6888252987402648,0.9901438772824583,1.7091597e+18,,61437.5,1709160840000000000,2024-02-28,22,23.0,-2230.56041159,-0.002010953416989794,-0.9999323831164991,STOP,,,,,,,
OIDB-1709160900000000000-000282:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709161020000000000,2024-02-28,22,1709161020000000000,61296.8,61296.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-225700-001-000-107,61445.5,61021.2,PRE_SHOCK_FAST_RANGE_LIQUIDITY,61438.4,88.40999999999913,9.215,72126.48109949,2163.7944329847,234.79239096000026,0.808277471105683,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,61296.700000000004,1709161020000000000,4256,7,61206.4,61469.1,90.30000000000291,172.39999999999418,0.6068548387097148,1.1586021505376294,1.021377672209069,1.9500056554687917,-0.36677274611794963,0.018517763638871955,,,61445.6,1709161380000000000,2024-02-28,23,6.0,-2163.86270615,-0.0024291682912782283,-1.0000315525191577,STOP,,,,,,,
OIDB-1709162400000000000-000284:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709162460000000000,2024-02-28,23,1709162460000000000,62135.7,62135.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-232100-001-000-110,62596.600000000006,61436.5,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,62588.0,107.99500000000043,3.826,69962.61839334,2098.8785518002,548.4522377200052,1.116778121913123,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,62135.6,1709162460000000000,4280,9,62016.0,62643.6,119.59999999999854,508.0,0.25943600867678235,1.1019522776572495,1.1074586786425118,4.703921477846178,-0.15915681256562147,0.05924650820111569,,,62596.700000000004,1709162940000000000,2024-02-28,23,8.0,-2098.22664586,-0.007420866620745689,-0.9996894027338358,STOP,,,,,,,
OIDB-1709167200000000000-000289:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709167260000000000,2024-02-29,0,1709167260000000000,61826.2,61826.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-004100-001-000-113,62050.3,61523.5,PRE_SHOCK_FAST_RANGE_LIQUIDITY,62041.0,116.70999999999876,6.545,67864.39174748,2035.9317524243997,311.05037576000024,0.6949202664419148,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,61826.1,1709167260000000000,4360,10,61269.6,62017.5,556.5,191.40000000000146,2.482158786797454,0.8537020517395082,4.768228943535309,1.6399622997172778,1.1186211852335788,1.511436881731159,1.70916774e+18,1.7091678e+18,61523.6,1709167800000000000,2024-02-29,0,9.0,1414.73584945,0.0048927556485044345,0.6948837296561262,TARGET,,,,,,,
OIDB-1709177700000000000-000302:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1709178000000000000,2024-02-29,3,1709178000000000000,61404.7,61404.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-034000-001-000-116,61194.4,61693.7,PRE_SHOCK_FAST_RANGE_LIQUIDITY,61200.0,69.3800000000003,7.015,69279.12759693,2078.3738279079002,296.2698047199972,0.6839411805448937,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,61404.8,1709178000000000000,4539,38,61750.0,61349.9,345.1999999999971,54.900000000001455,1.6406844106463627,0.26093155893536635,4.97549726145857,0.7912943211300263,0.7895137009357456,0.8734998838122552,1.70918016e+18,,61693.6,1709180220000000000,2024-02-29,4,37.0,1421.4573068,0.004703215383813572,0.6839276398273572,TARGET,,,,,,,
OIDB-1709181600000000000-000304:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709181660000000000,2024-02-29,4,1709181660000000000,61931.8,61931.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-044100-001-000-119,62063.2,61660.600000000006,PRE_SHOCK_FAST_RANGE_LIQUIDITY,62058.2,62.82499999999927,9.71,70700.58490373,2121.0175471119,218.42251819999217,0.8446259182447746,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,61931.7,1709181660000000000,4600,3,61905.9,62367.2,25.799999999995634,435.5,0.19619771863114552,3.311787072243346,0.410664544369215,6.931953840031915,-0.3983309537725536,-0.27967043189234025,,,62063.299999999996,1709181780000000000,2024-02-29,4,2.0,-2120.630015,-0.002124921486088684,-0.9998172895304768,STOP,,,,,,,
OIDB-1709184000000000000-000308:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1709184180000000000,2024-02-29,5,1709184180000000000,62040.5,62040.5,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-052300-001-000-122,61846.4,62648.1,PRE_SHOCK_FAST_RANGE_LIQUIDITY,61853.3,86.51499999999905,7.32,68579.95488873,2057.3986466619,281.04201515999415,1.8506769519991557,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,62040.600000000006,1709184180000000000,4642,35,62665.0,62002.6,624.3999999999942,38.000000000007276,3.215242018537488,0.19567456230693317,7.217245564353014,0.43923019129639596,1.6792919013597212,1.9104121484979368,1.70918544e+18,1.70918604e+18,62648.0,1709186220000000000,2024-02-29,5,34.0,3807.2636136,0.009790363084818557,1.8505230475276297,TARGET,,,,,,,
OIDB-1709190300000000000-000314:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1709190660000000000,2024-02-29,7,1709190660000000000,63204.2,63204.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-071100-001-000-125,62748.700000000004,63762.8,PRE_SHOCK_FAST_RANGE_LIQUIDITY,62758.9,127.23999999999978,3.993,72387.21850233,2171.6165550698997,543.8462445599944,0.8633379465180998,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,63204.3,1709190660000000000,4750,12,63221.6,62690.0,17.299999999995634,514.3000000000029,0.03797190517997298,1.1288410886742857,0.13596353348000365,4.041967934611787,-0.16325560926110505,-0.13128366834227187,,,62748.600000000006,1709191320000000000,2024-02-29,7,11.0,-2171.66105079,-0.007209952487409829,-1.000020489676226,STOP,,,,,,,
OIDB-1709193900000000000-000318:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709193960000000000,2024-02-29,8,1709193960000000000,62815.7,62815.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-080600-001-000-128,62898.8,62618.59999999999,PRE_SHOCK_FAST_RANGE_LIQUIDITY,62893.4,67.19000000000051,12.298,70215.55745154,2106.4667235462,171.27533264000658,0.6369626514128622,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,62815.6,1709193960000000000,4805,3,62801.9,62935.4,13.69999999999709,119.80000000000291,0.1646634615384179,1.4399038461538056,0.20389938979010247,1.7830034231284715,-0.515205013120418,-0.4345765899427423,,,62898.899999999994,1709194080000000000,2024-02-29,8,2.0,-2106.6492447,-0.0013261037067224643,-1.000086648011934,STOP,,,,,,,
OIDB-1709195700000000000-000321:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709195880000000000,2024-02-29,8,1709195880000000000,62676.4,62676.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-083800-001-000-131,62929.40000000001,62380.0,PRE_SHOCK_FAST_RANGE_LIQUIDITY,62919.5,123.59999999999964,5.99,68108.90820684,2043.2672462052,341.1120515999975,0.61170667826385,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,62676.3,1709195880000000000,4837,15,62593.3,62934.5,83.0,258.1999999999971,0.3279336230738763,1.0201501382852278,0.6715210355987075,2.088996763754028,-0.04689511826089542,-0.014331712928550315,,,62929.5,1709196720000000000,2024-02-29,8,14.0,-2043.3331194,-0.004039804519411597,-1.0000322391478267,STOP,,,,,,,
OIDB-1709199600000000000-000324:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709199660000000000,2024-02-29,9,1709199660000000000,62623.6,62623.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-094100-001-000-134,62740.899999999994,62334.4,PRE_SHOCK_FAST_RANGE_LIQUIDITY,62734.5,79.51999999999934,9.657,66065.57508744,1981.9672526231998,205.216723119998,0.9820320534119202,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,62623.5,1709199660000000000,4900,11,62489.3,62758.5,134.1999999999971,135.0,1.1431005110732857,1.1499148211244181,1.6876257545271403,1.6976861167002153,-0.046868305144794724,0.22620495685847664,,,62740.99999999999,1709200260000000000,2024-02-29,9,10.0,-1982.14898355,-0.001876292446126338,-1.0000916921944898,STOP,,,,,,,
OIDB-1709220600000000000-000351:ENTRY,OIDB_R,OIDB_R,SHORT,SHORT,1709220660000000000,2024-02-29,15,1709220660000000000,63165.0,63165.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-153100-001-000-137,63336.1,62824.899999999994,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,63328.1,99.65500000000029,7.399,64083.42610389,1922.5027831167,259.82315067999724,0.9685704847369361,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,63164.899999999994,1709220660000000000,5250,7,63121.3,63348.9,43.59999999999127,184.00000000000728,0.2546728971962042,1.074766355140202,0.4375094074556334,1.846369976418712,-0.34150509593846157,-0.1731960369283334,,,63336.19999999999,1709221020000000000,2024-02-29,15,6.0,-1922.63584723,-0.0027119491996345385,-1.000069214002949,STOP,,,,,,,
OIDB-1709223900000000000-000356:ENTRY,OIDB_R,OIDB_R,LONG,LONG,1709224260000000000,2024-02-29,16,1709224260000000000,62427.6,62427.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-163100-001-000-140,62208.5,62952.4,PRE_SHOCK_FAST_RANGE_LIQUIDITY,62216.5,99.67499999999964,6.083,62160.79025666,1864.8237076998,306.5192882000005,1.4251435939488855,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,62427.7,1709224260000000000,5310,10,62525.0,62058.1,97.30000000000291,369.59999999999854,0.44388686131388777,1.6861313868613297,0.9761725608227064,3.7080511662904425,-0.04160002483001502,0.03142741866775249,,,62208.4,1709224800000000000,2024-02-29,16,9.0,-1864.71487741,-0.0035128636807057706,-0.9999416404406751,STOP,,,,,,,
