decision_close,decision_fan_gain,decision_fan_magnitude,decision_time,entry_index,entry_price,entry_time,entry_transition,event_id,exit_index,exit_price,exit_reason,exit_time,gross_return,hold_minutes,mae_120m_net,mae_30m_net,mae_60m_net,mfe_120m_net,mfe_30m_net,mfe_60m_net,net_return,original_signal_time,period_label,planned_loss_fraction,policy,r_multiple,segment_id,signal_close,signal_fan_magnitude,signal_to_decision_minutes,split,stop_price,symbol,symbol_priority,rejection_reason
0.6122,1.0040908108843107,1.1021541765353167,2023-07-13 16:59:59.999000+00:00,13452,0.6122,2023-07-13 17:00:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T16:59:59.999000+00:00:1,13453,0.64281,roi_0.05,2023-07-13 17:09:59.999000+00:00,0.050000000000000044,9.999983333333335,-0.004676870303822121,-0.004676870303822121,-0.004676870303822121,0.574382260699118,0.06245805292388097,0.2395243711205488,0.048100000000000045,2023-07-13 16:59:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.6122,1.1021541765353167,0.0,fresh_confirmation,0.5815899999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.627,1.0044691359738287,1.1120954416886184,2023-07-13 17:09:59.999000+00:00,13454,0.627,2023-07-13 17:10:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:09:59.999000+00:00:1,13456,0.64581,roi_0.03,2023-07-13 17:24:59.999000+00:00,0.030000000000000027,14.999983333333335,-0.00987448165869219,-0.00987448165869219,-0.00987448165869219,0.5371749601275917,0.15679218500797454,0.24722280701754396,0.028100000000000028,2023-07-13 17:09:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.627,1.1120954416886184,0.0,fresh_confirmation,0.59565,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.6307,1.0044507098620938,1.1170450558385316,2023-07-13 17:14:59.999000+00:00,13455,0.6306,2023-07-13 17:15:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:14:59.999000+00:00:1,13457,0.649518,roi_0.03,2023-07-13 17:29:59.999000+00:00,0.030000000000000027,14.999983333333335,-0.009987535680304626,-0.009987535680304626,-0.009987535680304626,0.5283886140183951,0.2033013954963525,0.27878506184586094,0.028100000000000028,2023-07-13 17:14:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.6307,1.1170450558385316,0.0,fresh_confirmation,0.59907,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.6347,1.0044465154123017,1.122012013895553,2023-07-13 17:19:59.999000+00:00,13456,0.6347,2023-07-13 17:20:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:19:59.999000+00:00:1,13458,0.653741,roi_0.03,2023-07-13 17:34:59.999000+00:00,0.030000000000000027,14.999983333333335,-0.00883240901213188,-0.00883240901213188,-0.00883240901213188,0.5185033401607058,0.1955161020954781,0.33510961083976665,0.028100000000000028,2023-07-13 17:19:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.6347,1.122012013895553,0.0,fresh_confirmation,0.602965,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.648,1.0046967105202356,1.1324676550883956,2023-07-13 17:29:59.999000+00:00,13458,0.648,2023-07-13 17:30:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:29:59.999000+00:00:1,13459,0.6804,roi_0.05,2023-07-13 17:39:59.999000+00:00,0.050000000000000044,9.999983333333335,-0.010696296296296303,-0.010696296296296303,-0.010696296296296303,0.48729753086419736,0.17093950617283937,0.48729753086419736,0.048100000000000045,2023-07-13 17:29:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.648,1.1324676550883956,0.0,fresh_confirmation,0.6156,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.658,1.004978589319205,1.1381057464603637,2023-07-13 17:34:59.999000+00:00,13459,0.658,2023-07-13 17:35:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:34:59.999000+00:00:1,13459,0.6909000000000001,roi_0.05,2023-07-13 17:39:59.999000+00:00,0.050000000000000044,4.999983333333334,-0.002203951367781163,-0.002203951367781163,-0.002203951367781163,0.4646653495440729,0.18837355623100294,0.4646653495440729,0.048100000000000045,2023-07-13 17:34:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.658,1.1381057464603637,0.0,fresh_confirmation,0.6251,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.7192,1.0070301737235805,1.1640701234727904,2023-07-13 17:49:59.999000+00:00,13462,0.7192,2023-07-13 17:50:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:49:59.999000+00:00:1,13464,0.7444,roi_0.03,,0.03503893214682985,10.0,-0.007739822024471641,-0.007739822024471641,-0.007739822024471641,0.33986863181312565,0.1780221357063405,0.33986863181312565,0.03313893214682985,2023-07-13 17:49:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.638515070266471,1,0.7192,1.1640701234727904,0.0,fresh_confirmation,0.68324,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.7245,1.0069289939626094,1.1721359583303874,2023-07-13 17:54:59.999000+00:00,13463,0.7245,2023-07-13 17:55:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:54:59.999000+00:00:1,13464,0.7607250000000001,roi_0.05,2023-07-13 18:04:59.999000+00:00,0.050000000000000044,9.999983333333335,-0.011561835748792314,-0.011561835748792314,-0.011561835748792314,0.3300530710835057,0.2568991718426501,0.3300530710835057,0.048100000000000045,2023-07-13 17:54:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.7245,1.1721359583303874,0.0,fresh_confirmation,0.688275,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.7444,1.0075361275340953,1.1809693243996642,2023-07-13 17:59:59.999000+00:00,13464,0.7444,2023-07-13 18:00:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:59:59.999000+00:00:1,13464,0.78162,roi_0.05,2023-07-13 18:04:59.999000+00:00,0.050000000000000044,4.999983333333334,-0.014930628694250313,-0.014930628694250313,-0.014930628694250313,0.29444605051047823,0.29444605051047823,0.29444605051047823,0.048100000000000045,2023-07-13 17:59:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.7444,1.1809693243996642,0.0,fresh_confirmation,0.7071799999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.7763,1.0082341516688238,1.2003096710676535,2023-07-13 18:09:59.999000+00:00,13466,0.7763,2023-07-13 18:10:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T18:09:59.999000+00:00:1,13467,0.815115,roi_0.05,2023-07-13 18:19:59.999000+00:00,0.050000000000000044,9.999983333333335,-0.034490493365966754,-0.0031881617931211895,-0.034490493365966754,0.2411761303619735,0.2411761303619735,0.2411761303619735,0.048100000000000045,2023-07-13 18:09:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.7763,1.2003096710676535,0.0,fresh_confirmation,0.737485,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
