plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,rejection,scale,higher_direction,context_location,impulse_progress,impulse_efficiency,impulse_pressure,return_depth,return_pressure,return_effort,response_progress,response_pressure,peer_progress,source_penetration,source_distance,risk_range,cost_r,planned_rr,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
BTCUSDT:CONTROL:60:1724641200000000000:-1:1724656740000000000,BTCUSDT:CONTROL:60:1724641200000000000:-1,BTCUSDT,-1,1724656740000000000,1724655060000000000,63784.4,64000.1,63542.0,1.1237830319888953,63711.2,60,60:1724641200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63803.3,63841.2,63823.0,63541.9,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,1.0,-0.05872080331805618,0.6903089887640583,0.5646180356117624,0.1216552473395155,0.5292448712352718,0.0523679306080505,0.6533673422164091,0.22120786516853708,0.052069860622450594,-1.1951807228915707,0.9922752808988357,-0.5140449438202501,1.5147471910112,0.3554506258692676,1.1237830319888953,96371.02159593,0.6445493741307324,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724656740000000000,1724664600000000000,63775.2,63542.0,9.496,1790.983584,131.0,False,20.825092038656,1811.8086760386561,0.6266782434645526,0.5
BTCUSDT:CONTROL:15:1724677200000000000:-1:1724687460000000000,BTCUSDT:CONTROL:15:1724677200000000000:-1,BTCUSDT,-1,1724687460000000000,1724681760000000000,63514.3,63636.7,63032.1,3.939542483660354,63429.0,15,15:1724677200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63501.0,63535.4,63550.0,63032.0,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,1.0,-0.8621621621621733,1.7085099445712584,0.7920193470374779,0.08548633093605108,0.7975855796262696,-0.24713150640505918,0.5709935992299596,0.13759373981088194,0.21817017475859043,-1.5451936872309813,2.0795565699380796,-0.5562438865340966,0.7981741115095882,0.6232892156863041,3.939542483660354,98182.83027197,0.37671078431369587,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724687460000000000,1724690220000000000,63504.19999999999,63648.600000000006,13.858,-2882.1369512,46.0,False,33.341624406488826,-2848.7953267935113,-0.9671736286620396,0.5
SOLUSDT:CONTROL:15:1724690700000000000:-1:1724695200000000000,SOLUSDT:CONTROL:15:1724690700000000000:-1,SOLUSDT,-1,1724695200000000000,1724693880000000000,157.382,157.89499999999998,155.46099999999998,3.744639376218533,156.9,15,15:1724690700000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,157.427,157.468,157.713,155.451,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,-0.5866885784716627,1.5325542570951232,0.9244712990936402,0.32811066314472404,0.7900981996726762,0.2072952221336549,3.401014875573474,0.5525876460767595,0.6449405110527284,2.1044303797468853,0.6677796327211915,-0.8046744574290231,0.8564273789648772,0.3687450292397827,3.744639376218533,95334.03494518,0.6312549707602173,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724695200000000000,1724696040000000000,157.36,157.92,3890.74,-2792.1506536,14.0,False,0.0,-2792.1506536,-0.9762692673907323,0.5
ETHUSDT:CONTROL:15:1724697000000000000:-1:1724703480000000000,ETHUSDT:CONTROL:15:1724697000000000000:-1,ETHUSDT,-1,1724703480000000000,1724702940000000000,2676.16,2681.61,2670.01,1.1284403669723537,2673.66,15,15:1724697000000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2679.96,2680.89,2680.42,2670.0,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,0.5368421052631673,1.344206008583668,0.808049535603741,0.2319569904105461,0.5305770887166052,-0.4573654023481102,0.8445057215225205,0.6952789699571074,-0.03910127037925324,0.5601317957166325,0.6283261802574809,-0.4291845493562198,0.9356223175966061,0.5898462385320806,1.1284403669723537,92541.88429157999,0.4101537614679194,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724703480000000000,1724703720000000000,2675.72,2682.06,299.226,-2698.68637914,4.0,False,0.0,-2698.68637914,-0.9720594445058729,0.5
ETHUSDT:CONTROL:15:1724713200000000000:-1:1724717100000000000,ETHUSDT:CONTROL:15:1724713200000000000:-1,ETHUSDT,-1,1724717100000000000,1724716140000000000,2682.3,2686.7200000000003,2677.3,1.131221719456995,2682.0,15,15:1724713200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2682.72,2684.48,2685.22,2677.29,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,0.3155737704917675,1.51035322777096,1.0000000000000733,0.19665856521915137,0.5312831389183524,-0.4379478445890277,3.135054403644002,0.6747868453105894,-0.12471146743401407,-0.11111111111109741,0.3629719853836237,-0.07308160779541549,1.076735688185153,0.7288262443438794,1.131221719456995,89843.19791244001,0.27117375565612056,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724717100000000000,1724718000000000000,2681.74,2687.36,317.267,-2634.75966485,15.0,False,0.0,-2634.75966485,-0.97754002754065,0.5
ETHUSDT:CONTROL:15:1724716800000000000:-1:1724720760000000000,ETHUSDT:CONTROL:15:1724716800000000000:-1,ETHUSDT,-1,1724720760000000000,1724719980000000000,2685.09,2693.11,2672.38,1.584788029925195,2677.29,15,15:1724716800000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2688.54,2691.18,2689.22,2672.37,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,1.0,-0.2272069464544373,1.2245311708058708,0.695852534562221,0.16832682289863288,0.6133076181292242,-0.21298595706233228,3.1602220657477265,0.060821084642666855,-0.21298595706233228,-1.2928039702234349,0.49873289406995114,-0.7906741003548073,0.8129751647237683,0.40235910224439,1.584788029925195,87208.43824759,0.59764089775561,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724720760000000000,1724726700000000000,2684.66,2672.38,221.009,2299.1995027499997,99.0,False,0.0,2299.1995027499997,0.8788138506438387,0.5
XRPUSDT:CONTROL:15:1724748300000000000:-1:1724753520000000000,XRPUSDT:CONTROL:15:1724748300000000000:-1,XRPUSDT,-1,1724753520000000000,1724751540000000000,0.5868,0.5897,0.5833,1.2068965517241141,0.5874,15,15:1724748300000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.5862,0.589,0.5873,0.5832,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,-0.0,-0.1249999999999869,2.399999999999941,0.7199999999999929,0.14997236418584578,0.5538461538461483,-0.3170268024919874,5.700782366048164,0.1333333333333136,-0.006754130575242056,2.8997289972900013,2.066666666666583,0.4000000000000148,1.9333333333332692,0.24341379310344707,1.2068965517241141,89507.63775034,0.756586206896553,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724753520000000000,1724763000000000000,0.5866,0.5899,693700.7,-2697.28174678,158.0,False,0.0,-2697.28174678,-1.0044884863358134,0.5
BTCUSDT:CONTROL:15:1724763600000000000:1:1724766900000000000,BTCUSDT:CONTROL:15:1724763600000000000:1,BTCUSDT,-1,1724766900000000000,1724765520000000000,62296.4,62485.299999999996,62100.1,1.0391741662255636,62459.4,15,15:1724763600000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,62314.5,62426.2,62359.7,62100.0,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,1.0,-0.019730010384231278,0.9516231699554512,0.40091177259319477,-0.004353257320154351,0.5097326758370196,-0.05825950885085328,0.9173988137219287,0.37046467218330764,0.3469628406762672,-1.1018099547511013,0.16422660725649824,1.0375556970082846,1.202418841502202,0.3963420857596734,1.0391741662255636,86810.35600356001,0.6036579142403267,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724766900000000000,1724767620000000000,62288.0,62100.1,9.496,1370.61446608,12.0,False,0.0,1370.61446608,0.5262868507008513,0.5
XRPUSDT:CONTROL:60:1724662800000000000:1:1724777220000000000,XRPUSDT:CONTROL:60:1724662800000000000:1,XRPUSDT,-1,1724777220000000000,1724776200000000000,0.5984,0.6001,0.5961,1.3529411764706958,0.5995,60,60:1724662800000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.5988,0.5992,0.5991,0.596,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.5897435897436081,0.5263157894736965,0.5263157894736812,0.13497418523872431,0.5853658536585544,-0.5148027218000553,2.280389507136034,0.31578947368418286,0.3733713650751335,1.4423428920073527,0.26315789473681905,0.5789473684210603,0.8947368421052432,0.4230000000000189,1.3529411764706958,88180.97046964,0.5769999999999811,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724777220000000000,1724779320000000000,0.5982,0.5961,978262.5000000001,1645.1244809999998,35.0,False,0.0,1645.1244809999998,0.6218743387370645,0.5
BTCUSDT:CONTROL:15:1724801400000000000:1:1724841540000000000,BTCUSDT:CONTROL:15:1724801400000000000:1,BTCUSDT,1,1724841540000000000,1724838840000000000,59680.7,59349.3,60185.9,1.524441762220921,59757.7,15,15:1724801400000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,59488.9,59772.7,60186.0,59675.1,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,-1.0,-0.2753730422986925,3.0103981739791816,0.5753756665050896,0.06614722379233881,0.6039201625433306,-0.20740940862951346,0.601534133197607,0.0030433679939058603,0.15498932196299747,-0.6138392857142442,2.232310423535392,-0.390565559218866,1.6809535886380509,0.21550392275196514,1.524441762220921,89826.09495064,0.7844960772480348,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724841540000000000,1724853540000000000,59688.99999999999,59341.6,6.517,-2651.8670101,200.0,False,0.0,-2651.8670101,-0.984074472478262,0.5
XRPUSDT:CONTROL:15:1724805000000000000:-1:1724862780000000000,XRPUSDT:CONTROL:15:1724805000000000000:-1,XRPUSDT,-1,1724862780000000000,1724861940000000000,0.5617,0.5650999999999999,0.5555,1.8235294117647232,0.5595,15,15:1724805000000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.5589,0.5622,0.5633,0.5554,ACCEPTED_CONTROL_RETURN,0.0,0.0,-1.0,0.10000000000000475,3.2195121951219816,0.970588235294121,0.07985302686194304,0.649484536082476,-0.10479471854734843,1.034566732478781,0.6341463414634001,0.07878863772463465,-0.008836524300456162,2.0,-1.0731707317073091,1.6585365853658365,0.19884705882353176,1.8235294117647232,87174.22794053999,0.8011529411764682,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724862780000000000,1724863260000000000,0.5616,0.5652,619449.7,-2579.0168809799998,8.0,False,0.0,-2579.0168809799998,-0.986154181080178,0.5
SOLUSDT:CONTROL:15:1724879700000000000:-1:1724887740000000000,SOLUSDT:CONTROL:15:1724879700000000000:-1,SOLUSDT,-1,1724887740000000000,1724882400000000000,143.921,144.76,141.518,2.8641239570917705,143.049,15,15:1724879700000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,143.879,144.455,143.984,141.508,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,1.0,-0.8659434327779911,0.9710642471799773,0.46218487394956553,0.17121628126487443,0.7420049200491994,-0.11450578491088981,2.5032606094179846,0.06179499754783423,0.10153666601828439,-0.23616734143050397,0.39136831780284786,-0.8553212358999422,0.8229524276606217,0.20644648390941625,2.8641239570917705,84595.21105956,0.7935535160905838,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724887740000000000,1724890620000000000,143.89,144.79,2410.64,-2517.5277776,48.0,False,-5.975038788972702,-2523.5028163889724,-0.9943442364258178,0.5
BTCUSDT:CONTROL:15:1724886000000000000:1:1724892120000000000,BTCUSDT:CONTROL:15:1724886000000000000:1,BTCUSDT,-1,1724892120000000000,1724890920000000000,59102.1,59218.7,58888.799999999996,1.829331046312226,59177.9,15,15:1724886000000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,59106.9,59170.3,59156.1,58888.7,REJECTED_CONTROL_RETURN,1.0,0.0,1.0,-0.29372537132464704,0.5745422842197127,0.3418049792531144,0.11710798831700062,0.646666666666671,-0.32223025303924563,3.513215580702111,0.1996512641674046,-0.18554337703273863,0.20463320463319382,0.35483870967739173,0.6608544027899078,1.0165649520488038,0.6088548885077262,1.829331046312226,82071.70824317,0.3911451114922738,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724892120000000000,1724893740000000000,59092.700000000004,59228.99999999999,12.274,-2399.0864729,27.0,False,0.0,-2399.0864729,-0.9743863117814625,0.5
BTCUSDT:CONTROL:15:1724892300000000000:-1:1724899200000000000,BTCUSDT:CONTROL:15:1724892300000000000:-1,BTCUSDT,1,1724899200000000000,1724896020000000000,58978.7,58833.9,59163.9,1.2790055248619472,58888.7,15,15:1724892300000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,58970.2,58988.6,59164.0,58908.7,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,-1.0,-0.1230303030303207,0.41878797832156245,0.7764920828258359,0.1351103002823741,0.5613450469554794,-0.20750407640005014,2.874271427900706,0.19280670060764313,0.0695644266618169,-0.9000000000000111,0.17966825422892743,0.2956150435211029,0.4756117589094935,0.488173756906092,1.2790055248619472,79672.62177027,0.511826243093908,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724899200000000000,1724900760000000000,58988.6,59163.9,10.418,1395.72988056,26.0,False,0.0,1395.72988056,0.5839437477801271,0.5
ETHUSDT:CONTROL:60:1724896800000000000:1:1724912340000000000,ETHUSDT:CONTROL:60:1724896800000000000:1,ETHUSDT,1,1724912340000000000,1724910060000000000,2536.86,2532.7599999999998,2543.8399999999997,1.7024390243899863,2536.87,60,60:1724896800000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2534.9,2535.8,2543.85,2535.17,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,0.21504772599665323,0.40389294403888154,0.4811594202897748,0.2385086802651156,0.630297565374183,-0.30810010003894645,0.6614403639399457,0.3600973236009665,-0.07978904859811357,-1.3536487570168954,0.27493917274940977,-0.0024330900242732897,0.9975669099757267,0.7418956097560316,1.7024390243899863,81068.35165083,0.25810439024396836,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724912340000000000,1724912520000000000,2537.4,2543.84,305.496,1424.3848758699999,3.0,False,0.0,1424.3848758699999,0.5856723973719431,0.5
BTCUSDT:CONTROL:15:1724877000000000000:1:1724914740000000000,BTCUSDT:CONTROL:15:1724877000000000000:1,BTCUSDT,1,1724914740000000000,1724913060000000000,59537.5,59448.700000000004,59734.0,2.2128378378379465,59579.8,15,15:1724877000000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,59459.6,59550.0,59734.1,59531.5,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,0.014783262340269276,2.0449077786688528,0.4134241245136167,0.14316641672398434,0.6888577435178787,-0.5470192950053052,0.4158412184979483,0.09623095429029896,-0.12799358313280626,-0.8867623604465307,1.8235765838011186,-0.6784282277466543,1.4242181234963545,0.8039608108108504,2.2128378378379465,82492.7365267,0.19603918918914964,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724914740000000000,1724918880000000000,59548.700000000004,59437.100000000006,14.014,-2397.6959006,69.0,False,13.719526676855999,-2383.9763739231444,-0.963307588966347,0.5
SOLUSDT:CONTROL:15:1724933700000000000:-1:1724939880000000000,SOLUSDT:CONTROL:15:1724933700000000000:-1,SOLUSDT,-1,1724939880000000000,1724937960000000000,145.454,145.72299999999998,144.64,3.0260223048330515,145.085,15,15:1724933700000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,145.39,145.602,145.56,144.63,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,-1.0,-0.5216989843028874,0.9256198347107278,0.543103448275837,0.26135515627237804,0.7538883806038612,-0.08169158698581788,1.7619368277172096,0.045913682277329136,0.2686205703553601,-2.555555555555487,0.8356290174472233,-0.6776859504132235,0.49403122130390703,0.6494654275093491,3.0260223048330515,80108.76015278,0.3505345724906509,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724939880000000000,1724940480000000000,145.42,145.75,4858.38,-2310.5726523,10.0,False,0.0,-2310.5726523,-0.9614315371141994,0.5
BTCUSDT:CONTROL:15:1724920200000000000:-1:1724960340000000000,BTCUSDT:CONTROL:15:1724920200000000000:-1,BTCUSDT,-1,1724960340000000000,1724956680000000000,59579.9,59731.2,58876.9,4.646397884996829,59340.0,15,15:1724920200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,59596.2,59609.0,59613.4,58876.8,ACCEPTED_CONTROL_RETURN,0.0,0.0,-1.0,-0.9020695252265729,1.9596832253419312,0.9118927973199232,0.20031012524727362,0.8229166666666705,-0.37733625083857386,0.8022931428048294,0.06767458603312712,0.23803698344372368,-0.7411025819958327,0.7415406767458526,-1.7271418286537001,1.0892728581713034,0.4731438202247327,4.646397884996829,77798.18750048,0.5268561797752673,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724960340000000000,1724969340000000000,59571.5,58876.899999999994,9.982,6518.63400034,150.0,False,0.0,6518.63400034,2.7929673812772657,0.5
