plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,rejection,scale,higher_direction,context_location,impulse_progress,impulse_efficiency,impulse_pressure,return_depth,return_pressure,return_effort,response_progress,response_pressure,peer_progress,source_penetration,source_distance,risk_range,cost_r,planned_rr,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
XRPUSDT:CONTROL:15:1724435100000000000:-1:1724570820000000000,XRPUSDT:CONTROL:15:1724435100000000000:-1,XRPUSDT,-1,1724570820000000000,1724569980000000000,0.601,0.6031,0.5986,1.1428571428571277,0.5996,15,15:1724435100000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6002,0.6015,0.6018,0.5985,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,0.35064935064935854,3.4545454545455097,1.0,0.24271282565576185,0.543478260869561,-0.04436935943695521,0.5968965439161121,0.4545454545455096,0.3256959055494826,-1.4457429048414308,0.7272727272727548,-1.2727272727272452,1.9090909090909183,0.34402857142857285,1.1428571428571277,1724571480000000000,0.6659740126831555,1,1,11.0,False,2024-08,0.5,0.6559714285714271
ETHUSDT:CONTROL:60:1724551200000000000:-1:1724571000000000000,ETHUSDT:CONTROL:60:1724551200000000000:-1,ETHUSDT,-1,1724571000000000000,1724569740000000000,2745.95,2752.2400000000002,2735.9100000000003,1.5961844197136472,2747.0,60,60:1724551200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2743.99,2745.35,2746.18,2735.9,ACCEPTED_CONTROL_RETURN,0.0,0.0,-0.0,0.18259455063034946,4.684474123539318,1.0,0.22962611010354175,0.6150550795593414,-0.13658553318532393,0.9058207374184465,0.0767946577629471,0.4729339388397691,-0.6363636363635722,3.7061769616027758,0.35058430717870454,2.1001669449083966,0.5244696343401877,1.5961844197136472,1724571480000000000,0.7953949550306401,1,1,8.0,False,2024-08,0.5,0.4755303656598123
XRPUSDT:CONTROL:15:1724429700000000000:-1:1724574180000000000,XRPUSDT:CONTROL:15:1724429700000000000:-1,XRPUSDT,-1,1724574180000000000,1724571480000000000,0.5991,0.602,0.5947,1.5172413793103237,0.5979,15,15:1724429700000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.5994,0.6001,0.5996,0.5946,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,1.0,-0.23287671232875762,1.3181818181818366,0.674418604651188,0.15173646031821775,0.6081081081081042,0.19143482432755687,0.43356640275498926,0.2272727272727548,0.60619482237604,-0.030534351145098452,1.5,-0.5454545454545409,1.3181818181818366,0.24850344827586082,1.5172413793103237,1724584800000000000,-0.983722669314779,0,0,177.0,False,2024-08,0.5,0.7514965517241392
ETHUSDT:CONTROL:15:1724577300000000000:1:1724580420000000000,ETHUSDT:CONTROL:15:1724577300000000000:1,ETHUSDT,1,1724580420000000000,1724579160000000000,2752.27,2750.79,2756.77,3.040540540540503,2753.8,15,15:1724577300000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2751.38,2752.11,2756.78,2752.01,ACCEPTED_CONTROL_RETURN,0.0,0.0,-1.0,0.28184713375795,0.4603773584905319,0.5562310030394977,0.05077554065929997,0.752921535893162,-0.38521063966251773,0.6167757352379527,0.04779874213837687,-0.5126807090811665,-0.49999999999996037,0.2314465408803991,-0.3849056603773956,0.37232704402514905,2.2309702702702423,3.040540540540503,1724580540000000000,-0.9455757371423081,0,0,2.0,False,2024-08,0.5,-1.2309702702702423
BTCUSDT:CONTROL:60:1724572800000000000:-1:1724582400000000000,BTCUSDT:CONTROL:60:1724572800000000000:-1,BTCUSDT,1,1724582400000000000,1724580540000000000,63804.1,63731.200000000004,63906.4,1.4032921810701109,63751.0,60,60:1724572800000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63784.9,63813.3,63906.5,63766.6,REJECTED_CONTROL_RETURN,1.0,0.0,0.0,-0.16894977168953373,0.7167420814479847,0.4112149532710005,-0.021772981186327783,0.5841414717627154,-0.14309175079095512,0.9986236523037951,0.3438914027149548,0.1888496867206034,-1.5043804755943895,0.3565610859728215,0.9610859728507157,1.3194570135746422,1.0496732510288904,1.4032921810701109,1724583780000000000,0.32883534625678,1,1,23.0,False,2024-08,0.5,-0.04967325102889042
BTCUSDT:CONTROL:60:1724565600000000000:1:1724597460000000000,BTCUSDT:CONTROL:60:1724565600000000000:1,BTCUSDT,1,1724597460000000000,1724595420000000000,64124.6,64054.9,64237.6,1.621233859397485,64164.3,60,60:1724565600000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64088.0,64132.0,64237.7,64101.3,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,-1.0,0.12291585886001477,0.6126213592232869,0.4176042356055536,0.03623479882540172,0.6187089715536174,-0.3980129229486556,0.8581141560714871,0.055339805825214465,0.11291328758577668,-0.3999999999999556,0.7126213592232444,-0.3854368932039259,0.6766990291261853,1.1034103299856988,1.621233859397485,1724599740000000000,0.40304828965021094,1,1,38.0,False,2024-08,0.5,-0.10341032998569877
BTCUSDT:CONTROL:15:1724597100000000000:1:1724611560000000000,BTCUSDT:CONTROL:15:1724597100000000000:1,BTCUSDT,-1,1724611560000000000,1724599740000000000,64190.0,64270.1,63950.1,2.995006242197326,64237.7,15,15:1724597100000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64191.0,64208.7,64222.9,63950.0,REJECTED_CONTROL_RETURN,1.0,0.0,-0.0,-0.6111707841031402,2.1926851025870304,0.7763739734681292,0.21104851797921104,0.7497656982193098,-0.18110150963040075,0.9272162737509272,0.5851917930419863,0.7087592660629768,-1.6666666666667078,0.5762711864407374,0.8510258697591028,1.429081177520064,0.9622479400749239,2.995006242197326,1724620140000000000,-0.9607628983723656,0,0,143.0,False,2024-08,0.5,0.03775205992507613
XRPUSDT:CONTROL:15:1724607900000000000:1:1724612220000000000,XRPUSDT:CONTROL:15:1724607900000000000:1,XRPUSDT,1,1724612220000000000,1724610960000000000,0.6006,0.6,0.6021,2.4999999999997224,0.6015,15,15:1724607900000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6006,0.6008,0.6022,0.6003,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,-1.0,-0.5238095238094684,0.7027027027026994,0.7647058823529566,0.008501735083939106,0.7272727272727043,-0.2786141679728381,1.7260083124111478,0.16216216216220758,-0.10489584224442006,-0.9217221135028676,0.32432432432429514,-0.4864864864865027,0.32432432432435515,1.20059999999991,2.4999999999997224,1724612880000000000,-0.9564915243186708,0,0,11.0,False,2024-08,0.5,-0.20059999999990996
BTCUSDT:CONTROL:60:1724601600000000000:1:1724622300000000000,BTCUSDT:CONTROL:60:1724601600000000000:1,BTCUSDT,1,1724622300000000000,1724620140000000000,64287.7,64175.1,64549.9,2.3285968028419872,64270.0,60,60:1724601600000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64194.6,64261.0,64550.0,64248.5,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,-0.355905918842088,3.189189189189189,0.7788778877888163,0.1885780592900273,0.6996532408642355,-0.3455789811379733,1.347739484556655,0.25405405405389675,-0.3455789811379733,-1.8749999999998785,2.135135135135135,0.4783783783782997,3.0432432432432037,0.6845264653641295,2.3285968028419872,1724624040000000000,1.0744888075583814,1,1,29.0,False,2024-08,0.5,0.31547353463587047
ETHUSDT:CONTROL:15:1724650200000000000:-1:1724653320000000000,ETHUSDT:CONTROL:15:1724650200000000000:-1,ETHUSDT,-1,1724653320000000000,1724652660000000000,2737.4,2741.92,2732.01,1.1924778761061714,2739.13,15,15:1724650200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2735.54,2739.5,2738.61,2732.0,ACCEPTED_CONTROL_RETURN,0.0,0.0,-0.0,0.3211816467630245,2.002853067047138,0.8087557603687191,0.06511810410923236,0.5443548387096826,-0.28693460897791817,0.7419216710818402,0.16833095577737822,-0.09207057600358351,0.5359661495063381,2.034236804565007,0.49358059914410174,1.2895863052782124,0.7273433628318613,1.1924778761061714,1724654100000000000,-0.9661268991299882,0,0,13.0,False,2024-08,0.5,0.2726566371681387
