split,asset,phase,scenario,return_column,events,independent_events,independent_events_per_day,mean_bps,net10_mean_bps,hit_rate,profit_factor,independent_mean_bps,independent_net10_mean_bps,independent_hit_rate,independent_profit_factor
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_5bps,dir_bps_d30_h240,289,37,6.166666666666667,-0.5271714795799481,-10.527171479579948,0.4844290657439446,0.9866908733251788,13.897122755219815,3.897122755219815,0.6486486486486487,1.3982077383558258
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_full,dir_bps_d30_h240,29,18,3.0,1.4924100974686658,-8.507589902531334,0.41379310344827586,1.0521338328776213,12.870059453284163,2.8700594532841635,0.6111111111111112,1.5094667384322014
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_realign,dir_bps_d30_h240,138,32,5.333333333333333,-10.393591869455431,-20.39359186945543,0.4492753623188406,0.7539477253737802,0.5207407166898523,-9.479259283310148,0.5,1.0150918682020431
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_realign_burst,dir_bps_d30_h240,56,24,4.0,-6.139449967144576,-16.139449967144575,0.42857142857142855,0.8265569155157775,-8.377725781100112,-18.37772578110011,0.5833333333333334,0.7809738922983498
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_realign_price,dir_bps_d30_h240,75,27,4.5,-16.96299204148371,-26.96299204148371,0.41333333333333333,0.6396593167877866,-4.67569803129934,-14.67569803129934,0.4444444444444444,0.8795497544773686
forward,BTCUSDT,PLACEBO_POOLED,sc_abs50,dir_bps_d30_h480,637,20,3.3333333333333335,-12.514585000997885,-22.514585000997883,0.478806907378336,0.8400030090542745,-0.6467952410704185,-10.646795241070418,0.5,0.9896386364027479
forward,BTCUSDT,PLACEBO_POOLED,sc_abs75,dir_bps_d30_h480,220,18,3.0,-5.568239732966181,-15.56823973296618,0.4818181818181818,0.9244168198153715,-41.42427193612761,-51.42427193612761,0.3888888888888889,0.5248996358794852
forward,BTCUSDT,PLACEBO_POOLED,sc_absorbed_1m,dir_bps_d30_h480,185,18,3.0,-25.04095142966257,-35.04095142966257,0.42702702702702705,0.6994641900408922,-35.013175814478586,-45.013175814478586,0.4444444444444444,0.6163842773899908
forward,BTCUSDT,PLACEBO_POOLED,sc_aligned_1m,dir_bps_d30_h480,452,20,3.3333333333333335,-7.387642989265653,-17.387642989265654,0.5,0.9029586914935037,45.11431007737416,35.11431007737416,0.55,2.0663289662434248
forward,BTCUSDT,PLACEBO_POOLED,sc_all,dir_bps_d30_h480,1728,20,3.3333333333333335,-11.088515340584651,-21.08851534058465,0.484375,0.8595446155428101,-33.95592994451398,-43.95592994451398,0.55,0.6335022977126558
forward,BTCUSDT,PLACEBO_POOLED,sc_burst125,dir_bps_d30_h480,728,20,3.3333333333333335,1.4994894204451739,-8.500510579554826,0.5082417582417582,1.0204826922677361,4.856797346784225,-5.143202653215775,0.45,1.080989052902471
forward,BTCUSDT,PLACEBO_POOLED,sc_consensus_flow,dir_bps_d30_h480,309,19,3.1666666666666665,-26.3913017827407,-36.3913017827407,0.4368932038834951,0.6822573691810152,-61.972033970862185,-71.97203397086219,0.3157894736842105,0.3535148718958916
forward,BTCUSDT,PLACEBO_POOLED,sc_extreme_burst,dir_bps_d30_h480,297,18,3.0,-0.6022561720177537,-10.602256172017753,0.5050505050505051,0.9916413309832983,-34.81401955628114,-44.81401955628114,0.5,0.6494927547627032
forward,BTCUSDT,PLACEBO_POOLED,sc_nonfunding_abs50,dir_bps_d30_h480,637,20,3.3333333333333335,-12.514585000997885,-22.514585000997883,0.478806907378336,0.8400030090542745,-0.6467952410704185,-10.646795241070418,0.5,0.9896386364027479
forward,BTCUSDT,PLACEBO_POOLED,sc_nonfunding_extreme,dir_bps_d30_h480,297,18,3.0,-0.6022561720177537,-10.602256172017753,0.5050505050505051,0.9916413309832983,-34.81401955628114,-44.81401955628114,0.5,0.6494927547627032
forward,BTCUSDT,PLACEBO_POOLED,sc_persistent_flow,dir_bps_d30_h480,302,18,3.0,-24.09858484954784,-34.09858484954784,0.4602649006622517,0.7084896677634577,-84.52375132195307,-94.52375132195307,0.2222222222222222,0.265674287046043
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30,dir_bps_d30_h480,321,19,3.1666666666666665,-25.097573455431192,-35.09757345543119,0.4454828660436137,0.7037077818367448,84.8747568954083,74.8747568954083,0.631578947368421,3.5105620034887792
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_5bps,dir_bps_d30_h480,289,19,3.1666666666666665,-24.787488668424434,-34.78748866842443,0.4463667820069204,0.7078380408469934,84.8747568954083,74.8747568954083,0.631578947368421,3.5105620034887792
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_full,dir_bps_d30_h480,29,12,2.0,-58.538020658807895,-68.5380206588079,0.3793103448275862,0.3956812699274638,-33.15286254217762,-43.15286254217762,0.4166666666666667,0.6596841192358075
forward,BTCUSDT,PLACEBO_POOLED,sc_reversal30_realign,dir_bps_d30_h480,138,18,3.0,-50.5671405030346,-60.5671405030346,0.38405797101449274,0.4605391651466985,-48.09369218067811,-58.09369218067811,0.4444444444444444,0.5189846064113001
