group,policy,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,top1_positive_share,top2_positive_share,mean_without_best,mean_without_worst
asset:ETHUSDT,delayed_continuation,480,62,0.005752603494446568,0.00355898267389405,0.5483870967741935,1.6899066354475458,0.8736319722792311,0.5169705556235437,-0.02852367608735584,0.04562820280054297,0.1578035540835572,-0.1386200261352499,0.18062932572380705,0.29500778162055197,0.0032599649601988538,0.008119367914605529
asset:ETHUSDT,delayed_continuation,720,62,0.005416541922900014,0.0050857035494379,0.5645161290322581,1.4170079953323607,1.1411473268095649,0.805321727589764,-0.044726341355050374,0.049868042852821565,0.1925292372048626,-0.1573393988892519,0.1687154959589122,0.30136826357648516,0.0023491206887694795,0.008084672100148406
asset:ETHUSDT,delayed_reversal,120,62,-0.002519319776716339,-0.0048831997171616005,0.3870967741935484,0.7129357140264198,0.38792359120021536,0.5441214173566283,-0.02357259787635185,0.01498663122475385,0.1272408036589351,-0.0805680939451724,0.3280048095689635,0.4504423451440784,-0.0046465349150057065,-0.0012398316755941085
asset:ETHUSDT,delayed_reversal,240,62,-0.0031434452111813297,-0.00365864379427255,0.3870967741935484,0.6512960247741594,0.36401486064600275,0.5589084637392451,-0.02595856612495853,0.013949883388225958,0.1385181639986933,-0.0632068105287781,0.3805288711369382,0.49702093748096,-0.005465766673638291,-0.0021587998781059724
asset:ETHUSDT,delayed_reversal,480,62,-0.009552603494446558,-0.00735898267389405,0.3548387096774194,0.4160385927711463,0.4219518675170126,1.0142132841726994,-0.049428202800542984,0.024723676087355838,0.1348200261352499,-0.1616035540835573,0.31951517818513775,0.42046208013376707,-0.01191936791460552,-0.0070599649601988425
asset:ETHUSDT,delayed_reversal,720,62,-0.009216541922900008,-0.0088857035494379,0.3548387096774194,0.5538266487665138,0.7092999251532782,1.2807255243730786,-0.05366804285282157,0.04092634135505037,0.1535393988892519,-0.1963292372048626,0.216466114607403,0.3665257102502014,-0.011884672100148399,-0.006149120688769473
asset:SOLUSDT,direct_continuation,120,47,0.0012341912149144761,0.0008579791415544,0.5106382978723404,1.1832596457934357,0.3745359580581977,0.3165289709572174,-0.021396768929059,0.02073693100584551,0.0978624703087887,-0.0308825197889181,0.2612899194410119,0.3700145541962224,-0.0008664235479958327,0.0019323805845630107
asset:SOLUSDT,direct_continuation,240,47,0.0036458653241199035,-0.0011430932256843,0.46808510638297873,1.49062328051702,0.5206168590892897,0.34926118885565416,-0.01992553107220784,0.040390546454749876,0.0701506730007918,-0.0518078726968174,0.13474529642298894,0.24186074027731772,0.0022001086354966025,0.004851381368053323
asset:SOLUSDT,direct_continuation,480,47,0.0016308452072732,-0.0011430932256843,0.44680851063829785,1.112766129372187,0.7563726625475389,0.6797229378056984,-0.045211958283259635,0.05622253346896029,0.1291372129849565,-0.11339637960926,0.17073225855362018,0.3120646060973786,-0.0011410323531112192,0.004131437051110878
asset:SOLUSDT,direct_continuation,720,47,0.0028586624562333828,-0.0027591065292096,0.48936170212765956,1.1447572508793908,1.0625119230391575,0.9281547875961884,-0.053311014844287095,0.05228998561245936,0.2344420427553445,-0.1961073170731706,0.22064885830622763,0.3592292374548855,-0.0021757588546168598,0.007184009837307384
