event_id,event_time,entry_time,period_label,split,symbol,side,outside_band,squeeze_bars,volume_ratio,momentum_norm,risk_fraction,net19_60m,net19_120m,net19_240m,net19_480m,net19_720m,net19_1440m,outcome_720m,outcome_1440m,r_720m,r_1440m
BTCUSDT:2024-03-13T12:00:00+00:00:+1,2024-03-13 12:00:00+00:00,2024-03-13 16:00:00+00:00,source_bull_2024_03,source_history,BTCUSDT,1,False,4,1.4616881074729422,2.51309931442134,0.0285024869695064,0.0034460703286905,0.0011149910141985,0.008141254874763,0.0043941893651042,0.0072247856755589,-0.0304024869695064,TIME,STOP,0.2376379828007292,-0.9999999999999992
BTCUSDT:2024-03-15T04:00:00+00:00:-1,2024-03-15 04:00:00+00:00,2024-03-15 08:00:00+00:00,source_bull_2024_03,source_history,BTCUSDT,-1,False,8,1.4372536637968722,-1.4466131766043728,0.0743538018880637,0.0180204525211935,0.007292931838557,0.0078696802623546,0.002308073309835,-0.0094269319612074,-0.0165421093515012,TIME,TIME,-0.1236257304920437,-0.2169348798606017
ETHUSDT:2024-03-06T08:00:00+00:00:+1,2024-03-06 08:00:00+00:00,2024-03-06 12:00:00+00:00,source_bull_2024_03,source_history,ETHUSDT,1,False,2,1.1606408636106826,2.9695228459343106,0.0654355162460238,-0.0177457505163452,-0.0143025897101769,-0.0249462573331341,-0.0089511400802459,-0.0175345768543365,-0.0254381374483011,TIME,TIME,-0.2604060655044278,-0.3777818730216275
BTCUSDT:2022-06-06T04:00:00+00:00:+1,2022-06-06 04:00:00+00:00,2022-06-06 08:00:00+00:00,source_cascade_2022_06,source_history,BTCUSDT,1,True,5,1.0826656726330484,1.4087796914366824,0.0309688272741141,0.0037781487188997,0.0039731752233214,0.0017543490910485,0.0061536354858717,0.0041458216370717,-0.032868827274114,TIME,STOP,0.1261323260029065,-0.9999999999999988
SOLUSDT:2022-06-11T08:00:00+00:00:-1,2022-06-11 08:00:00+00:00,2022-06-11 12:00:00+00:00,source_cascade_2022_06,source_history,SOLUSDT,-1,True,6,1.3989298113809387,-3.173628914693612,0.0642494356659142,0.0158765237020314,0.0060006772009029,0.0460683972911962,0.0359103837471782,0.0426823927765236,0.0725920993227991,TIME,TARGET,0.6452419789654715,1.0973955951706578
XRPUSDT:2022-06-06T04:00:00+00:00:-1,2022-06-06 04:00:00+00:00,2022-06-06 08:00:00+00:00,source_cascade_2022_06,source_history,XRPUSDT,-1,False,4,1.06338056716685,-0.344164759725395,0.0267897032230613,-0.0058712087366592,-0.0157992305783072,-0.0051266070985356,0.0015748076445767,0.0057942169272772,0.0291605254760131,TIME,TARGET,0.2019615498364491,1.0164108443120232
ETHUSDT:2025-10-06T16:00:00+00:00:+1,2025-10-06 16:00:00+00:00,2025-10-06 20:00:00+00:00,source_cascade_2025_10,source_history,ETHUSDT,1,True,12,1.2895542880795208,3.910892850788233,0.0285920513708941,-0.0090724371670357,-0.0080577893811497,-0.0100404831756993,-0.0087017412118581,-0.0112224737070655,-0.0304920513708941,TIME,STOP,-0.3680458743349033,-1.0000000000000009
XRPUSDT:2025-10-02T00:00:00+00:00:+1,2025-10-02 00:00:00+00:00,2025-10-02 04:00:00+00:00,source_cascade_2025_10,source_history,XRPUSDT,1,False,7,1.1412848388957226,3.235580158836993,0.0250998975779344,-0.0034820121848597,-0.0043908276953111,-0.0029097950116125,-0.0021692786697633,0.0047983069103638,0.0272013305251415,TIME,TARGET,0.1777157449028724,1.0074605078269516
XRPUSDT:2025-10-06T00:00:00+00:00:-1,2025-10-06 00:00:00+00:00,2025-10-06 04:00:00+00:00,source_cascade_2025_10,source_history,XRPUSDT,-1,False,3,1.0395066151231354,-0.2042650014117001,0.0297273918301532,0.0015936844934156,-0.0003211233539371,-0.0003547164740661,-0.0077452029024456,-0.0197043536683687,-0.0045874496103197,TIME,TIME,-0.6230154473118085,-0.1450467251601228
XRPUSDT:2025-10-13T04:00:00+00:00:-1,2025-10-13 04:00:00+00:00,2025-10-13 08:00:00+00:00,source_cascade_2025_10,source_history,XRPUSDT,-1,False,2,1.1057195575549006,-1.4872490066506654,0.0531857519127052,-0.0065570217963888,-0.0021672061686452,0.0177969118601366,0.0109258960949726,-0.0034650647020652,0.0597646398987887,TIME,TARGET,-0.0629031025582878,1.0849382612312932
BTCUSDT:2021-05-17T12:00:00+00:00:-1,2021-05-17 12:00:00+00:00,2021-05-17 16:00:00+00:00,source_crash_2021_05,source_history,BTCUSDT,-1,False,5,1.3103537996309793,-4.1285304460529,0.099541979608304,0.0158681968722479,0.0156062221867905,-0.0213891194102273,-0.0108988419659021,-0.0345862381955865,0.0073426143645074,TIME,TIME,-0.3409460100161074,0.0723824041374129
BTCUSDT:2021-05-23T12:00:00+00:00:-1,2021-05-23 12:00:00+00:00,2021-05-23 16:00:00+00:00,source_crash_2021_05,source_history,BTCUSDT,-1,False,15,1.8009797942677264,-3.3316123725615845,0.1308278461413087,0.0303809019125108,0.0160514816705197,0.0063012790104183,-0.0461282403098448,-0.059372903593839,-0.1327278461413088,TIME,STOP,-0.4473281630037728,-1.0000000000000004
ETHUSDT:2021-05-15T16:00:00+00:00:-1,2021-05-15 16:00:00+00:00,2021-05-15 20:00:00+00:00,source_crash_2021_05,source_history,ETHUSDT,-1,False,7,1.1211610923923374,-1.4059390076123066,0.0809806643903091,-0.0111877362506385,-0.015500374595607,0.0233426357909074,-0.0207867486804018,-0.0312850034054146,0.0919906253800686,TIME,TARGET,-0.3774704707733091,1.1099166018609372
ETHUSDT:2021-05-16T16:00:00+00:00:-1,2021-05-16 16:00:00+00:00,2021-05-16 20:00:00+00:00,source_crash_2021_05,source_history,ETHUSDT,-1,False,3,2.211614669636469,-3.093882336655012,0.0989626844279994,0.015288453798546,-0.0177332384098416,-0.0477641104500543,0.0497062515151249,-0.0302806636466392,0.0101450609116743,TIME,TIME,-0.3002167136276751,0.1005828961345597
ETHUSDT:2021-05-19T08:00:00+00:00:-1,2021-05-19 08:00:00+00:00,2021-05-19 12:00:00+00:00,source_crash_2021_05,source_history,ETHUSDT,-1,True,2,2.3505439925360148,-3.7670305100438695,0.1866626582587097,0.1418663095539577,0.085777959943185,-0.0113691756311864,0.0425647530123356,0.2145204733434317,0.2145204733434317,TARGET,TARGET,1.137661482524857,1.137661482524857
SOLUSDT:2021-05-17T08:00:00+00:00:+1,2021-05-17 08:00:00+00:00,2021-05-17 12:00:00+00:00,source_crash_2021_05,source_history,SOLUSDT,1,False,3,1.4657792006358794,1.8505518962388137,0.1854676787811404,-0.0215460916817611,-0.0250692509803139,-0.034743010410239,-0.0232778140488464,-0.0755081530285236,0.0835714464857979,TIME,TIME,-0.4029945480443445,0.4460291499016524
SOLUSDT:2021-05-18T12:00:00+00:00:+1,2021-05-18 12:00:00+00:00,2021-05-18 16:00:00+00:00,source_crash_2021_05,source_history,SOLUSDT,1,False,4,1.3269101234101863,2.178592340208299,0.1278502535015316,0.0867974435808596,0.0106292630396103,0.0318110216312388,0.0521125479913848,-0.0262281206105442,-0.1297502535015317,TIME,STOP,-0.2021431165083204,-1.0
XRPUSDT:2021-05-13T12:00:00+00:00:-1,2021-05-13 12:00:00+00:00,2021-05-13 16:00:00+00:00,source_crash_2021_05,source_history,XRPUSDT,-1,False,26,1.3170852198571117,-2.307808199546553,0.1281390688481389,0.0207748654880859,0.0171622598001536,0.0311514988470407,-0.04809523443505,-0.0275725595695619,-0.0876801691006918,TIME,TIME,-0.2120328899137341,-0.6742602040859408
BTCUSDT:2023-10-23T12:00:00+00:00:+1,2023-10-23 12:00:00+00:00,2023-10-23 16:00:00+00:00,source_expansion_2023_10,source_history,BTCUSDT,1,False,3,1.4610402328455383,4.396339368333779,0.0327468529086266,0.0089021941349334,0.0013400102384324,0.0135289287554147,0.0697009862591167,0.0360673656911612,0.0360673656911612,TARGET,TARGET,1.0409997637095898,1.0409997637095898
ETHUSDT:2023-10-20T12:00:00+00:00:+1,2023-10-20 12:00:00+00:00,2023-10-20 16:00:00+00:00,source_expansion_2023_10,source_history,ETHUSDT,1,False,3,1.312347849056573,1.6780751034890642,0.0280577941135888,-0.0028097650189119,0.0001874745296952,-0.0010089287828465,-0.0029343903639682,-0.0069224014057738,0.012325983138191,TIME,TIME,-0.2310717998637224,0.4114449512355763
SOLUSDT:2023-10-20T00:00:00+00:00:+1,2023-10-20 00:00:00+00:00,2023-10-20 04:00:00+00:00,source_expansion_2023_10,source_history,SOLUSDT,1,True,5,1.3241240336182742,4.643017055399518,0.0563240594759918,0.0141277658620284,0.025358901064618,0.0206012674024098,0.0460663065943922,0.0634032573634686,0.0634032573634686,TARGET,TARGET,1.0889528819200998,1.0889528819200998
SOLUSDT:2023-10-23T16:00:00+00:00:+1,2023-10-23 16:00:00+00:00,2023-10-23 20:00:00+00:00,source_expansion_2023_10,source_history,SOLUSDT,1,False,2,1.2721685081316914,3.3083165230148506,0.0680809321487116,-0.0043422066842861,0.0012447592920945,0.0653777759191731,0.047914325382222,0.0770344140854626,0.0770344140854626,TARGET,TARGET,1.1007914830537284,1.1007914830537284
XRPUSDT:2023-10-16T04:00:00+00:00:+1,2023-10-16 04:00:00+00:00,2023-10-16 08:00:00+00:00,source_expansion_2023_10,source_history,XRPUSDT,1,True,3,3.46376487183647,2.8715616200996115,0.021798104512651,-0.0055518563603165,-0.0010884763643741,0.000331689997971,-0.0037259281801582,0.0233731646523489,0.0233731646523489,TARGET,TARGET,0.9862883607366733,0.9862883607366733
XRPUSDT:2022-11-04T12:00:00+00:00:+1,2022-11-04 12:00:00+00:00,2022-11-04 16:00:00+00:00,source_ftx_2022_11,source_history,XRPUSDT,1,True,22,2.587865217541172,2.717745691662792,0.0652207234825259,0.0011656039239729,0.0023918454935623,0.007296811771919,0.0322303903535663,0.0169023707337012,0.0171067443286325,TIME,TIME,0.2518204491359751,0.2548653149289446
XRPUSDT:2022-11-13T08:00:00+00:00:-1,2022-11-13 08:00:00+00:00,2022-11-13 12:00:00+00:00,source_ftx_2022_11,source_history,XRPUSDT,-1,False,2,1.0042206201383324,-2.47839488223321,0.0492155067155068,9.43019943019502e-05,-0.0087376068376068,0.0049376068376067,0.0200373219373218,0.0280145299145298,0.0551614570614572,TIME,TARGET,0.5480632339311439,1.0791530908314944
SOLUSDT:2023-03-12T20:00:00+00:00:+1,2023-03-12 20:00:00+00:00,2023-03-13 00:00:00+00:00,source_recovery_2023_03,source_history,SOLUSDT,1,True,9,1.5757859362872688,2.304312153279565,0.0822404864486279,-0.0001172039815779,-0.011160634873471,-0.0341388946664685,-0.0250268261278662,-0.0503821472787601,0.0084996434407962,TIME,TIME,-0.5987860232959429,0.1010172843008901
XRPUSDT:2023-03-08T00:00:00+00:00:+1,2023-03-08 00:00:00+00:00,2023-03-08 04:00:00+00:00,source_recovery_2023_03,source_history,XRPUSDT,1,False,7,1.5098747377890391,1.1578947368421004,0.0431005850160407,0.0031198150594451,-0.0172236459709379,-0.0077124174372522,0.0200286657859973,0.0480716927722211,0.0480716927722211,TARGET,TARGET,1.0682459518045302,1.0682459518045302
XRPUSDT:2023-03-19T16:00:00+00:00:+1,2023-03-19 16:00:00+00:00,2023-03-19 20:00:00+00:00,source_recovery_2023_03,source_history,XRPUSDT,1,False,3,1.2508899159585267,2.638719175561283,0.0544565925711389,-0.0211600101368474,-0.0122902686264572,-0.0236942219969589,-0.0371255448555499,-0.0302831728332488,-0.0563565925711388,TIME,STOP,-0.5373492514655217,-0.9999999999999996
ETHUSDT:2022-01-21T08:00:00+00:00:-1,2022-01-21 08:00:00+00:00,2022-01-21 12:00:00+00:00,source_riskoff_2022_01,source_history,ETHUSDT,-1,True,3,1.0431302574048926,-4.367327168963106,0.0753785890892889,0.0228531011617943,0.0160221162356181,0.004133744011913,0.035668661056713,0.0854954656107698,0.0854954656107698,TARGET,TARGET,1.106327983188034,1.106327983188034
SOLUSDT:2022-01-12T16:00:00+00:00:+1,2022-01-12 16:00:00+00:00,2022-01-12 20:00:00+00:00,source_riskoff_2022_01,source_history,SOLUSDT,1,True,16,1.5416833871682984,2.121275312237012,0.0612398330229031,-0.0072069514512219,-0.00707591561292,-0.0113345803577278,-0.0277795780646006,-0.0101552578130118,-0.0343313699796893,TIME,TIME,-0.1608375779094656,-0.5437355206060815
SOLUSDT:2022-01-17T16:00:00+00:00:-1,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,source_riskoff_2022_01,source_history,SOLUSDT,-1,False,10,1.4366078272910183,-2.18510088800312,0.0348139599015411,0.0038910917280331,0.0106831128905411,-0.0029009294344748,0.0027471723743476,-0.0039018588689496,0.0188335382855509,TIME,TIME,-0.1062772547394396,0.512980303297666
SOLUSDT:2022-01-21T08:00:00+00:00:-1,2022-01-21 08:00:00+00:00,2022-01-21 12:00:00+00:00,source_riskoff_2022_01,source_history,SOLUSDT,-1,True,4,1.1652472549174018,-4.514348734073257,0.1061367756271563,0.0316652885796152,0.0240516987310683,0.0011290626279165,0.01308158002456,0.1211571311619204,0.1211571311619204,TARGET,TARGET,1.121443420155776,1.121443420155776
XRPUSDT:2022-01-21T04:00:00+00:00:-1,2022-01-21 04:00:00+00:00,2022-01-21 08:00:00+00:00,source_riskoff_2022_01,source_history,XRPUSDT,-1,True,3,1.8677933006046492,-4.359674955162407,0.0689630871792761,-0.0016119400835373,0.0032850784963273,0.0081820970761918,0.0166798646118392,0.039148538095924,0.078057202526697,TIME,TARGET,0.552453183374333,1.101521336901686
BTCUSDT:2024-08-02T20:00:00+00:00:-1,2024-08-02 20:00:00+00:00,2024-08-03 00:00:00+00:00,source_shock_2024_08,source_history,BTCUSDT,-1,False,3,1.4546252814338012,-3.6113610889970937,0.0495837514658357,0.0040560501401183,0.0008617075745277,-0.0080561031623016,-0.0043770792909341,-0.0084220538126364,0.0110985670998979,TIME,TIME,-0.1635866379749987,0.2155741721203615
BTCUSDT:2024-08-11T20:00:00+00:00:-1,2024-08-11 20:00:00+00:00,2024-08-12 00:00:00+00:00,source_shock_2024_08,source_history,BTCUSDT,-1,True,2,1.6482384915965047,0.4131067798988455,0.0334984922783573,0.0025247109115039,0.0002978733445668,0.0015842255733638,-0.0009969977731624,-0.02091586387497,-0.0353984922783574,TIME,STOP,-0.5908687779834608,-1.000000000000001
ETHUSDT:2024-08-01T00:00:00+00:00:-1,2024-08-01 00:00:00+00:00,2024-08-01 04:00:00+00:00,source_shock_2024_08,source_history,ETHUSDT,-1,True,9,1.1970582007035666,-1.9403107914013908,0.041557770133549,0.0078576329870947,-0.0041379603399433,0.0017669814290211,-0.0050916902738431,0.0174012275731823,0.0013326093799182,TIME,TIME,0.4004169454554849,0.0306644675008173
ETHUSDT:2024-08-08T20:00:00+00:00:+1,2024-08-08 20:00:00+00:00,2024-08-09 00:00:00+00:00,source_shock_2024_08,source_history,ETHUSDT,1,True,4,1.066622848134798,1.1003011893621206,0.0682211593015443,-0.0082059602698399,-0.0064532687696479,0.0023176469930153,-0.0066024340037068,-0.0198520359189885,-0.0331128252268244,TIME,TIME,-0.2831104921357356,-0.4722230145173196
SOLUSDT:2024-08-11T12:00:00+00:00:-1,2024-08-11 12:00:00+00:00,2024-08-11 16:00:00+00:00,source_shock_2024_08,source_history,SOLUSDT,-1,False,4,1.3094074535277067,-0.9297334295790334,0.0410020889564921,-0.0015905961405232,-0.004106184041487,0.0177336927350628,0.0463939067618196,0.0456386538625994,0.0456386538625994,TARGET,TARGET,1.063786285765306,1.063786285765306
