group,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,top1_positive_share,top2_positive_share,mean_without_best,mean_without_worst
entry_mode:True,60,17,0.011715571306488934,0.0011656039239729,0.5294117647058824,5.680680738526975,0.2417150854008982,0.0425503731905863,-0.00855255102871822,0.026377976128922665,0.1418663095539577,-0.0106802046295624,0.5869154145620012,0.7179179480906659,0.003581150166022138,0.013115307302492144
entry_mode:True,120,17,0.007037615039635853,0.0002978733445668,0.5294117647058824,3.517672197427286,0.1671593257331701,0.0475198700593606,-0.00811988950562186,0.024574579664488182,0.085777959943185,-0.011160634873471,0.5131509089723717,0.6648558823765922,0.002116343483164031,0.008175005659205032
entry_mode:True,240,17,0.001215097097901688,0.0015842255733638,0.7058823529411765,1.2758689809780257,0.09553513316386739,0.07487848249953871,-0.011348418467111241,0.013149765206679005,0.0460683972911962,-0.0341388946664685,0.4822141945641822,0.6978549407499158,-0.0015882341641792188,0.003424721583174825
entry_mode:True,480,17,0.009182582576056687,0.0061536354858717,0.5294117647058824,2.977139227637501,0.23505833533266543,0.07895443153970169,-0.015231775178261337,0.03857213145324116,0.0460663065943922,-0.0277795780646006,0.19597818783663654,0.3770598455115111,0.006877349824910719,0.01149271761609777
entry_mode:True,720,17,0.029706839633879857,0.0169023707337012,0.5882352941176471,5.098706637329888,0.6282298429483422,0.1232135691723845,-0.0202775671013811,0.09976013183123006,0.2145204733434317,-0.0503821472787601,0.3414681358285477,0.5343229206208755,0.018155987527032874,0.034712401315919864
entry_mode:True,1440,17,0.028045027834936974,0.0084996434407962,0.5882352941176471,3.2836623068875115,0.6855377911307824,0.2087723179368538,-0.03360024312797036,0.09976013183123006,0.2145204733434317,-0.0353984922783574,0.31292289953787084,0.48965587141688843,0.016390312490656055,0.03201024784201788
side:-1,60,22,0.01356485026476628,0.0039735709340757,0.6818181818181818,9.729791657880805,0.33261156584445023,0.034184860019592096,-0.00648844049041584,0.029628121837439167,0.1418663095539577,-0.0111877362506385,0.4265224788373811,0.5217244857165522,0.0074552569652809745,0.014743544860737937
side:-1,120,22,0.005709874058771655,0.00057979045954725,0.5454545454545454,2.6213718653387517,0.203093119912758,0.0774758906197816,-0.014824097819806979,0.01705118198719021,0.085777959943185,-0.0177332384098416,0.42235778336574054,0.540784733236815,0.001897108064275781,0.006826212747753239
side:-1,240,22,0.003320579062943041,0.00167560350119245,0.6363636363636364,1.7355739173830824,0.17236667325103092,0.09931393386628401,-0.011037868384297921,0.022788063397830332,0.0460683972911962,-0.0477641104500543,0.26726974781315893,0.44799783323412873,0.0012849686711214618,0.005753183325466723
side:-1,480,22,0.006258053058999955,0.0025276228420913,0.5909090909090909,1.9389794184048492,0.28430143253683343,0.14662426523883437,-0.01979795800895183,0.04189931608581988,0.0497062515151249,-0.04809523443505,0.17483644409243373,0.33802206840619414,0.00418909122775591,0.008846304844430905
