abs_flow_open_10s,aligned_lag_consensus_3,aligned_ret_1m_bps,barrier_s100_t150_exit_min,barrier_s100_t150_gross_bps,barrier_s100_t150_outcome,barrier_s100_t200_exit_min,barrier_s100_t200_gross_bps,barrier_s100_t200_outcome,barrier_s50_t100_exit_min,barrier_s50_t100_gross_bps,barrier_s50_t100_outcome,barrier_s50_t75_exit_min,barrier_s50_t75_gross_bps,barrier_s50_t75_outcome,barrier_s75_t100_exit_min,barrier_s75_t100_gross_bps,barrier_s75_t100_outcome,barrier_s75_t150_exit_min,barrier_s75_t150_gross_bps,barrier_s75_t150_outcome,close_120m_bps,close_240m_bps,close_60m_bps,dir_bps_d1_h30,dir_bps_d30_h480,direction,entry_price,entry_time,event_time,exit_price,exit_time,flow_open_10s,gross_bps,mae_bps,mfe_bps,notional_open_10s_burst,path_ready,period_label,phase,phase_offset_minute,phase_priority,regime,sc_abs50,sc_all,sc_consensus_flow,sc_reversal30_realign_price,selection_score,state30_aligned_flow_3m,state30_aligned_ret_60s_bps,state30_notional_burst,symbol,symbol_priority,time_to_mae_min,time_to_mfe_min,scenario,selected_phase
0.3600948705105213,1.0,4.691084716916943,72,-100.0,STOP,72,-100.0,STOP,32,-50.0,STOP,32,-50.0,STOP,58,-75.0,STOP,58,-75.0,STOP,-44.34511365906892,153.2172359731619,-69.13788603757618,37.55349687412765,143.1037359281009,1,67417.1,2026-03-03 12:33:00+00:00,2026-03-03 12:03:00+00:00,68388.8,2026-03-03 20:03:00+00:00,0.3600948705105213,143.1037359281009,-200.32565725615615,228.1497888782767,1.101223613537341,True,rep_2026_03,placebo_03,3,1,era_2026,False,True,False,False,0.3600948705105213,-0.23061453410879548,-1.4683623559030885,2.1823955985672487,BTCUSDT,0,136,233,sc_all,placebo_03
0.7090123776090174,-1.0,1.4696156981403152,450,76.00110369839928,TIME,450,76.00110369839928,TIME,189,-50.0,STOP,59,75.0,TARGET,450,76.00110369839928,TIME,450,76.00110369839928,TIME,8.824827753181223,19.86682526804898,81.18724939715499,3.6747143323152414,76.00110369839928,-1,1.3604,2026-03-03 20:03:00+00:00,2026-03-03 19:33:00+00:00,1.3501,2026-03-04 03:33:00+00:00,-0.7090123776090174,76.00110369839928,-65.93913553922081,93.79338357926918,0.6995452287980106,True,rep_2026_03,placebo_03,3,1,era_2026,True,True,False,False,0.7090123776090174,0.038508406405924935,4.409171147268183,0.38381776284750524,XRPUSDT,3,339,62,sc_all,placebo_03
0.7956019358570247,-1.0,-8.395763861811249,181,-100.0,STOP,181,-100.0,STOP,128,-50.0,STOP,128,-50.0,STOP,129,-75.0,STOP,129,-75.0,STOP,-10.882108865813965,-142.1834285712824,16.69314941065645,69.06321365189086,-528.0399362611564,-1,67689.0,2026-03-04 03:33:00+00:00,2026-03-04 03:03:00+00:00,71359.3,2026-03-04 11:03:00+00:00,-0.7956019358570247,-528.0399362611564,-601.8427609360242,50.207823241123684,4.978555428420035,True,rep_2026_03,placebo_03,3,1,era_2026,True,True,False,False,0.7956019358570247,0.2993576240720623,9.243919016431224,4.7767151775218775,BTCUSDT,0,378,2,sc_all,placebo_03
0.9140124457646778,1.0,18.87047331775077,76,150.0,TARGET,208,-100.0,STOP,33,100.0,TARGET,31,75.0,TARGET,33,100.0,TARGET,76,150.0,TARGET,96.65189218995073,-83.15307206119323,90.46809694431606,11.088560153823213,-350.41084629099606,-1,2073.06,2026-03-04 11:03:00+00:00,2026-03-04 10:33:00+00:00,2146.99,2026-03-04 18:33:00+00:00,-0.9140124457646778,-350.41084629099606,-438.00968787176606,184.31682431177708,0.1458629260738624,True,rep_2026_03,placebo_03,3,1,era_2026,True,True,True,False,0.9140124457646778,0.1395734495159833,-9.024596255111692,0.5588899100176468,ETHUSDT,1,300,89,sc_all,placebo_03
0.5633074869889457,-1.0,4.245887457662858,39,-100.0,STOP,39,-100.0,STOP,12,-50.0,STOP,12,-50.0,STOP,32,-75.0,STOP,32,-75.0,STOP,-18.139994095743308,0.9700308299800227,-48.150828137505755,4.739501648861994,75.94639919566553,-1,73197.1,2026-03-04 18:33:00+00:00,2026-03-04 18:03:00+00:00,72643.3,2026-03-05 02:03:00+00:00,-0.5633074869889457,75.94639919566553,-115.37471539389239,127.05187262386853,0.8363352662952587,True,rep_2026_03,placebo_03,3,1,era_2026,True,True,False,False,0.5633074869889457,0.17059735217748684,13.788849873963187,2.4085794726661938,BTCUSDT,0,39,300,sc_all,placebo_03
0.7470470742209627,1.0,-1.4050864151256075,247,-100.0,STOP,247,-100.0,STOP,101,-50.0,STOP,101,-50.0,STOP,238,-75.0,STOP,238,-75.0,STOP,-25.337851393722058,-57.10071557792934,-29.567075394166864,-4.919357771648237,15.452696760371214,1,1.4226,2026-03-05 02:03:00+00:00,2026-03-05 01:33:00+00:00,1.4248,2026-03-05 09:33:00+00:00,0.7470470742209627,15.452696760371214,-105.29016465495235,56.077533748686555,0.8306535716989705,True,rep_2026_03,placebo_03,3,1,era_2026,True,True,True,True,0.7470470742209627,0.053483830060476974,16.181802524929196,1.179451512165537,XRPUSDT,3,247,162,sc_all,placebo_03
0.5925283129982029,1.0,7.237309473307713,335,-100.0,STOP,335,-100.0,STOP,53,100.0,TARGET,53,75.0,TARGET,53,100.0,TARGET,309,-75.0,STOP,59.49128749852318,-44.893391651074296,105.43251636541977,23.76066158348291,-170.5624709658506,1,72601.0,2026-03-05 09:33:00+00:00,2026-03-05 09:03:00+00:00,71373.2,2026-03-05 17:03:00+00:00,0.5925283129982029,-170.5624709658506,-257.7951729543979,128.3854171997299,3.2997607508729785,True,rep_2026_03,placebo_03,3,1,era_2026,True,True,True,False,0.5925283129982029,0.04103168104471531,-4.737111084329843,0.36942771002009644,BTCUSDT,0,398,82,sc_all,placebo_03
0.4189946755735652,-1.0,-12.07172168610631,29,-100.0,STOP,29,-100.0,STOP,7,-50.0,STOP,7,-50.0,STOP,27,-75.0,STOP,27,-75.0,STOP,20.504125683267304,23.32898445911396,-101.01095986503934,38.29248757916627,-70.31528669301161,1,1.4129,2026-03-05 17:03:00+00:00,2026-03-05 16:33:00+00:00,1.403,2026-03-06 00:33:00+00:00,0.4189946755735652,-70.31528669301161,-107.44757728733607,69.82431302538079,0.6082167689357149,True,rep_2026_03,placebo_03,3,1,era_2026,False,True,False,False,0.4189946755735652,0.31222829738760777,14.87305065415497,0.6952411997722804,XRPUSDT,3,59,137,sc_all,placebo_03
0.94383808716226,-1.0,0.2896116308237476,450,41.76135659414395,TIME,450,41.76135659414395,TIME,54,-50.0,STOP,54,-50.0,STOP,450,41.76135659414395,TIME,450,41.76135659414395,TIME,61.929236967928425,6.514108099147933,22.75675849861017,-0.14480406803189516,41.76135659414395,1,2071.75,2026-03-06 00:33:00+00:00,2026-03-06 00:03:00+00:00,2080.42,2026-03-06 08:03:00+00:00,0.94383808716226,41.76135659414395,-66.5902333515689,99.13292554966159,2.660721305927864,True,rep_2026_03,placebo_03,3,1,era_2026,True,True,False,True,0.94383808716226,0.2179127401480055,0.19307442054406124,0.685132052815063,ETHUSDT,1,248,100,sc_all,placebo_03
0.4582237013564257,-1.0,1.1292417153892473,91,150.0,TARGET,245,200.0,TARGET,70,100.0,TARGET,68,75.0,TARGET,70,100.0,TARGET,91,150.0,TARGET,123.99908609199437,158.3988448164284,11.312218400888893,11.299436230482257,397.86164115477914,-1,88.45,2026-03-06 08:03:00+00:00,2026-03-06 07:33:00+00:00,85.0,2026-03-06 15:33:00+00:00,-0.4582237013564257,397.86164115477914,-7.910945770545587,529.3100374759113,1.2123707028202788,True,rep_2026_03,placebo_03,3,1,era_2026,False,True,False,False,0.4582237013564257,0.41250461637990193,2.2606533384411245,1.3811001152392446,SOLUSDT,2,29,416,sc_all,placebo_03
