run_id,scenario_id,ts_event_ns,client_order_id,order_side,last_price,last_quantity,native_commission,extra_cost_to_composite_model,composite_cost_rate
baseline:development-2023,DEPTH-1679667240000000000-6663,1679667780000000000,O-20230324-141700-09-000-92,2,27993.2,11.775,59.3315874,187.88336009999998,0.00075
baseline:development-2023,DEPTH-1679673480000000000-6670,1679673660000000000,O-20230324-160100-09-000-94,1,28009.0,27.619,139.24450278,440.94092546999997,0.00075
baseline:development-2023,DEPTH-1679673480000000000-6670,1679673780000000000,O-20230324-160100-09-000-95,2,27993.4,27.619,139.16694863,440.69533732,0.00075
baseline:development-2023,DEPTH-1679696040000000000-6693,1679696340000000000,O-20230324-221900-09-000-97,1,27400.0,24.935,122.97942,389.43483,0.00075
baseline:development-2023,DEPTH-1679696040000000000-6693,1679696460000000000,O-20230324-221900-09-000-98,2,27379.2,24.935,122.88606336,389.13920063999996,0.00075
baseline:development-2023,DEPTH-1679929560000000000-6932,1679929740000000000,O-20230327-150900-09-000-100,2,26784.8,8.498,40.97110147,129.74182133,0.00075
baseline:development-2023,DEPTH-1679929560000000000-6932,1679930520000000000,O-20230327-150900-09-000-101,1,26920.7,8.498,41.17897955,130.40010189999998,0.00075
baseline:development-2023,DEPTH-1680078300000000000-7083,1680078480000000000,O-20230329-082800-09-000-103,1,28471.0,19.495,99.9075861,316.37402265,0.00075
baseline:development-2023,DEPTH-1680078300000000000-7083,1680078540000000000,O-20230329-082800-09-000-104,2,28439.2,19.495,99.79599672,316.02065628,0.00075
baseline:development-2023,DEPTH-1680192840000000000-7204,1680193200000000000,O-20230330-162000-09-000-106,2,28107.6,16.436,83.15577245,263.32661275,0.00075
baseline:development-2023,DEPTH-1680192840000000000-7204,1680193560000000000,O-20230330-162000-09-000-107,1,28151.1,16.436,83.28446633,263.73414336999997,0.00075
baseline:development-2023,DEPTH-1680248400000000000-7263,1680248760000000000,O-20230331-074600-09-000-109,2,27600.4,12.279,61.00295609,193.17602761,0.00075
baseline:development-2023,DEPTH-1680248400000000000-7263,1680249000000000000,O-20230331-074600-09-000-110,1,27670.2,12.279,61.15722944,193.66455990999998,0.00075
baseline:development-2023,DEPTH-1681077720000000000-8147,1681078020000000000,O-20230409-220700-09-000-112,1,28509.6,17.216,88.34782925,279.76812595,0.00075
baseline:development-2023,DEPTH-1681077720000000000-8147,1681078080000000000,O-20230409-220700-09-000-113,2,28475.4,17.216,88.24184755,279.43251725000005,0.00075
baseline:development-2023,DEPTH-1681243020000000000-8327,1681243260000000000,O-20230411-200100-09-000-115,2,30074.099999999995,11.921,64.5324023,204.3526072749999,0.00075
baseline:development-2023,DEPTH-1681243020000000000-8327,1681243740000000000,O-20230411-200100-09-000-116,1,30136.8,11.921,64.6669427,204.7786519,0.00075
baseline:development-2023,DEPTH-1681397520000000000-8488,1681397820000000000,O-20230413-145700-09-000-118,1,30463.0,16.718,91.67047812,290.28984737999997,0.00075
baseline:development-2023,DEPTH-1681397520000000000-8488,1681397880000000000,O-20230413-145700-09-000-119,2,30434.099999999995,16.718,91.58351108,290.01445176999994,0.00075
baseline:development-2023,DEPTH-1681519500000000000-8621,1681519740000000000,O-20230415-004900-09-000-121,2,30397.0,18.871,103.25192166,326.96441859,0.00075
baseline:development-2023,DEPTH-1681519500000000000-8621,1681524180000000000,O-20230415-004900-09-000-122,1,30415.500000000004,18.871,103.31476209,327.163413285,0.00075
baseline:development-2023,DEPTH-1681675560000000000-8787,1681675860000000000,O-20230416-201100-09-000-124,2,30259.4,19.471,106.05253993,335.83304312000007,0.00075
baseline:development-2023,DEPTH-1681675560000000000-8787,1681675920000000000,O-20230416-201100-09-000-125,1,30274.300000000003,19.471,106.10476115,335.99841032500007,0.00075
baseline:development-2023,DEPTH-1681694280000000000-8808,1681694580000000000,O-20230417-012300-09-000-127,1,29937.4,13.43,72.37067076,229.17379074,0.00075
baseline:development-2023,DEPTH-1681694280000000000-8808,1681696380000000000,O-20230417-012300-09-000-128,2,29897.500000000004,13.43,72.2742165,228.86835225000007,0.00075
baseline:development-2023,DEPTH-1681818960000000000-8943,1681819320000000000,O-20230418-120200-09-000-130,1,30399.900000000005,12.38,67.74313716,214.5199343400001,0.00075
baseline:development-2023,DEPTH-1681818960000000000-8943,1681819440000000000,O-20230418-120200-09-000-131,2,30356.300000000003,12.38,67.64597892,214.21226658000003,0.00075
baseline:development-2023,DEPTH-1681841040000000000-8968,1681841280000000000,O-20230418-180800-09-000-133,2,29981.299999999996,15.824,85.39633642,270.42173197999995,0.00075
baseline:development-2023,DEPTH-1681841040000000000-8968,1681841580000000000,O-20230418-180800-09-000-134,1,30004.0,15.824,85.46099328,270.62647871999997,0.00075
