plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,rejection,scale,higher_direction,context_location,impulse_progress,impulse_efficiency,impulse_pressure,return_depth,return_pressure,return_effort,response_progress,response_pressure,peer_progress,source_penetration,source_distance,risk_range,cost_r,planned_rr,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
XRPUSDT:CONTROL:15:1724547600000000000:-1:1724551200000000000,XRPUSDT:CONTROL:15:1724547600000000000:-1,XRPUSDT,-1,1724551200000000000,1724549520000000000,0.6073,0.6099,0.6038,1.3461538461538018,0.6076,15,15:1724547600000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6076,0.6085,0.6078,0.6037,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,0.027027027027039185,3.071428571428523,1.0238095238095213,0.20015858438780104,0.580645161290314,-0.18459155207658526,0.3830962429042427,0.2142857142857681,0.0719241608188715,-0.8245770258237046,1.7857142857143111,0.2142857142857681,1.857142857142874,0.28089230769230267,1.3461538461538018,1724569440000000000,0.8890728137302466,1,1,304.0,False,2024-08,0.3262562214508608,-0.011933762536383032
XRPUSDT:CONTROL:60:1724464800000000000:-1:1724557320000000000,XRPUSDT:CONTROL:60:1724464800000000000:-1,XRPUSDT,1,1724557320000000000,1724550420000000000,0.6059,0.6036,0.6097,1.6521739130435118,0.604,60,60:1724464800000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6057,0.6058,0.6098,0.6054,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.7727272727272957,0.7857142857143027,0.8461538461538592,-0.17657368691949857,0.6290322580645201,-0.19481521183107298,0.2886408820243237,0.35714285714282884,0.29549548671290804,-0.8903605592347219,0.2142857142856973,1.357142857142908,1.6428571428571712,0.315521739130439,1.6521739130435118,1724569440000000000,-0.9803680519329058,0,0,202.0,False,2024-08,0.4374436856975774,-0.003263648126260737
SOLUSDT:CONTROL:15:1724551200000000000:-1:1724558940000000000,SOLUSDT:CONTROL:15:1724551200000000000:-1,SOLUSDT,1,1724558940000000000,1724557500000000000,157.477,157.25900000000001,158.358,4.041284403669924,157.319,15,15:1724551200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,157.309,157.452,158.368,157.412,REJECTED_CONTROL_RETURN,1.0,0.0,0.0,-0.6874530428249435,0.7895981087470756,0.538709677419356,0.08552672323032143,0.8034265103697086,-0.19861431870669746,0.3830875262100877,0.15366430260047195,0.03835946924004825,-0.46952595936792263,0.11820330969263454,0.3735224586288891,0.5153664302600371,0.8662458715596754,4.041284403669924,1724560980000000000,1.7862125854819988,1,1,34.0,False,2024-08,0.14832045689632042,-0.018199164674684777
ETHUSDT:CONTROL:60:1724551200000000000:-1:1724571000000000000,ETHUSDT:CONTROL:60:1724551200000000000:-1,ETHUSDT,-1,1724571000000000000,1724569740000000000,2745.95,2752.2400000000002,2735.9100000000003,1.5961844197136472,2747.0,60,60:1724551200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2743.99,2745.35,2746.18,2735.9,ACCEPTED_CONTROL_RETURN,0.0,0.0,-0.0,0.18259455063034946,4.684474123539318,1.0,0.22962611010354175,0.6150550795593414,-0.13658553318532393,0.9058207374184465,0.0767946577629471,0.4729339388397691,-0.6363636363635722,3.7061769616027758,0.35058430717870454,2.1001669449083966,0.5244696343401877,1.5961844197136472,1724571480000000000,0.7953949550306401,1,1,8.0,False,2024-08,0.3762470112472553,-0.010126513644783211
BTCUSDT:CONTROL:60:1724572800000000000:-1:1724582400000000000,BTCUSDT:CONTROL:60:1724572800000000000:-1,BTCUSDT,1,1724582400000000000,1724580540000000000,63804.1,63731.200000000004,63906.4,1.4032921810701109,63751.0,60,60:1724572800000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63784.9,63813.3,63906.5,63766.6,REJECTED_CONTROL_RETURN,1.0,0.0,0.0,-0.16894977168953373,0.7167420814479847,0.4112149532710005,-0.021772981186327783,0.5841414717627154,-0.14309175079095512,0.9986236523037951,0.3438914027149548,0.1888496867206034,-1.5043804755943895,0.3565610859728215,0.9610859728507157,1.3194570135746422,1.0496732510288904,1.4032921810701109,1724583780000000000,0.32883534625678,1,1,23.0,False,2024-08,0.6165793085474577,-0.00562590498189025
BTCUSDT:CONTROL:15:1724597100000000000:1:1724611560000000000,BTCUSDT:CONTROL:15:1724597100000000000:1,BTCUSDT,-1,1724611560000000000,1724599740000000000,64190.0,64270.1,63950.1,2.995006242197326,64237.7,15,15:1724597100000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64191.0,64208.7,64222.9,63950.0,REJECTED_CONTROL_RETURN,1.0,0.0,-0.0,-0.6111707841031402,2.1926851025870304,0.7763739734681292,0.21104851797921104,0.7497656982193098,-0.18110150963040075,0.9272162737509272,0.5851917930419863,0.7087592660629768,-1.6666666666667078,0.5762711864407374,0.8510258697591028,1.429081177520064,0.9622479400749239,2.995006242197326,1724620140000000000,-0.9607628983723656,0,0,143.0,False,2024-08,0.30626479354909325,-0.010717431844810894
BTCUSDT:CONTROL:60:1724601600000000000:1:1724622300000000000,BTCUSDT:CONTROL:60:1724601600000000000:1,BTCUSDT,1,1724622300000000000,1724620140000000000,64287.7,64175.1,64549.9,2.3285968028419872,64270.0,60,60:1724601600000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64194.6,64261.0,64550.0,64248.5,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,-0.355905918842088,3.189189189189189,0.7788778877888163,0.1885780592900273,0.6996532408642355,-0.3455789811379733,1.347739484556655,0.25405405405389675,-0.3455789811379733,-1.8749999999998785,2.135135135135135,0.4783783783782997,3.0432432432432037,0.6845264653641295,2.3285968028419872,1724624040000000000,1.0744888075583814,1,1,29.0,False,2024-08,0.4010314257513028,-0.005520973425616041
ETHUSDT:CONTROL:15:1724650200000000000:-1:1724653320000000000,ETHUSDT:CONTROL:15:1724650200000000000:-1,ETHUSDT,-1,1724653320000000000,1724652660000000000,2737.4,2741.92,2732.01,1.1924778761061714,2739.13,15,15:1724650200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2735.54,2739.5,2738.61,2732.0,ACCEPTED_CONTROL_RETURN,0.0,0.0,-0.0,0.3211816467630245,2.002853067047138,0.8087557603687191,0.06511810410923236,0.5443548387096826,-0.28693460897791817,0.7419216710818402,0.16833095577737822,-0.09207057600358351,0.5359661495063381,2.034236804565007,0.49358059914410174,1.2895863052782124,0.7273433628318613,1.1924778761061714,1724654100000000000,-0.9661268991299882,0,0,13.0,False,2024-08,0.7318369124510412,0.0004778686414064863
XRPUSDT:CONTROL:15:1724647500000000000:1:1724660460000000000,XRPUSDT:CONTROL:15:1724647500000000000:1,XRPUSDT,-1,1724660460000000000,1724651460000000000,0.5964,0.5979,0.5916,3.2000000000001334,0.5976,15,15:1724647500000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.597,0.5972,0.5971,0.5915,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,1.0,-0.43750000000000866,0.9999999999999347,0.8095238095238196,0.316286912585592,0.765625000000007,-0.14607801200818868,1.1538513813252562,0.2941176470587851,0.45701241508598556,-0.9649390243902561,0.11764705882351405,0.7058823529411495,0.8823529411764206,0.47772000000001724,3.2000000000001334,1724660520000000000,-0.9737986991591453,0,0,1.0,False,2024-08,0.2784598265183147,-0.006544495202575464
ETHUSDT:CONTROL:15:1724670900000000000:-1:1724678040000000000,ETHUSDT:CONTROL:15:1724670900000000000:-1,ETHUSDT,-1,1724678040000000000,1724675280000000000,2731.71,2736.1400000000003,2716.86,3.3521444695257188,2733.51,15,15:1724670900000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2729.04,2733.19,2733.74,2716.85,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,-0.22153719687629847,2.222996515679448,0.9989561586638603,0.06249984125368694,0.7703473302229034,-0.269571395008264,0.9453737720770766,0.47154471544708837,0.4707473980085426,-0.8854064642507427,2.346109175377518,0.4181184668989908,1.0290360046458131,0.7405665914220733,3.3521444695257188,1724678400000000000,-0.9657847131614324,0,0,6.0,False,2024-08,0.28973698529318626,-0.00816076746479648
