source_id,symbol,source_kind,source_side,source_price,source_timeframe_minutes,source_semantic_weight,source_accumulated,source_interaction_index,source_interaction_time_ns,line_slope_atr_per_hour,branch,side,confirmation_index,confirmation_time_ns,event_extreme,zone_lower,zone_upper,location_kind,event_strength,reason,counterfactual_mfe_r,counterfactual_mae_r,episode_id,response_index,response_time_ns,diagnostic_role,diagnostic_period
ETHUSDT:ACTIVE_POOL:LOW:1762525200000000000:036a254247a7632a,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,3225.44,5,7.802382526265615,True,95901,1762525320000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,95903.0,1.76252544e+18,3223.5,3227.49,3228.63,ORDER_BLOCK,2.1363946919482104,NO_FIRST_DEFENDED_RETURN,33.402079722703746,-6.299826689774701,,,,dev,2025-11-01_2025-11-08
BTCUSDT:ACTIVE_POOL:HIGH:1738695300000000000:31824124233b3291,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,99588.2,15,20.5527240836286,True,91866,1738696020000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,91867.0,1.73869608e+18,99630.0,99592.3,99608.0,TRANSFERRED_BOUNDARY_OB_OVERLAP,2.833529517353345,NO_FIRST_DEFENDED_RETURN,32.94230769230769,-11.707692307692364,,,,dev,2025-02-01_2025-02-08
XRPUSDT:ACTIVE_POOL:LOW:1722599100000000000:cb3831c42d302a9d,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,0.5717,15,17.06655810468878,True,88587,1722601680000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,88588.0,1.72260174e+18,0.571,0.5718,0.572,DIRECTIONAL_FVG,4.55368546730722,NO_FIRST_DEFENDED_RETURN,32.8589909443764,-12.677878395861612,,,,dev,2024-08-01_2024-08-08
SOLUSDT:ACTIVE_POOL:LOW:1707135000000000000:d1d8291971414844,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,97.507,5,10.363292980609836,True,92906,1707136020000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,92908.0,1.70713614e+18,97.399,97.518,97.541,DIRECTIONAL_FVG,3.636336030967602,NO_FIRST_DEFENDED_RETURN,32.787597797735394,-17.45870762097734,,,,dev,2024-02-01_2024-02-08
BTCUSDT:ACTIVE_POOL:LOW:1722495600000000000:b3c1619cbbbe6173,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,64100.0,15,14.832273432209666,True,87271,1722522720000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,87272.0,1.72252278e+18,64059.0,64097.8,64161.2,DIRECTIONAL_FVG,4.756457564575585,NO_FIRST_DEFENDED_RETURN,32.68671725020592,-6.618520888563889,,,,dev,2024-08-01_2024-08-08
ETHUSDT:ACTIVE_POOL:HIGH:1707035400000000000:79c8294f329ee7c2,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,2291.34,15,7.951761695999088,True,91231,1707035520000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,91232.0,1.70703558e+18,2292.53,2290.23,2291.54,DIRECTIONAL_FVG,3.684192960790023,NO_FIRST_DEFENDED_RETURN,32.33857840479366,-11.484897811545611,,,,dev,2024-02-01_2024-02-08
ETHUSDT:ACTIVE_POOL:HIGH:1707078600000000000:9828c373c108e485,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,2281.03,15,17.583907575444368,True,91959,1707079200000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,91962.0,1.70707938e+18,2281.92,2278.96,2280.39,DIRECTIONAL_FVG,1.6599130290702608,NO_FIRST_DEFENDED_RETURN,31.596998928188903,-7.020364415863058,,,,dev,2024-02-01_2024-02-08
ETHUSDT:ACTIVE_POOL:HIGH:1722593700000000000:725fae0e36ad29fe,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3161.86,15,14.213579818633264,True,88495,1722596160000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,88497.0,1.72259628e+18,3162.98,3161.0758,3161.62,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.878111518143903,NO_FIRST_DEFENDED_RETURN,31.551378446113382,-5.76441102756858,,,,dev,2024-08-01_2024-08-08
XRPUSDT:ACTIVE_POOL:HIGH:1762174800000000000:a5e045588911ec48,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,2.4143,15,18.866165312257007,True,90097,1762177080000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,90100.0,1.76217726e+18,2.4161,2.4138,2.415101,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.490173798122906,NO_FIRST_DEFENDED_RETURN,31.3333333333314,-4.256410256409985,,,,dev,2025-11-01_2025-11-08
XRPUSDT:ACTIVE_POOL:HIGH:1762056000000000000:c2d7b00461cd96f7,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,2.512,15,18.47595050768324,True,88105,1762057560000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,88107.0,1.76205768e+18,2.5135,2.5105,2.5116,DIRECTIONAL_FVG,2.9405396305197606,NO_FIRST_DEFENDED_RETURN,31.17505995204691,-5.035971223022893,,,,dev,2025-11-01_2025-11-08
