scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,actual_entry_price,opened_ts_ns,opened_bar_index,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
LRB-1708999200000000000-000111,SRR,SHORT,1708999260000000000,2024-02-27,2,1708999320000000000,55712.7,55751.2,55901.299999999996,54825.299999999996,OPPOSING_INTERNAL_LIQUIDITY,55876.0,160.03000000000029,9.033,68796.03298402,2063.8809895206,228.45915168000337,3.713120896063644,0.0007,55751.100000000006,1708999320000000000,1561,55901.4,1708999560000000000,2024-02-27,2,4.0,-2063.64982275,-0.002695910932699007,-0.9998879941373685,STOP,
LRB-1709009160000000000-000119,SRR,LONG,1709009280000000000,2024-02-27,4,1709009340000000000,55976.3,55939.1,55936.3,56175.100000000006,OPPOSING_INTERNAL_LIQUIDITY,55957.7,56.51499999999978,24.614,66732.38316127,2001.9714948381,81.3339651599985,1.9342480068508063,0.0007,55939.2,1709009340000000000,1728,55936.2,1709009400000000000,2024-02-27,4,1.0,-2001.43276692,-5.3629655054058696e-05,-0.9997309013042948,STOP,
LRB-1709014020000000000-000124,SRR,SHORT,1709014200000000000,2024-02-27,6,1709014260000000000,56265.5,56299.9,56325.100000000006,56103.5,OPPOSING_INTERNAL_LIQUIDITY,56277.5,48.524999999999636,18.633,64730.95039435,1941.9285118305,104.21948739999343,1.127597371007688,0.0007,56299.8,1709014260000000000,1810,56325.2,1709015100000000000,2024-02-27,6,14.0,-1942.2573375,-0.0004511561319932607,-1.0001693294410667,STOP,
LRB-1709016120000000000-000127,SRR,SHORT,1709016180000000000,2024-02-27,6,1709016240000000000,56439.6,56443.5,56491.2,56258.6,OPPOSING_INTERNAL_LIQUIDITY,56449.0,49.51999999999971,14.841,62788.69305685,1883.6607917055,126.91586311999944,0.8336903472811675,0.0007,56443.4,1709016240000000000,1843,56491.299999999996,1709016300000000000,2024-02-27,6,1.0,-1884.12861789,-0.0008486377503834669,-1.0002483601010117,STOP,
LRB-1709021580000000000-000133,SRR,SHORT,1709021760000000000,2024-02-27,8,1709021820000000000,56318.2,56319.9,56368.6,56051.7,OPPOSING_INTERNAL_LIQUIDITY,56323.8,44.80999999999985,14.3,60904.56443896,1827.1369331688,127.76673935999544,1.4819183846158939,0.0007,56319.8,1709021820000000000,1936,56368.700000000004,1709021940000000000,2024-02-27,8,2.0,-1827.281885,-0.0008682559242043021,-1.0000793327684252,STOP,
LRB-1709021940000000000-000134,SRR,SHORT,1709022060000000000,2024-02-27,8,1709022120000000000,56374.9,56386.0,56393.6,56075.6,OPPOSING_INTERNAL_LIQUIDITY,56386.9,47.17500000000037,20.437,59077.28255396,1772.3184766187999,86.71970180000052,2.6692536435820644,0.0007,56385.9,1709022120000000000,1941,56393.7,1709022180000000000,2024-02-27,8,1.0,-1772.82227964,-0.0001383324554542117,-1.0002842621277421,STOP,
LRB-1709022300000000000-000135,SRR,SHORT,1709022420000000000,2024-02-27,8,1709022480000000000,56399.9,56435.4,56440.1,56247.100000000006,OPPOSING_INTERNAL_LIQUIDITY,56410.9,38.295000000000435,20.496,57304.46027432,1719.1338082296,83.87642451999987,1.302180566530461,0.0007,56435.299999999996,1709022480000000000,1947,56440.2,1709022540000000000,2024-02-27,8,1.0,-1719.8777736,-8.682508997031035e-05,-1.000432755941881,STOP,
LRB-1709031240000000000-000147,SRR,SHORT,1709031300000000000,2024-02-27,10,1709031360000000000,56628.3,56615.0,56677.299999999996,56406.1,OPPOSING_INTERNAL_LIQUIDITY,56666.7,56.46000000000131,11.758,55584.58250072,1667.5374750216,141.8214217600005,0.9137211317715748,0.0007,56614.899999999994,1709031360000000000,2095,56406.2,1709034360000000000,2024-02-27,11,50.0,1523.66313434,0.003686308727914332,0.9137204753495952,TARGET,
LRB-1709043300000000000-000161,SRR,LONG,1709043360000000000,2024-02-27,14,1709043420000000000,56826.8,56822.0,56775.9,57250.0,OPPOSING_INTERNAL_LIQUIDITY,56789.0,79.0299999999992,13.614,57108.24563506,1713.2473690517998,125.84091432000018,2.764995803472954,0.0007,56822.1,1709043420000000000,2296,56775.8,1709043840000000000,2024-02-27,14,7.0,-1712.89346742,-0.0008148238097500028,-0.9997934322630855,STOP,
LRB-1709045220000000000-000164,SRR,LONG,1709045340000000000,2024-02-27,14,1709045400000000000,56790.0,56771.4,56658.1,57399.299999999996,OPPOSING_INTERNAL_LIQUIDITY,56780.5,124.72499999999964,8.616,55395.35216764,1661.8605650292,192.8786654000057,2.8400264428622757,0.0007,56771.5,1709045400000000000,2329,56658.0,1709049360000000000,2024-02-27,15,66.0,-1662.0320004,-0.00199924257770184,-1.00010315869719,STOP,
