ts_ns,nav
1706800020000000000,85651.40088815
1706800080000000000,85651.40088815
1706800140000000000,85651.40088815
1706800200000000000,85651.40088815
1706800260000000000,85651.40088815
1706800320000000000,85651.40088815
1706800380000000000,85651.40088815
1706800440000000000,85651.40088815
1706800500000000000,85651.40088815
1706800560000000000,85651.40088815
1706800620000000000,85651.40088815
1706800680000000000,85651.40088815
1706800740000000000,85651.40088815
1706800800000000000,85651.40088815
1706800860000000000,85651.40088815
1706800920000000000,85651.40088815
1706800980000000000,85651.40088815
1706801040000000000,85651.40088815
1706801100000000000,85651.40088815
1706801160000000000,85651.40088815
1706801220000000000,85651.40088815
1706801280000000000,85651.40088815
1706801340000000000,85651.40088815
1706801400000000000,85651.40088815
1706801460000000000,85651.40088815
1706801520000000000,85651.40088815
1706801580000000000,85651.40088815
1706801640000000000,85651.40088815
1706801700000000000,85651.40088815
1706801760000000000,85651.40088815
1706801820000000000,85651.40088815
1706801880000000000,85651.40088815
1706801940000000000,85651.40088815
1706802000000000000,85651.40088815
1706802060000000000,85651.40088815
1706802120000000000,85651.40088815
1706802180000000000,85651.40088815
1706802240000000000,85651.40088815
1706802300000000000,85651.40088815
1706802360000000000,85651.40088815
1706802420000000000,85651.40088815
1706802480000000000,85651.40088815
1706802540000000000,85651.40088815
1706802600000000000,85651.40088815
1706802660000000000,85651.40088815
1706802720000000000,85651.40088815
1706802780000000000,85651.40088815
1706802840000000000,85651.40088815
1706802900000000000,85651.40088815
1706802960000000000,85651.40088815
1706803020000000000,85651.40088815
1706803080000000000,85651.40088815
1706803140000000000,85651.40088815
1706803200000000000,85651.40088815
1706803260000000000,85651.40088815
1706803320000000000,85651.40088815
1706803380000000000,85651.40088815
1706803440000000000,85651.40088815
1706803500000000000,85651.40088815
1706803560000000000,85651.40088815
1706803620000000000,85651.40088815
1706803680000000000,85651.40088815
1706803740000000000,85651.40088815
1706803800000000000,85651.40088815
1706803860000000000,85651.40088815
1706803920000000000,85651.40088815
1706803980000000000,85651.40088815
1706804040000000000,85651.40088815
1706804100000000000,85651.40088815
1706804160000000000,85651.40088815
1706804220000000000,85651.40088815
1706804280000000000,85651.40088815
1706804340000000000,85651.40088815
1706804400000000000,85651.40088815
1706804460000000000,85651.40088815
1706804520000000000,85651.40088815
1706804580000000000,85651.40088815
1706804640000000000,85651.40088815
1706804700000000000,85651.40088815
1706804760000000000,85651.40088815
1706804820000000000,85651.40088815
1706804880000000000,85651.40088815
1706804940000000000,85651.40088815
1706805000000000000,85651.40088815
1706805060000000000,85651.40088815
1706805120000000000,85651.40088815
1706805180000000000,85651.40088815
1706805240000000000,85651.40088815
1706805300000000000,85651.40088815
1706805360000000000,85651.40088815
1706805420000000000,85651.40088815
1706805480000000000,85651.40088815
1706805540000000000,85651.40088815
1706805600000000000,85651.40088815
1706805660000000000,85651.40088815
1706805720000000000,85651.40088815
1706805780000000000,85651.40088815
1706805840000000000,85651.40088815
1706805900000000000,85651.40088815
1706805960000000000,85651.40088815
1706806020000000000,85651.40088815
1706806080000000000,85651.40088815
1706806140000000000,85651.40088815
1706806200000000000,85651.40088815
1706806260000000000,85651.40088815
1706806320000000000,85651.40088815
