source_id,symbol,source_kind,source_side,source_price,source_timeframe_minutes,source_semantic_weight,source_accumulated,source_interaction_index,source_interaction_time_ns,line_slope_atr_per_hour,branch,side,confirmation_index,confirmation_time_ns,event_extreme,zone_lower,zone_upper,location_kind,event_strength,reason,counterfactual_mfe_r,counterfactual_mae_r,response_index,response_time_ns,episode_id
XRPUSDT:ACTIVE_POOL:LOW:1755572400000000000:bd4288ba1f115650,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,3.0238,60,91.59545722179564,True,52043,1755573840000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52046.0,1.75557402e+18,3.0177,3.0234,3.0236,DIRECTIONAL_FVG,4.5738223891627054,NO_FIRST_DEFENDED_RETURN,8.01137313932106,-1.1874895467469369,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755531300000000000:74b6424423e0576c,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,115688.0,60,105.9103566712602,True,51338,1755531540000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51341.0,1.75553172e+18,115794.2,115703.6,115715.7,DIRECTIONAL_FVG_OB_OVERLAP,3.4047899228969154,NO_FIRST_DEFENDED_RETURN,7.794874196898011,-0.6854180816100831,,,
XRPUSDT:ACTIVE_POOL:LOW:1755533700000000000:69ecf359fb8bea76,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.9847,15,11.312549778522126,True,52073,1755575640000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,52074.0,1.7555757e+18,2.9829,2.9838,2.9856000000000003,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.38721163433197,NO_FIRST_DEFENDED_RETURN,7.760000000000199,-3.2400000000000677,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755495900000000000:9f57936d74ed8b4a,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,115640.4,15,8.705961210065222,True,50760,1755496860000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,50761.0,1.75549692e+18,115684.5,115640.0,115658.93999999999,TRANSFERRED_BOUNDARY_OB_OVERLAP,7.315249266863531,NO_FIRST_DEFENDED_RETURN,7.629096722621501,-0.2262190247801886,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755521700000000000:4f64c4bdc6b3875b,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,115342.5,15,14.109722733450093,True,51176,1755521820000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51178.0,1.75552194e+18,115420.0,115293.8,115343.3,DIRECTIONAL_FVG,5.74257566972458,NO_FIRST_DEFENDED_RETURN,7.3038580030227545,-5.375269465528909,,,
ETHUSDT:ACTIVE_POOL:LOW:1755531000000000000:f545ee0f1da2dab2,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4278.43,15,14.928003189293976,True,51871,1755563520000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,51873.0,1.75556364e+18,4265.0,4283.53,4284.58,DIRECTIONAL_FVG,5.254635352286707,NO_FIRST_DEFENDED_RETURN,7.094737228554968,-7.793197129063388,,,
SOLUSDT:ACTIVE_POOL:LOW:1755572400000000000:e451496f9c0b00b9,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,181.09,60,101.51326955247,True,52042,1755573780000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52043.0,1.75557384e+18,180.66,180.99,181.13,DIRECTIONAL_FVG,4.857142857142874,NEAREST_OPPOSING_LIQUIDITY_RR_BELOW_ONE,6.92706803720014,-0.27802251590802524,52048.0,1.75557414e+18,
XRPUSDT:15m:LOW:c3401:s2:1755514800000000000,XRPUSDT,DEFENDED_INTRADAY_SWING,LOW,2.9535,15,3.173354153031047,False,52709,1755613800000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52711.0,1.75561392e+18,2.9407,2.9482,2.9502,ORDER_BLOCK,5.085344827586129,NO_FIRST_DEFENDED_RETURN,6.503036437247051,-2.44180161943321,,,
XRPUSDT:ACTIVE_POOL:HIGH:1755516900000000000:fad34b77682b9172,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,2.9772,15,28.86588406066283,True,51157,1755520680000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51168.0,1.75552134e+18,2.9815,2.9781,2.9791,DIRECTIONAL_FVG_OB_OVERLAP,3.297246085722441,NO_FIRST_DEFENDED_RETURN,6.091954022988275,-2.1695402298849484,,,
ETHUSDT:ACTIVE_POOL:HIGH:1755531900000000000:d5fb2b064baa19df,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,4336.33,15,14.39223661724594,True,51350,1755532260000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51353.0,1.75553244e+18,4345.68,4331.79,4332.19,DIRECTIONAL_FVG,2.831849311106839,NO_FIRST_DEFENDED_RETURN,6.06698178464399,-6.337906386903509,,,
BTCUSDT:ACTIVE_POOL:LOW:1754510400000000000:41454cc591fd8c30,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,113520.0,240,178.3004125790856,True,52839,1755621600000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52843.0,1.75562184e+18,113373.0,113460.6,113514.7,DIRECTIONAL_FVG,3.454655938659801,NO_FIRST_DEFENDED_RETURN,5.976649144045843,-0.9571088487882167,,,
