client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,position_id,order_side,order_type,last_qty,last_px,currency,commission,liquidity_side,event_id,ts_event,ts_init,info,reconciliation
O-20250304-054500-001-000-16,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-016,BINANCE-001,T-236d9692211a45f0-17380,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,8.096,84100.0,USDT,578.74256000 USDT,TAKER,83471e84-c28e-4e75-8d36-aa7503f091c9,2025-03-04 05:45:00+00:00,2025-03-04 05:45:00+00:00,{},False
O-20250304-054500-001-000-17,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-017,BINANCE-001,T-5132fba2482dcc57-17452,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,STOP_MARKET,8.096,84354.6,USDT,580.49461536 USDT,TAKER,fb079a91-55f8-429a-848c-c39d967815a0,2025-03-04 06:04:00+00:00,2025-03-04 06:04:00+00:00,{},False
O-20250304-081500-001-000-19,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-019,BINANCE-001,T-a58afe2c9679a3bc-17948,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,7.756,83244.1,USDT,548.79505366 USDT,TAKER,6a8da8f1-4314-4f3e-83e1-3f82a1ebeaeb,2025-03-04 08:15:00+00:00,2025-03-04 08:15:00+00:00,{},False
O-20250304-081500-001-000-21,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-021,BINANCE-001,T-3aa5daee8fc6d1d4-17960,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,7.756,83345.5,USDT,193.92830940 USDT,MAKER,ff5deb54-795e-4da7-9420-67a40a9372a3,2025-03-04 08:18:00+00:00,2025-03-04 08:18:00+00:00,{},False
O-20250304-102500-001-000-22,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-022,BINANCE-001,T-bf21ab85a2cf3e29-18446,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,13.376,83527.9,USDT,949.67881184 USDT,TAKER,fc1e76aa-7e18-4aa2-a6fb-2e890fb4b621,2025-03-04 10:25:00+00:00,2025-03-04 10:25:00+00:00,{},False
O-20250304-102500-001-000-24,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-024,BINANCE-001,T-1011410fecce6a62-18476,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,13.376,83759.8,USDT,336.11132544 USDT,MAKER,036a7ae6-ca3c-4437-a92f-dedea813c0e5,2025-03-04 10:33:00+00:00,2025-03-04 10:33:00+00:00,{},False
O-20250304-233000-001-000-25,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-025,BINANCE-001,T-d80faef577c8bdcc-21455,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,6.798,87367.5,USDT,504.83562525 USDT,TAKER,43a5b3ab-5023-4a1d-b5be-131119b0aabd,2025-03-04 23:30:00+00:00,2025-03-04 23:30:00+00:00,{},False
O-20250304-233000-001-000-26,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-026,BINANCE-001,T-f7d828425c66ab54-21585,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,STOP_MARKET,6.798,87049.3,USDT,502.99697019 USDT,TAKER,1285a35b-0952-457a-867c-7d5d5b836457,2025-03-05 00:05:00+00:00,2025-03-05 00:05:00+00:00,{},False
O-20250305-114500-001-000-28,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-028,BINANCE-001,T-44e6af8faff8a759-24186,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,6.762,89802.2,USDT,516.15610494 USDT,TAKER,3fc9c0fe-9415-43a6-b5cf-d781be12c1e8,2025-03-05 11:45:00+00:00,2025-03-05 11:45:00+00:00,{},False
O-20250305-114500-001-000-30,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-030,BINANCE-001,T-97c02e355fea59d0-24198,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,6.762,89974.6,USDT,182.52247356 USDT,MAKER,fe298963-bb16-428f-8a76-3d332a8ab29f,2025-03-05 11:48:00+00:00,2025-03-05 11:48:00+00:00,{},False
O-20250305-162000-001-000-31,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-031,BINANCE-001,T-0cbadce81c3a400c-25243,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,5.483,87967.2,USDT,409.97553396 USDT,TAKER,841ec35c-7771-4b73-b244-2af2359943e1,2025-03-05 16:20:00+00:00,2025-03-05 16:20:00+00:00,{},False
O-20250305-162000-001-000-33,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-033,BINANCE-001,T-12a324cf17145a06-25320,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,5.483,88250.4,USDT,145.16308296 USDT,MAKER,9a7b4d4b-76e4-464f-a4c0-b9b00fddc6b5,2025-03-05 16:40:00+00:00,2025-03-05 16:40:00+00:00,{},False
O-20250305-185000-001-000-34,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-034,BINANCE-001,T-72c45b5f03858dc0-25831,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,6.226,89259.8,USDT,472.37178758 USDT,TAKER,3e3eadcc-6d90-4d5b-9e0e-a9e84a56c04e,2025-03-05 18:50:00+00:00,2025-03-05 18:50:00+00:00,{},False
O-20250305-185000-001-000-36,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-036,BINANCE-001,T-f6e49b38c016858c-25857,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,6.226,89568.0,USDT,167.29511040 USDT,MAKER,278ee012-fced-4ded-bcbf-9f197962dc83,2025-03-05 18:57:00+00:00,2025-03-05 18:57:00+00:00,{},False
