symbol,symbol_priority,provisional_index,provisional_time,event_label,offset_minute,bar_index,bar_time,parent_direction,side,fresh_parent_extreme,dynamic_parent_extreme,extreme_updates,bars_since_extreme,close,directional_return_bps,efficiency_60s,flow_60s,flow_3m,parent_flow_consensus,opposite_flow_consensus,parent_flow_run,opposite_flow_run,return_z_vs_parent,efficiency_z_vs_parent,impact_per_abs_flow,impact_per_abs_flow_z_vs_parent,opposite_depth_change,same_depth_change,resilience_1m,resilience_3m,retrace_fraction_from_dynamic_extreme,premium_change_directional,oi_change_5m,parent_run_vwap,pre_value_15m,pre_value_30m,pre_value_60m,source_run_start_open,source_target_touched,parent_vwap_touched,pre_value_15m_touched,pre_value_30m_touched,pre_value_60m_touched,absorption_under_load_observation,deep_absorption_under_load_observation,counterflow_resilience_observation,next_open,updated_stop,pre_value_15m_cost_rr,pre_value_15m_geometry_eligible,pre_value_15m_net_reward_bps,pre_value_30m_cost_rr,pre_value_30m_geometry_eligible,pre_value_30m_net_reward_bps,pre_value_60m_cost_rr,pre_value_60m_geometry_eligible,pre_value_60m_net_reward_bps
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,95,1470,2026-04-14T00:30:59.999000+00:00,1,-1,False,74870.0,2,80,74255.1,3.3942822833228727,0.1733397697494971,0.3296714436508837,0.0614002212408669,True,False,1,0,-0.39380029246081555,0.9124561909945584,10.295954801918066,-0.35726341650479776,0.1426874337129267,0.0903438156057656,0.052343618107161094,0.0963518402946097,0.900688442947117,-4.125e-05,0.0003286053131583,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74255.1,74877.6185,,False,-7.828456851379766,,False,-8.317145867871005,0.1033880255239531,False,10.73530773176514
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,96,1471,2026-04-14T00:31:59.999000+00:00,1,-1,False,74870.0,2,81,74190.2,-8.743962137575759,0.33462815398983,-0.4820062200665468,-0.076762449355534,False,True,0,1,-1.5659811563213104,2.202677919502797,-18.14076618420071,-1.1815532607560641,-0.0137251289438293,-0.0237775629891491,0.0100524340453198,0.0830770371614367,0.9957521605390447,-0.00015285,0.0003286053131583,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,True,True,False,False,False,False,False,True,74190.3,74877.9055,,False,-16.552121319699502,,False,-17.041237171615524,0.017996393618624103,False,2.0278574039056707
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,97,1472,2026-04-14T00:32:59.999000+00:00,1,-1,False,74870.0,2,82,74191.6,0.1752235279416439,0.0092725928607596,-0.1501750669945871,-0.171797877495478,False,True,0,2,-0.7046623036264391,-0.39999440830854327,1.1667950708941108,-0.6218886402253523,-0.0002464769865428,0.0241890160804951,-0.024435493067037902,0.03796055908544299,0.9937014794199459,3.032000000000002e-05,0.0003286053131583,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,True,True,False,False,False,False,False,True,74191.6,74877.6395,,False,-16.37695974132989,,False,-16.866067022861515,0.01958495965570631,False,2.2026934201857706
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,98,1473,2026-04-14T00:33:59.999000+00:00,1,-1,False,74870.0,2,83,74161.5,-4.057886274440963,0.0693485660291563,-0.2797168510286895,-0.3168365655337093,False,True,0,3,-1.1134504391190858,0.08058158796187101,-14.507121253164167,-1.0762254834877008,-0.1202930073920768,0.0005532811803086,-0.1208462885723854,-0.1352293475941035,1.0377911234803032,0.0001430899999999,0.0003286053131583,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,True,True,True,True,False,False,False,False,74161.5,74877.67,,False,-20.434198962331322,,False,-20.923504758310045,,False,-1.8470048589502674
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,99,1474,2026-04-14T00:34:59.999000+00:00,1,-1,False,74870.0,2,84,74198.0,4.920480419038562,0.3028715050036666,0.5296129061291182,-0.0937205717833624,False,False,0,0,-0.24641652038374537,1.9486415315785197,9.29071093639412,-0.3864022300041375,0.0433134809617603,-0.0161397678616591,0.0594532488234194,-0.0858285328160039,0.9843269371612756,0.00010064,0.0003286053131583,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,True,True,True,True,False,False,False,False,74198.1,74877.678,,False,-15.501243917901402,,False,-15.990308352010745,0.027572278116034438,False,3.076781604286502
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,100,1475,2026-04-14T00:35:59.999000+00:00,1,-1,False,74870.0,2,85,74257.5,8.002393061614347,0.3054086466613722,0.5998677470143423,0.1116073951071251,True,False,1,0,0.05120139687431029,1.9689373223169115,13.340262251855453,-0.2690186531586017,0.0304275613026203,0.0362499800824898,-0.005822418779869502,-0.0672154585288355,0.897172989600121,0.0001792999999999,0.0012201650455252,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74257.6,74877.643,,False,-7.492200749079618,,False,-7.980873313079266,0.10696670065494517,False,11.07093885545753
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,101,1476,2026-04-14T00:36:59.999000+00:00,1,-1,False,74870.0,2,86,74346.1,11.9108757672694,0.3911820100598741,0.2479424466153309,0.4404397390927048,True,False,2,0,0.4286405450274471,2.6550788427073573,48.03887325392264,0.7367834107499269,0.1110086429618562,-0.0593678853371061,0.1703765282989623,0.2240073583425122,0.7673941702065277,0.0002434,0.0012201650455252,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74346.1,74877.975,0.048030106895408875,False,4.396695370101362,0.04269813500660205,False,3.9086045114222934,0.25057501289410605,False,22.937737812112076
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,102,1477,2026-04-14T00:37:59.999000+00:00,1,-1,False,74870.0,2,87,74323.7,-3.013389426704776,0.1968356062998412,-0.0396444074142163,0.2966624771122646,False,False,0,0,-1.0125841873923533,1.1004104506240706,-76.01045451743033,-2.859010953798533,0.0554940655351183,-0.0030027612293305,0.0584968267644488,0.22305093628354158,0.8002050681119163,-0.00055141,0.0012201650455252,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74323.7,74878.033,0.014698155688988458,False,1.3902046541691888,0.009536183635646789,False,0.9019666925436276,0.21078530057921022,False,19.936835076199714
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,103,1478,2026-04-14T00:38:59.999000+00:00,1,-1,False,74870.0,2,88,74377.8,7.276322348722913,0.4581259145250581,0.4388829294564559,0.212436967873172,True,False,1,0,-0.018914689599904718,3.1905946552004507,16.579187433236132,-0.17513254249890087,-0.048526571118544,0.0268445829257906,-0.0753711540443346,0.1535022010190765,0.7209608905815134,0.00012301,0.0012201650455252,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74377.8,74877.9675,0.09912471195048125,False,8.648321860220705,0.09353273166985032,False,8.160439027057336,0.31154652209992456,False,27.18146206466156
BTCUSDT,0,1375,2026-04-13T22:55:59.999000+00:00,EARLY_STOP_LATER_POSITIVE,104,1479,2026-04-14T00:39:59.999000+00:00,1,-1,False,74870.0,2,89,74359.9,-2.4069217268282923,0.0826218898468882,0.2047175929875614,0.1947842935181561,True,False,2,0,-0.9540180712643281,0.1867611549519227,-11.757278364262417,-0.9965163085896968,0.1563523063739049,-0.093827839152718,0.25018014552662293,0.23330581824673713,0.7471803134612685,-0.0001731999999999,0.0012201650455252,74501.20795334717,74164.7200846345,74168.34884981334,74026.8746650847,74187.3,False,True,False,False,False,False,False,False,74359.8,74878.1275,0.06950081240966391,False,6.234593875388292,0.0640607690021711,False,5.746592942244018,0.2761510167952222,False,24.77222032809425
