group,policy,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,mean_without_best,top1_positive_share,top2_positive_share
phase:30,continuation,240,864,-0.001014148210382134,-0.002063001473194868,0.4166666666666667,0.8304435243693957,4.291517552743921,5.167741606514086,-0.01511857100448809,0.013114657329123296,0.26274335459277176,-0.16377750009174652,-0.0013197768347195085,0.06122387974966531,0.10627153043994705
phase:30,reversal,240,864,-0.0027858517896178657,-0.0017369985268051319,0.3958333333333333,0.5940405178239927,3.5221279469174855,5.929103893147323,-0.01691465732912329,0.011318571004488092,0.1599775000917465,-0.2665433545927718,-0.002974453587858149,0.045420695245258325,0.07836811895187594
phase:30,continuation,480,864,-0.0008602862882110265,-0.001535683715424661,0.4583333333333333,0.9022762300119439,6.862716315337527,7.606003668351855,-0.019603633458947275,0.02290237933845061,0.21802548359107843,-0.2915898456309304,-0.0011139198570166919,0.031769560852138376,0.05213057225812549
phase:30,reversal,480,864,-0.002939713711788975,-0.0022643162845753387,0.42939814814814814,0.7028505004368225,6.007679224174989,8.547591871160666,-0.026702379338450592,0.015803633458947277,0.28778984563093035,-0.22182548359107845,-0.0032765961675742814,0.04790366377633143,0.07940963882758018
phase:30,continuation,720,864,-0.0015825516038860574,-0.001641007119931413,0.45717592592592593,0.8621228142665431,8.5496502820125,9.916974867770056,-0.028017918589883947,0.026910942083553924,0.27023800847241364,-0.29179098116947466,-0.0018975232841598694,0.031608077472006536,0.05329861925032826
phase:30,reversal,720,864,-0.0022174483961139454,-0.002158992880068587,0.4363425925925926,0.8124550654548315,8.299678628253055,10.215554042495507,-0.030710942083553898,0.024217918589883956,0.28799098116947464,-0.27403800847241366,-0.002553726993524824,0.03469905210415261,0.05536125364698721
phase:45,continuation,30,864,-0.0017619539341829486,-0.0019,0.27662037037037035,0.4134881548237999,1.0732343826868147,2.5955625818208827,-0.006581873056617469,0.0036235585784993125,0.1328312605447095,-0.18678829510873596,-0.0019179136265107498,0.12376724291311825,0.18888999148836724
phase:45,reversal,30,864,-0.002038046065817051,-0.0019,0.2569444444444444,0.3579360453081521,0.9816459623544694,2.7425177632204014,-0.0074235585784993095,0.00278187305661747,0.18298829510873593,-0.13663126054470953,-0.0022524450706543084,0.18640966511983614,0.23675028866201983
phase:45,continuation,60,864,-0.00202400909774105,-0.0020025510622893464,0.3414351851851852,0.46668678433063554,1.530274564500023,3.27901842494829,-0.009294382611488159,0.0054616821052849655,0.06336873945529044,-0.13947143917464555,-0.0020997828504096846,0.041410045573092635,0.07101582539013095
phase:45,reversal,60,864,-0.001775990902258949,-0.0017974489377106534,0.35300925925925924,0.5126954144939657,1.6144084211178509,3.148864560669583,-0.009261682105284962,0.005494382611488162,0.13567143917464553,-0.06716873945529044,-0.0019352579127767991,0.08403786637875918,0.11831473824426743
phase:45,continuation,120,864,-0.002114179124661627,-0.002059712996939787,0.3738425925925926,0.5543102334857298,2.271829616476626,4.098480380184272,-0.01153353813593627,0.008520035277426242,0.08944731260544704,-0.14952859051436196,-0.0022202758705829576,0.039372368401539994,0.06400306142014964
phase:45,reversal,120,864,-0.0016858208753383727,-0.001740287003060213,0.3900462962962963,0.62487625494026,2.4263007711375737,3.882850007429929,-0.012320035277426243,0.007733538135936275,0.14572859051436193,-0.09324731260544704,-0.0018566371110158933,0.06006204681954452,0.1143357677881774
phase:45,continuation,240,864,-0.0026667387693695135,-0.0019559868176605025,0.40162037037037035,0.5913326281906288,3.3339270698590058,5.637989366594266,-0.01546186553652321,0.011619094235048713,0.0857355748373101,-0.1538090170593014,-0.002769174822216188,0.025716091876279684,0.044475044390347586
phase:45,reversal,240,864,-0.0011332612306304858,-0.0018440131823394973,0.41782407407407407,0.8025571837118223,3.979957399165523,4.959095102430264,-0.015419094235048713,0.01166186553652321,0.15000901705930136,-0.0895355748373101,-0.0013083971266790746,0.03769111123921923,0.07371645687231296
phase:45,continuation,480,864,-0.002305523804805832,-0.0016520329267197692,0.45023148148148145,0.7496518718006872,5.9648377418758205,7.956810309228061,-0.023617659515362807,0.017213869571303903,0.18163417937506654,-0.18076293770538132,-0.0025186636694406787,0.03045081647400291,0.05555881990974323
phase:45,reversal,480,864,-0.0014944761951941681,-0.0021479670732802306,0.44560185185185186,0.8308977119708826,6.34454998761653,7.635777420264294,-0.021013869571303898,0.019817659515362813,0.1769629377053813,-0.18543417937506657,-0.0017012634650673728,0.027892118125128262,0.050380794101966324
phase:45,continuation,720,864,-0.002092470324489987,-0.0019713887952533685,0.4375,0.8164040007109071,8.03923938634399,9.847133746703339,-0.03065223928064009,0.024165381777391356,0.17498520525626038,-0.1847951581344054,-0.0022976588245835557,0.0217663881925823,0.04061962685722093
phase:45,reversal,720,864,-0.0017075296755100155,-0.0018286112047466313,0.45023148148148145,0.8473376873647336,8.18854403074516,9.663849670385815,-0.027965381777391347,0.02685223928064009,0.18099515813440537,-0.1787852052562604,-0.0019192361503766614,0.02210346032882414,0.044132880493013824
abs_imbalance:025_050,continuation,30,983,-0.0016378710386190324,-0.0018118632117045546,0.28280773143438453,0.41453312911632134,1.1399613867237535,2.7499886176862622,-0.0066049975469731105,0.0031962377479762298,0.057598778200829606,-0.04756866420860127,-0.0016981934920196928,0.05052695544922655,0.09886264571438512
abs_imbalance:025_050,reversal,30,983,-0.002162128961380967,-0.001988136788295445,0.2777212614445575,0.2984316805459331,0.904086672191801,3.0294594412292914,-0.0069962377479762285,0.002804997546973112,0.043768664208601274,-0.061398778200829604,-0.0022089016631833933,0.048412022381097326,0.08175308877266188
abs_imbalance:025_050,continuation,60,983,-0.0010548798717684132,-0.0017752057904514157,0.35198372329603256,0.6783780589475363,2.1871705407100093,3.2241174546583604,-0.008472727055051654,0.00595231405072833,0.18138189491689272,-0.05008517517787979,-0.0012406607014921007,0.08292992774948939,0.14192972253393515
abs_imbalance:025_050,reversal,60,983,-0.002745120128231586,-0.002024794209548584,0.31943031536113936,0.34317965764500297,1.4099048804152208,4.108357966466869,-0.009752314050728328,0.004672727055051656,0.04628517517787979,-0.18518189491689274,-0.0027950491458549175,0.03282858001331883,0.05507349992919961
abs_imbalance:025_050,continuation,120,983,-0.0014151207976559586,-0.002194805167699863,0.37029501525940994,0.683109301326834,2.9986635338591676,4.389727277954975,-0.010717544982376547,0.008307705227435978,0.14077653292678383,-0.13548437103869948,-0.001559918815705286,0.04694642507811128,0.08272074654822549
abs_imbalance:025_050,reversal,120,983,-0.002384879202344041,-0.001605194832300137,0.3936927772126144,0.5118267035601287,2.4579261230519354,4.802262378956128,-0.012107705227435971,0.00691754498237655,0.13168437103869945,-0.14457653292678385,-0.0025214059337503986,0.05357539830171576,0.07675070773202711
abs_imbalance:025_050,continuation,240,983,-0.002205673223542194,-0.001736226662299321,0.4170905391658189,0.6489722441919125,4.008476613667693,6.17665339240967,-0.015543104685859342,0.011585341301142279,0.12166375264938813,-0.1538090170593014,-0.002331813168422978,0.030351618426449473,0.05458681571781618
abs_imbalance:025_050,reversal,240,983,-0.0015943267764578055,-0.0020637733377006787,0.4059003051881994,0.7337952678893709,4.320062135512862,5.887285356770887,-0.015385341301142273,0.011743104685859344,0.15000901705930136,-0.12546375264938814,-0.0017487090003231406,0.034723810064248725,0.06791299494455029
abs_imbalance:025_050,continuation,480,983,-0.0024205962406742723,-0.0017240156522548716,0.4506612410986775,0.7344473766086757,6.580910129881513,8.960356234464324,-0.021927387170941212,0.018350549002057983,0.1367807966380412,-0.18076293770538132,-0.002562349186579278,0.020784480252506336,0.040232871573785016
abs_imbalance:025_050,reversal,480,983,-0.0013794037593257283,-0.002075984347745128,0.4404883011190234,0.8400436565590151,7.121070936783126,8.477024832200318,-0.02215054900205798,0.018127387170941228,0.1769629377053813,-0.14058079663804124,-0.001561015105012803,0.02485060734212017,0.04829205963215729
abs_imbalance:025_050,continuation,720,983,-0.0031160004074854224,-0.00209226272441486,0.44455747711088506,0.7348759098035922,8.490159385165244,11.553187785723416,-0.032263313518372694,0.02417230711922229,0.1854465466320322,-0.18009158333627784,-0.0033080192944910415,0.021842528298828025,0.040852866180389504
abs_imbalance:025_050,reversal,720,983,-0.0006839995925145797,-0.00170773727558514,0.4486266531027467,0.934977122982749,9.668167458272398,10.340539057714231,-0.02797230711922228,0.0284633135183727,0.1762915833362778,-0.18924654663203222,-0.0008642191270652847,0.018234229402536568,0.0344418240219964
abs_imbalance:050_075,continuation,30,782,-0.0018847080533597519,-0.0020325867698104275,0.2557544757033248,0.30968327454390643,0.6611807396235234,2.135022437350849,-0.006518116679838868,0.002628905027900552,0.02734650560029618,-0.027596840987523227,-0.0019221359837741636,0.04136010618801039,0.07555683143801499
abs_imbalance:050_075,reversal,30,782,-0.0019152919466402483,-0.0017674132301895723,0.2749360613810742,0.2872682421807133,0.6036750712805092,2.1014333735531836,-0.006428905027900553,0.0027181166798388684,0.02379684098752323,-0.03114650560029618,-0.0019482140118568466,0.03941994977040483,0.06341745058884826
abs_imbalance:050_075,continuation,60,782,-0.0020107561610025145,-0.001925250912962571,0.3209718670076726,0.38659369079763717,0.9909977868191931,2.56340910472316,-0.008496042734529384,0.003478868244926314,0.04676703693418506,-0.03419844186790398,-0.002073211721943856,0.047191868192050436,0.09290838988239376
abs_imbalance:050_075,reversal,60,782,-0.0017892438389974848,-0.001874749087037429,0.3337595907928389,0.42966204298393396,1.054073747457851,2.4532624295538836,-0.0072788682449263144,0.004696042734529384,0.030398441867903983,-0.05056703693418506,-0.001830457264998639,0.02883900859993624,0.05013964944036566
abs_imbalance:050_075,continuation,120,782,-0.0014499649840288096,-0.001827331360654259,0.3836317135549872,0.6286914431493631,1.9198480592436085,3.053720676754138,-0.009762163887727713,0.00678573376375803,0.12906102638586303,-0.09525892797814604,-0.0016170725273961487,0.0672246044495371,0.09215956675856311
abs_imbalance:050_075,reversal,120,782,-0.00235003501597119,-0.0019726686393457408,0.3670076726342711,0.46310922119598497,1.585179948091279,3.4229073305807494,-0.01058573376375803,0.005962163887727713,0.09145892797814605,-0.13286102638586306,-0.002470148925054567,0.0576962433118537,0.09507985836490726
abs_imbalance:050_075,continuation,240,782,-0.0009233725222264155,-0.0016602812983729104,0.42838874680306904,0.8149186994692784,3.1793287740820046,3.901406086463062,-0.012978733018622155,0.012882102513253143,0.09187848131625655,-0.13782233009708733,-0.0010421969189466243,0.028898704048871265,0.05481282747897658
abs_imbalance:050_075,reversal,240,782,-0.002876627477773584,-0.0021397187016270894,0.38107416879795397,0.5235208832003254,2.471613262111896,4.721135949730839,-0.016682102513253146,0.00917873301862215,0.1340223300970873,-0.09567848131625654,-0.003051914235231792,0.0542246362533961,0.08006252077214611
abs_imbalance:050_075,continuation,480,782,0.000597060363125857,-0.0006558530448005789,0.47698209718670076,1.0827187262256572,6.1113450351074485,5.644443831143029,-0.017852025025632053,0.02188140782523754,0.11131830885498363,-0.19307779175276263,0.00045529179911579575,0.018215026023813176,0.03593350188435953
abs_imbalance:050_075,reversal,480,782,-0.004397060363125857,-0.003144146955199421,0.39641943734015345,0.5552820896575148,4.29336909852996,7.731870302494383,-0.02568140782523754,0.014052025025632053,0.1892777917527626,-0.11511830885498363,-0.004645043528447098,0.04408607492367029,0.08805524231279574
abs_imbalance:050_075,continuation,720,782,0.0011426396588838116,-0.0006119570292083415,0.479539641943734,1.1216277454973818,8.240093387476271,7.346549174229133,-0.023746043035037297,0.02839119728547955,0.17960453494575845,-0.1824807299996445,0.0009141353115254572,0.02179641983411631,0.043032247758374075
abs_imbalance:050_075,reversal,720,782,-0.0049426396588838125,-0.0031880429707916583,0.4053708439897698,0.6067881375920245,5.964529259922079,9.829673473169223,-0.03219119728547955,0.019946043035037296,0.17868072999964446,-0.18340453494575848,-0.005177752808254528,0.029957222475253436,0.059898573031192094
abs_imbalance:075_100,continuation,30,641,-0.0015384445548022926,-0.0016591841157842385,0.24960998439937598,0.28836334150672444,0.39959644524752347,1.385739404875793,-0.005159779338014024,0.001972731414685915,0.014785283756099566,-0.013571686746987931,-0.0015639503802880768,0.037000538748389177,0.07369169639003066
abs_imbalance:075_100,reversal,30,641,-0.002261555445197707,-0.0021408158842157613,0.19032761310452417,0.14694931380236076,0.24972268445257656,1.6993797248243068,-0.005772731414685915,0.0013597793380140239,0.00977168674698793,-0.018585283756099566,-0.002280357386122997,0.039130152586693084,0.07718061184619027
abs_imbalance:075_100,continuation,60,641,-0.0014968621112476943,-0.0014446882344978245,0.3338533541341654,0.425396213811162,0.7103378590734877,1.6698264723832599,-0.006408002506993458,0.0035019292604501337,0.043734563456345535,-0.02549437751004001,-0.0015675362136970585,0.06156867875997722,0.09122215933308127
abs_imbalance:075_100,reversal,60,641,-0.002303137888752305,-0.0023553117655021752,0.2714508580343214,0.2685970575206615,0.5421538134712172,2.0184652001614447,-0.007301929260450133,0.0026080025069934584,0.02169437751004001,-0.04753456345634553,-0.002340634006562918,0.040015170918265175,0.07439745226857541
abs_imbalance:075_100,continuation,120,641,-0.0012698925302555293,-0.001797193379253535,0.36349453978159124,0.6393050332459382,1.4427565002766511,2.2567576121704462,-0.009234066740007362,0.006167473414008042,0.18107809024290433,-0.06281978550728616,-0.0015548112533385916,0.12550842100394785,0.16780521419418343
abs_imbalance:075_100,reversal,120,641,-0.0025301074697444696,-0.002002806620746465,0.36505460218408736,0.392386745279591,1.0473313119129997,2.669130200019205,-0.009967473414008042,0.005434066740007361,0.05901978550728616,-0.18487809024290436,-0.0026262791775210803,0.05635254559465406,0.0858125763395071
abs_imbalance:075_100,continuation,240,641,-0.001455549211229159,-0.0020752848378615555,0.3868954758190328,0.7000468285826268,2.1775019726901386,3.110509017088031,-0.012617421111297477,0.009200460715500415,0.15007881418272762,-0.06404965387006988,-0.0016923216540322163,0.06892246990587872,0.1255512314807005
