symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,root_low,root_high,pool,shift,flow,delivery_minutes,first_leg_minutes,test_effort,test_progress_per_volume,test_depth,reply_fraction,rebound_ts,tip,tip_ts,episode,impact_imbalance,response_5,common_5,flow_5,response_15,common_15,flow_15,response_60,common_60,flow_60,relative_60,relative_240,value_position,reply_acceleration,activity_burst,owner_15,owner_60,owner_240,stop_bps,target_bps,duration_ratio,predicted_win,predicted_value,relative_strength,market_direction,market_breadth
BTCUSDT,1,1755001500000000000,1754999100000000000,1754998500000000000,5.0,118347.7,118234.7,118533.0,1.6398230088495833,market,118234.7,118347.7,118344.3,118292.9,-0.12974008145672378,25,11,0.837836135223808,0.8352589756552009,0.5799788135593131,0.5979872881355531,1755000000000000000,118234.8,1755001140000000000,126,0.28038235566463965,-0.540098634018039,1.1183451362661117,0.2560499654880814,-0.3827467815553758,0.28976673103277867,0.16499494350982064,-0.3958418410586266,0.48444526017614553,-0.1732037886770005,-0.6717622469100154,-0.6051136013102093,-0.18091763500036698,-0.2697995220238367,0.781697292769839,-1.0,-1.0,1.0,9.548136550182218,15.657254006626484,2.272727272727273,0.38039734559574967,0.0,-0.36917059029250476,0.3552110558648942,0.75
BTCUSDT,-1,1755011340000000000,1755009300000000000,1755006600000000000,5.0,119262.4,119550.1,118923.1,1.1793534932220182,market,119262.4,119550.1,119299.3,119357.2,-0.23772006354467212,19,46,1.02325318869441,1.7268177069689756,0.6662237576401678,0.7642838161041817,1755010200000000000,119550.0,1755011220000000000,128,-0.13493783707229767,0.08219940572886905,1.0098498221590402,-0.21182272625821283,0.3696637418309069,0.2084254671041183,-0.2972708780145204,0.3411724505589598,-0.5234453194341728,-0.24574476363560818,0.18210721674471417,0.42472985174229544,-0.29273255534194126,0.47150466621208,1.4843777063691501,-1.0,1.0,-1.0,24.123277747220552,28.449871879149537,0.41304347826086957,0.5133369165542554,0.0,0.03375292112689929,0.14679600324177783,0.75
BTCUSDT,-1,1755027780000000000,1755022800000000000,1755021600000000000,5.0,119646.0,120050.20000000001,119202.3,1.0977238990598326,market,119646.0,120050.20000000001,120050.1,119704.2,-0.10517054207800158,43,21,0.3703518865920474,1.3841423794153989,-0.1534379054133795,0.3231513150135596,1755025200000000000,119920.0,1755027420000000000,128,-0.11116067413576246,0.20866820111324216,1.5861598159566357,0.13346931282672386,0.2953797900148227,0.29388763128935547,0.024752569542034097,-0.25831350388202773,-0.16021877300112836,0.10025035908251557,0.04965875829322886,1.0962070511698836,-0.009879431940405092,-0.08313389882198767,0.468313660843984,1.0,-1.0,-1.0,33.78299316316564,37.08439897698185,2.0476190476190474,0.44234553028336043,0.0,0.2611045226196785,0.32238531347811233,0.75
BTCUSDT,-1,1755030540000000000,1755027600000000000,1755025200000000000,5.0,119750.8,119988.1,119430.1,1.3514538558786058,market,119750.8,119988.1,119920.0,119762.9,-0.13207095559835036,19,41,2.045488784460363,1.7207808144216323,0.13877551020408163,0.48408163265305526,1755029400000000000,119988.0,1755029940000000000,128,-0.11688540305361801,0.1414716194816996,0.5666537620044505,0.2276533325942781,0.9250460283496275,-1.1080917899290004,-0.33012622639901146,1.000700113077193,-0.6622576973462758,-0.18452512465996854,1.03330638225784,1.3252931914109982,-0.1674982882416572,-0.4254625223683563,0.8405572387190554,1.0,-1.0,-1.0,19.816151541367812,26.780614409256312,0.4634146341463415,0.5442287989464978,0.0,0.3137979406983811,-0.9197539971352231,0.25
BTCUSDT,-1,1755035220000000000,1755033900000000000,1755033000000000000,5.0,119932.8,120075.1,119780.1,1.0730850316232885,market,119932.8,120075.1,120075.0,119936.1,-0.1713509693086721,12,16,0.7660846716772838,1.729883707491918,-0.10508474576271186,0.376949152542363,1755034500000000000,120044.0,1755034980000000000,128,-0.07542204444351094,0.22851776010540958,0.3723700213571999,0.009354371236606726,0.570390780651486,-0.4894235934976846,0.007165451681758135,0.7058681931470627,0.02869598270512869,-0.27328091645937236,0.6269885979483191,0.6569022734740123,-0.1773438587961814,-0.025619905787802516,0.4220420163246704,-1.0,-1.0,-1.0,11.864977720857256,12.732129992795722,0.75,0.43762299614386774,0.0,0.5876718121806128,-0.5508440137031859,0.25
BTCUSDT,-1,1755041580000000000,1755039600000000000,1755039000000000000,5.0,120054.0,120178.6,119855.1,1.5963081861957054,market,120054.0,120178.6,120055.4,120098.5,-0.08557250325324084,23,11,1.138778442770952,0.7008837967351428,0.6142714570858753,0.6212574850299581,1755040200000000000,120178.5,1755041220000000000,129,-0.08277889028532788,0.5509085796005031,0.12030666579467707,0.18398139275842007,0.46842585394392877,-0.1707264828263454,0.028303950507260308,-0.6511983114421227,0.3018536665255087,-0.03373328871882354,-0.5365339840277872,0.24121279506900337,-0.1462304244358473,0.3529031099793799,0.5387249647235703,-1.0,-1.0,-1.0,10.378662935013063,16.5675446049273,2.090909090909091,0.4253093848295109,0.0,0.530574163591694,-0.21755394617482388,0.25
BTCUSDT,1,1755050100000000000,1755047700000000000,1755042900000000000,5.0,119450.1,119299.9,119615.2,1.099201065246195,market,119299.9,119450.1,119300.0,119447.7,-0.07661549540512491,30,81,0.46673816316563105,2.0744583111393013,-0.1062480177608617,0.3698065334602117,1755048300000000000,119333.5,1755049860000000000,131,0.12824151078614207,-0.05421244386811441,0.6016059603008128,0.0936348463608824,0.03402978141431455,0.25929939162992954,0.022470692728441356,0.7036777940064172,-0.656417540799858,-0.6135999021750608,-0.11375026897138317,-0.33823538530276376,-0.37267584603491816,-0.2525645078008384,0.46949583888932916,-1.0,1.0,1.0,12.57428834299943,13.821671141337784,0.37037037037037035,0.4889829300090129,0.0,-0.1186485090040505,0.5199076352277853,1.0
BTCUSDT,-1,1755085080000000000,1755083700000000000,1755081900000000000,5.0,120607.2,120710.5,120397.20000000001,2.0329138431750198,market,120607.2,120710.5,120683.0,120641.2,0.217481606455313,18,31,0.9129853638773952,4.292444941300813,0.09583770549141216,0.36096537250786703,1755084000000000000,120710.4,1755084480000000000,134,-0.046675930245115425,-0.30416495457866355,0.7128895723862675,0.5273170670082068,-0.8384121981447645,0.26843044618815426,0.38565154259112644,-1.0560270286212727,0.5567270936706223,0.08203520157798445,-0.9503595860095861,-0.905342996272871,-0.6471501373803848,-0.06434037960257852,0.8420833745459123,-1.0,-1.0,-1.0,8.564994461359099,17.411895807214282,0.5806451612903226,0.3769903128568591,0.0,-0.4578689778474281,0.09014469131691502,0.5
BTCUSDT,-1,1755103440000000000,1755099900000000000,1755098700000000000,5.0,121324.4,121729.0,120852.5,1.1663371230844968,market,121324.4,121729.0,121336.9,121432.1,-0.01292905948060108,44,21,0.8949688606634308,1.0444890326311247,0.8090815273477813,0.8348813209494325,1755100800000000000,121728.9,1755101940000000000,140,-0.03769589385490012,-0.19989284801685842,1.454754191617252,0.22591401864343041,-0.15413151086489196,1.3022350730275547,0.056147069898834175,-0.16814748013318548,0.27253434097027796,0.10100234022011287,-0.1982293389491375,-1.4759675800751755,-0.03153912628380144,-0.30642898837925026,0.6542556531517927,-1.0,-1.0,-1.0,33.348609183313975,38.89572089373566,2.0952380952380953,0.48848490600462297,0.0,-0.638462015805573,1.3736267321669005,1.0
BTCUSDT,-1,1755106560000000000,1755102000000000000,1755100800000000000,5.0,121611.5,121817.8,121232.5,1.8371303926320632,market,121611.5,121817.8,121728.9,121710.4,0.062286396158767965,46,21,0.48905457645950373,0.9036992092817423,0.17885196374622941,0.41530715005034663,1755103800000000000,121817.7,1755105900000000000,140,-0.039430432855204485,0.17412206453436793,0.6499440222737863,0.27801390281875626,-0.02872749305237227,0.2596853627063895,0.16789651514922518,-0.055522618678406174,0.2438736028935474,0.15890050109916484,-0.03306920691744802,-1.7888800973488823,-0.219874270197072,0.45312714122347336,0.623053174415909,-1.0,-1.0,-1.0,16.963856214256293,31.164815827450532,2.1904761904761907,0.32385725279762734,0.0,-0.07573073504479841,0.2548406116967205,1.0
BTCUSDT,1,1755111480000000000,1755108900000000000,1755108300000000000,5.0,121641.6,121363.5,121922.9,1.0115066522832883,market,121363.5,121641.6,121600.0,121628.4,-0.17141131474054316,38,11,1.1157000408855917,0.867186719435523,0.7318885448916228,0.8606811145510835,1755109200000000000,121363.6,1755110280000000000,140,-0.011579661808396953,0.01750587301204608,0.9228668174706334,-0.03018493396064208,0.10923787639684518,0.5907911652146616,0.0024199223331323716,-0.21173307069002303,-0.19490273320275173,-0.17966717364504278,-0.26521382642013946,0.25021735352464713,0.33415655026456026,-0.08680251942929768,0.4589165199252491,1.0,1.0,1.0,22.862244495304715,23.12531239312771,3.4545454545454546,0.4652375053208236,0.0,-0.13038721586683955,0.8410259651134695,1.0
BTCUSDT,-1,1755115440000000000,1755113700000000000,1755108900000000000,5.0,122540.4,122831.20000000001,122178.6,1.2441540577715495,market,122540.4,122831.20000000001,122567.8,122664.5,-0.1140793879234554,24,81,1.074513139027735,2.827695723870503,0.676342152581559,0.7467248908297186,1755114000000000000,122831.1,1755114960000000000,140,0.006459187979381544,0.5382710556598446,0.5325468681072139,0.20216082325863693,0.19156137820566455,0.01613980569625422,-0.27792175756987314,-0.3321697644939708,-0.02582936149132729,-0.9630179899065581,-1.4831649256181858,-0.9171443792876736,-0.5791657430545837,0.3861169338446066,1.222221352879757,-1.0,-1.0,-1.0,23.730949140040142,29.524956667351205,0.2962962962962963,0.41496834874657224,0.0,-0.2134116844501549,-0.02960730908475538,0.5
BTCUSDT,-1,1755118920000000000,1755116100000000000,1755115800000000000,5.0,122821.3,122990.1,122540.1,1.665876777251139,market,122821.3,122990.1,122850.1,122839.8,0.029484914833443288,32,6,0.5892589751259083,0.4242596570682601,0.4511447920025526,0.5440180586907253,1755117000000000000,122990.0,1755118620000000000,140,0.013244386615477237,0.9058897914756205,-0.19080563099795173,0.4208176463180481,-0.08543397488845006,0.09526895609549664,0.1313303170849734,-0.3320648209663039,0.343646813337063,0.20266357767748805,-0.3760400802418017,-1.0489102947972864,-0.59928883847809,0.4714674930540365,0.7917113475971155,-1.0,-1.0,-1.0,13.743544482919729,22.895051591213992,5.333333333333333,0.4109895981175128,0.0,-0.059490516673087385,0.018167300737081477,0.5
BTCUSDT,-1,1755129180000000000,1755125400000000000,1755122100000000000,5.0,123400.0,123716.0,122900.1,1.5819620253164373,market,123400.0,123716.0,123680.0,123442.1,0.007472164750791599,53,56,0.4988635950339424,1.8936642042449716,0.046025641025633564,0.40499999999999253,1755126000000000000,123715.9,1755128340000000000,140,0.04775113429193984,0.7609712169932176,-0.10510558666991916,0.10796138847543979,0.2857733822115805,0.34600026918024557,0.27237653527468253,-0.3524824252472022,0.25290366248812485,0.35159732801805094,-0.23013378736739387,-0.5665334076482862,-0.36848137056489455,0.3826339372294769,0.5704454330097251,-1.0,-1.0,-1.0,25.607779578606156,40.5105348460287,0.9464285714285714,0.38231985647360917,0.0,0.2363936592901869,0.46113715839622255,1.0
BTCUSDT,1,1755135180000000000,1755132900000000000,1755131700000000000,5.0,123642.7,123381.0,123963.7,1.2265953381734946,market,123381.0,123642.7,123474.2,123631.9,-0.2301665413234012,28,21,0.5842093891479478,1.3195964859627385,0.19015522875814983,0.5343137254901719,1755133500000000000,123381.1,1755134280000000000,140,-0.11902421664653158,-0.1940901351439167,0.39547932641867267,-0.04172017778626852,-0.17075137961373715,0.5367626553505371,-0.1967624459746036,-0.927917848751687,-0.2260790657071556,-0.6736800302186856,-1.3458732520445924,0.6674625884219236,0.14631148347471834,0.14715794725757506,0.3547472804451527,1.0,1.0,1.0,21.165827016071077,25.961904746499393,1.3333333333333333,0.37309741142649344,0.0,-0.31945605642092256,0.5954318048974117,1.0
BTCUSDT,1,1755147960000000000,1755145200000000000,1755141000000000000,5.0,123183.3,123039.4,123446.0,1.8255733148018147,market,123039.4,123183.3,123152.6,123182.9,-0.2026769248520115,41,71,1.5839967201186835,0.6754478367246891,0.3853492333901391,0.4899488926746266,1755145500000000000,123039.5,1755147660000000000,142,0.014154492041411327,-0.5137927429727233,1.0724305706386172,0.3362664743072654,0.7642463987451567,0.3894440768482123,-1.1386144687614355,0.3781792335174195,-0.007054451540866762,-1.007240144255118,-0.5675401290006192,-1.1629921712519256,-0.25761440281394626,-0.5483926988579231,0.9698185102059963,-1.0,1.0,1.0,11.68177829299984,21.325942721131604,0.5774647887323944,0.45256649854142234,0.0,-0.41174771849516856,0.5592445063109804,1.0
BTCUSDT,-1,1755157560000000000,1755153900000000000,1755152700000000000,5.0,121887.6,122081.70000000001,121550.1,1.7387944358577532,market,121887.6,122081.70000000001,122000.0,121888.0,-0.2744472481351612,21,21,0.41758721701403806,2.346219610872664,0.18133333333334628,0.4311111111111111,1755156300000000000,122081.6,1755157200000000000,144,-0.1699864013620147,0.08806608426080462,0.0991382258465688,-0.1885204893682078,-0.2912614192249317,0.19262969595156051,-0.5086502716924853,-0.1237782127874952,0.4455480173016811,-0.4581544408452607,-0.47825095645180227,1.085770931831904,0.3490429006583073,0.3119212102544766,0.5679570603849501,1.0,-1.0,-1.0,15.924507497071549,27.689445029683082,1.0,0.35523930652873814,0.0,-0.8543569961901847,0.15472671038528352,0.75
BTCUSDT,1,1755162420000000000,1755158700000000000,1755157200000000000,5.0,121666.0,121514.4,122049.9,2.532321899736012,market,121514.4,121666.0,121588.0,121645.7,-0.20672244641805881,37,26,0.6208018301998511,1.0962976734161924,0.1590909090909091,0.32792207792207795,1755160200000000000,121514.5,1755162240000000000,145,0.16797208452208778,-0.3320970460209338,0.9563970085534738,0.11087638425123533,-0.07877009505292276,0.48377171655742085,-0.12500671463151822,-0.05002470727901721,0.0413487732399957,0.17014123515654528,0.07285284548133547,-0.8057705998034606,-0.31298288883615977,-0.17045098238448225,0.7193791254062014,-1.0,1.0,1.0,12.460342248451154,31.55359755395872,1.4230769230769231,0.3639922457966405,0.0,-0.3866315227629247,0.661419220882008,1.0
BTCUSDT,1,1755165180000000000,1755162300000000000,1755160200000000000,5.0,121660.7,121514.4,121919.9,1.771701982228243,market,121514.4,121660.7,121514.5,121654.8,-0.033818620919068065,23,36,0.7520824456004322,2.958081984037524,-0.15388409371145298,0.2066584463625226,1755163800000000000,121576.9,1755164400000000000,145,0.16898894049138247,-0.5458799048938807,0.438410411925884,0.16730783097126387,-0.3708414327130439,0.2062839066208797,0.22026142047820177,-0.420715515570416,0.46730590429257357,0.09144595823277886,-0.39179892670792016,-0.37471788825260033,-0.12924864573003905,0.016194741985415317,0.2903621007571246,-1.0,1.0,1.0,12.025247265551071,21.30515441716159,0.6388888888888888,0.34900220892207273,0.0,-0.3081481565289654,0.33437420547469343,1.0
