plan_id,ts,score,reason
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:2585:s2:SOLUSDT:15m:PIVOT:HIGH:2607:s2:EXCURSION:1724829720000000000:1,1724829780000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2597:s2:ETHUSDT:15m:PIVOT:HIGH:2625:s2:EXCURSION:1724837580000000000:-1,1724837580000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2597:s2:ETHUSDT:15m:PIVOT:HIGH:2625:s2:EXCURSION:1724837580000000000:-1,1724837580000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2611:s2:XRPUSDT:15m:PIVOT:LOW:2640:s2:EXCURSION:1724849820000000000:1,1724849820000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2611:s2:XRPUSDT:15m:PIVOT:LOW:2640:s2:EXCURSION:1724849820000000000:1,1724849820000000000,1.0,selected
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:LOW:2682:s2:BTCUSDT:15m:PIVOT:HIGH:2689:s2:EXCURSION:1724893740000000000:-1,1724893740000000000,1.0,candidate
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:LOW:2682:s2:BTCUSDT:15m:PIVOT:HIGH:2689:s2:EXCURSION:1724893740000000000:-1,1724893740000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2677:s2:ETHUSDT:15m:PIVOT:LOW:2694:s2:EXCURSION:1724899080000000000:1,1724899080000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2677:s2:ETHUSDT:15m:PIVOT:LOW:2694:s2:EXCURSION:1724899080000000000:1,1724899080000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2677:s2:ETHUSDT:15m:PIVOT:LOW:2694:s2:EXCURSION:1724900760000000000:-1,1724900760000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2677:s2:ETHUSDT:15m:PIVOT:LOW:2694:s2:EXCURSION:1724900760000000000:-1,1724900760000000000,1.0,selected
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:LOW:2695:s2:BTCUSDT:15m:PIVOT:HIGH:2700:s2:EXCURSION:1724908620000000000:-1,1724908680000000000,1.0,candidate
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:LOW:2695:s2:BTCUSDT:15m:PIVOT:HIGH:2700:s2:EXCURSION:1724908620000000000:-1,1724908680000000000,1.0,selected
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:HIGH:2714:s2:BTCUSDT:15m:PIVOT:HIGH:2729:s2:EXCURSION:1724930400000000000:-1,1724930460000000000,1.0,candidate
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:HIGH:2714:s2:BTCUSDT:15m:PIVOT:HIGH:2729:s2:EXCURSION:1724930400000000000:-1,1724930460000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2764:s2:XRPUSDT:15m:PIVOT:LOW:2776:s2:EXCURSION:1724978220000000000:-1,1724978340000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2764:s2:XRPUSDT:15m:PIVOT:LOW:2776:s2:EXCURSION:1724978220000000000:-1,1724978340000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:2796:s2:ETHUSDT:15m:PIVOT:LOW:2805:s2:EXCURSION:1725000240000000000:-1,1725000240000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:2796:s2:ETHUSDT:15m:PIVOT:LOW:2805:s2:EXCURSION:1725000240000000000:-1,1725000240000000000,1.0,selected
