symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,entry_kind,pool,shift,rr,cost_r,scale,sweep_depth,shift_size,event_effort,flow,flow_resilience,retracement,event_minutes,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1763621100000000000,1763615400000000000,1763510400000000000,92402.45,93150.1,91140.3,92381.4,92423.5,limit,93003.0,92156.3,1.6881562228315112,0.1112314652578065,15.0,0.953469070211667,2.311027413036869,1.3139698876014392,0.1720373592349381,7.4459859262317485,3.9076016418300408,100.0,4.790695614002332,0.5287800687285089,3.695179110881523,0.11467160483887465,1.29765606522474,1.7907695993261845,1.0,124
BTCUSDT,1,1763728800000000000,1763727900000000000,1763712000000000000,80989.0,80599.9,83332.7,80920.1,81057.9,limit,81111.0,82422.2,6.023387304034855,0.18732999228989697,60.0,1.040471644409546,1.0604258951242558,4.2077409122304665,-0.05724204947097482,2.0895214003225875,3.978633254748049,20.0,0.7181494109261133,0.0823699759452557,-2.072391467084225,-0.09807662658032791,-0.544532243817144,4.519434394321667,1.0,143
BTCUSDT,-1,1763813400000000000,1763811600000000000,1763802900000000000,84235.45000000001,84328.6,83456.1,84212.1,84258.8,limit,84315.6,83839.2,8.36661298980198,0.8138690821256548,15.0,0.07182291105861581,0.6475197330326354,1.1586111615053998,0.06368833821841254,2.242439550191892,2.8537079893884805,35.0,1.2182056542350728,0.19616281154742546,3.9903473143979857,0.1457270083975498,-0.20234887106633814,2.0079901038255015,1.0,156
BTCUSDT,1,1763934600000000000,1763932500000000000,1763928900000000000,87630.6,87099.9,88214.0,87610.0,87651.2,limit,87175.6,87652.9,1.0993028076125522,0.14861040135669545,15.0,0.4343800355716181,0.450468185037249,0.9067460285748172,0.06537672391911563,2.501257692612969,0.578598803995467,40.0,1.7541828685185985,0.39480150006463793,6.430663172112649,0.22530901477633483,0.09720779899349352,0.3343584923983034,0.75,177
ETHUSDT,1,1763390400000000000,1763387400000000000,1763345700000000000,3124.1800000000003,3093.4199999999996,3223.2099999999996,3117.01,3131.35,limit,3110.0,3187.77,3.2194408322495813,0.09140968790636993,15.0,0.9649728611090321,0.5183016574454067,4.519583363329488,0.1096395828026036,4.385608163063751,4.2215378818221385,55.0,3.922786477024978,0.3748886910062334,-0.040182937487343286,-0.0021059056920495886,-0.09065828423221589,5.113214978681409,1.0,87
ETHUSDT,-1,1763434800000000000,1763419500000000000,1763414100000000000,3028.1899999999996,3049.01,2958.01,3027.72,3028.66,limit,3027.21,2986.65,3.3707973102784483,0.13090158501440533,15.0,1.2481722105489212,0.12888423468265614,1.409141988599948,0.04029145795029463,2.031594216926009,2.5083736163348664,260.0,1.8519232476845617,0.2013702896293994,2.1532259474315576,0.09144427956308995,0.799462511039581,1.821036555321141,1.0,92
ETHUSDT,-1,1763467500000000000,1763465100000000000,1763462700000000000,3065.495,3073.7200000000003,3026.71,3062.95,3068.04,limit,3071.98,3052.05,4.715501519756613,0.3354341033434502,15.0,0.18664555913226633,0.36789673794282035,0.8745367505031945,0.09243142653299362,0.49555602853688596,1.8184456064591439,45.0,1.3863557426876185,0.2172442941673709,-1.275231508059717,-0.0462984723854279,0.41325947423477705,1.2630601514434512,1.0,104
ETHUSDT,1,1763476500000000000,1763472300000000000,1763468100000000000,3036.76,3020.0,3142.0899999999997,3035.52,3038.0,limit,3037.06,3065.0,6.284606205250483,0.16307183770882844,15.0,1.455004413338553,0.5325060140312257,2.185907116627182,0.05724997350724426,2.046319456920637,2.942437077531582,75.0,2.9458505776215618,0.4719715613891203,0.5316526390087211,0.025128060339610382,0.254854599438338,1.8036513032889885,1.0,106
ETHUSDT,-1,1763511600000000000,1763482800000000000,1763398800000000000,3119.755,3169.2900000000004,3032.01,3117.31,3122.2,limit,3142.1,3093.27,1.7713737761178832,0.05668273947713703,15.0,3.5668742422912785,2.060335747018831,1.7816970245242776,0.00474794426806625,5.457110258975533,5.536004043821037,485.0,4.650847062060403,0.5054192812321553,8.926371816065124,0.3041767283784981,0.5880966414550324,2.885290588104846,1.0,108
ETHUSDT,-1,1763522400000000000,1763518500000000000,1763515800000000000,3114.1,3125.0600000000004,3083.76,3112.91,3115.29,limit,3115.78,3093.99,2.7682481751823294,0.2557198905109374,15.0,1.0303808743305785,0.13671720339009322,1.3128109161709276,-0.0454328200152807,2.2973763490268575,2.3719879027199857,70.0,2.39644138625321,0.33108108108106693,2.2508320070328214,0.07649881001850897,0.15667132791657012,1.857976228598012,1.0,114
