symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,phase,scale,rr,cost_r,sweep,impulse_volume,impulse_flow,test_effort,test_result,acceptance,test_flow,width_atr,slope_atr,overshoot,reaction_volume,range_location,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode,entry_fill,exit_fill,entry_ts,exit_ts,reason,net_r,unit_risk,hold_minutes,fee_r,funding_r,censored,predicted_value,nav_before,nav_after
BTCUSDT,1,1754943900000000000,1754848800000000000,1754841600000000000,118741.7,118498.9,119854.0,118520.57575757576,120013.66666666667,rejection,60.0,4.58113673805597,0.537956630971987,1.0,9.65641134334378,-0.45929736479834293,0.10030984822977357,0.06548599670508233,0.9107258748938825,-0.21101573163837917,3.1373959142021186,0.06800492848611497,0.014450397791850778,2.611998403320586,0.11673881673881534,-1.7037144836572031,-0.4661913523459125,-3.6927822318440713,-0.3248308750138671,0.17473996419956606,-0.2643992855743097,0.25,104,118765.44833999999,118475.20022,1754943900000000001,1754948220000000000,stop,-1.0000000593833742,408.8684200000029,71.99999999998333,0.29011857721855644,0.0,0,0.0,8961.32790870109,8692.488055475442
BTCUSDT,-1,1754955000000000000,1754951400000000000,1754949600000000000,118638.2,118884.3,118230.8,117713.25,118700.6,rejection,15.0,1.655424624136467,0.5302804550995406,1.0,1.1158944789317882,-0.17378662842185277,0.5755922852059968,0.8378707842340195,0.25355546525805467,-0.020191677301503203,2.4948687610095455,0.14181851340624896,0.18595229655136494,0.6704985342754137,0.5784419121335943,-0.3691703306664006,-0.23179438362684548,2.020708510841459,0.15922349427575944,0.06248908364250072,0.6498189504600338,1.0,119,118614.47236,118908.07686,1754955000000000001,1754957820000000000,stop,-0.9712289679877866,412.36575000000585,46.99999999998333,0.28799985112730225,-0.028771091692231552,0,0.0,8692.488055475442,8439.216169374475
BTCUSDT,-1,1754966700000000000,1754956800000000000,1754949600000000000,119126.3,119246.5,118776.1,117281.09375,119220.71875,rejection,60.0,2.9134775374376503,1.0901741264559335,1.0,2.299855988833883,-0.269269334285958,0.8134993931078157,0.9975041597337527,0.7855137271214591,-0.08377282128882346,2.3764782613173514,0.19833339875014308,0.01324031707159589,2.0853937199928962,0.16932186662906137,-0.15425590673448492,-0.1325961032122221,-0.5487785593834182,-0.1303436836131905,0.13609807535906282,-0.46968162581887984,0.25,120,119102.47474,118776.1,1754966700000000001,1754970360000000000,target,0.8467479612344421,287.0609599999971,60.99999999998333,0.2902047612813698,0.0,0,0.0,8439.216169374475,8653.592841949512
XRPUSDT,1,1754977800000000000,1754975700000000000,1754973900000000000,3.1314,3.1218999999999997,3.1536166666666663,3.130916666666667,3.1595541666666667,rejection,15.0,2.3385964912278863,0.36258315789471746,1.0,3.9399493763713167,-0.471799490233651,0.4169868549506781,-0.6631578947368038,0.050877192982459504,-0.2054903261412622,2.773065542402216,-0.11498962310266848,0.31136330568893744,2.2858282072803013,0.18007662835249602,-2.5660842208174235,-0.4058192955589656,-2.856584321287289,-0.17528223410577026,0.26100195187341635,0.8722911310914803,0.75,122,3.1321263,3.1212756199999996,1754977800000000001,1754979300000000000,stop,-1.0072111208872485,0.013877310000000507,24.999999999983334,0.2253103058157442,0.0,0,0.0,8653.592841949512,8392.112993568257
SOLUSDT,-1,1754980500000000000,1754979300000000000,1754977500000000000,174.76,175.29999999999998,173.5,173.11,174.92,rejection,15.0,2.333333333333351,0.3559925925925978,1.0,1.3719565451898237,-0.21869064668986216,0.7371073386221929,0.6111111111111432,0.29629629629629434,-0.05939615707223537,2.4968553928342656,0.3103825764573014,0.2044198895027679,1.1767256587387949,0.600628930817613,-0.8138920893769318,-0.18266253869969043,2.345112799899644,0.16252390057361482,-0.0855225429014862,-0.5068098662824749,0.25,124,174.725048,175.33505999999997,1754980500000000001,1754982420000000000,stop,-1.0000000687861177,0.785041999999992,31.999999999983334,0.22295629278433735,0.0,0,0.0,8392.112993568257,8140.349586443383
XRPUSDT,-1,1754999100000000000,1754915400000000000,1754913600000000000,3.1521,3.1573,3.1168,3.044699999999999,3.153519999999999,rejection,15.0,6.788461538461105,0.6667903846153441,1.0,3.575567644852149,-0.1260796892396483,0.5058219746082707,0.5,0.27307692307673126,-0.026798515505841714,4.020820047410264,0.061335795613867566,0.03381731299394423,2.2373175262252674,0.18256578947368246,-1.2341057671705766,-0.5202492211838163,-0.1071528959519331,-0.013357899585444467,-0.9449863658055686,0.223644569664646,0.75,117,3.1513696,3.1579314600000004,1754999100000000001,1754999160000000000,stop,-1.0103914832507839,0.009616580000000315,0.9999999999833333,0.3280428728300391,0.0,0,0.0,8140.349586443383,7893.60138965859
ETHUSDT,-1,1755000600000000000,1754995500000000000,1754993700000000000,4286.0,4297.51,4269.02,4249.549047619047,4294.341904761904,rejection,15.0,1.475238922675868,0.40960903562119116,1.0,1.8990961855143165,-0.2765488432505687,0.6023392485758251,0.29105125977413554,0.7247528029455645,-0.08798179494300283,2.510344553110376,0.16989160075587167,0.0705044384202681,1.5914412890925536,0.6055973050012977,-0.5934997344030531,-0.13101571198813103,1.0788356834049686,0.07321340280683165,-0.47173697007873,0.0646839489820741,0.5,125,4285.132802,4298.3695020000005,1755000600000000001,1755001620000000000,stop,-1.0005704927094985,17.518457000000218,16.999999999983334,0.2449845412755214,0.0,0,0.0,7893.60138965859,7656.658250707497
SOLUSDT,-1,1755013500000000000,1755009000000000000,1755007200000000000,180.72,181.84,179.17,177.26545454545456,180.89000000000001,rejection,15.0,1.383928571428576,0.17749285714285645,1.0,3.1993687550966743,-0.31663439688753114,0.6552205237586683,0.16964285714285443,0.15178571428572787,-0.08965195116555322,2.8809394296547675,-0.16185864866884137,0.2593428643090036,1.8775830953182233,0.1526822558459439,-1.4466116724777582,-0.4292452830188654,-4.840585211752519,-0.3618538324420597,0.08816462861007979,0.403985649679357,0.75,128,180.67385800000002,181.876368,1755013500000000001,1755014100000000000,stop,-1.0072741091810005,1.3737920000000046,9.999999999983334,0.13195237197479634,0.0,0,0.0,7656.658250707497,7425.287642143955
XRPUSDT,-1,1755019800000000000,1754971200000000000,1754969400000000000,3.2348,3.2496,3.215523076923077,3.2117846153846155,3.247723076923077,rejection,15.0,1.3024948024947824,0.24042432432432195,1.0,1.3423757925617728,0.00984289521238424,1.532205768450062,0.8243243243243153,0.8731808731808722,0.06203332900335086,3.152639843597455,-0.10931670690556257,0.04944349315068005,1.6844856852450196,0.16136114160263382,-1.254442951465683,-0.2522045855379137,-3.9036861077078795,-0.2226113056528317,-0.18416176784961039,0.34720805916318753,1.0,121,3.23425302,3.25024992,1755019800000000001,1755022680000000000,stop,-0.9948328188310721,0.019339080000000147,47.99999999998333,0.16765282888327548,0.0,0,0.0,7425.287642143955,7203.680047073987
ETHUSDT,-1,1755030900000000000,1754805600000000000,1754798400000000000,4598.01,4631.84,4492.110000000001,4465.469551282053,4604.558782051283,rejection,60.0,3.1303576707064695,0.14950668046112953,1.0,13.363826274265506,-0.2801167997550871,0.08523874713247452,0.09606857818504307,0.19357913246475403,-0.22653010494127376,2.852285267297028,-0.08270579847158692,0.19606994587499096,5.172503755519358,0.17448279420110263,-1.9188281579024062,-0.6822457163689545,-2.9745220081622588,-0.45162997789332543,0.4399719873916854,-0.2919918526354808,0.5,100,4597.0804,4632.766368,1755030900000000001,1755032100000000000,stop,-1.0002481052853218,40.29089499999993,19.999999999983334,0.11454010599665279,0.0,0,0.0,7203.680047073987,6987.5160275289645
XRPUSDT,1,1755044100000000000,1755039600000000000,1755032400000000000,3.2615,3.2571,3.2779999999999996,3.260075,3.344675,rejection,60.0,3.7499999999999747,0.8153750000000075,1.0,1.7267225392475647,-0.29389817647032945,0.3107569775591015,0.15909090909084256,0.32386363636359106,-0.11988962652199882,2.6081876885997946,0.36687273633968803,0.03398345153664256,1.1107386578441323,0.0991902834008035,-0.22813934864821123,-0.21264367816091792,-0.4254490555872084,-0.0638297872340446,-0.5259941213942492,0.07097318639532793,0.5,129,3.2621523,3.25644858,1755044100000000001,1755044580000000000,stop,-1.0000000490906098,0.00896301999999996,7.999999999983333,0.36363864411772084,0.0,0,0.0,6987.5160275289645,6777.890536412453
ETHUSDT,-1,1755054600000000000,1755051300000000000,1755049500000000000,4614.23,4648.01,4569.01,4563.20119047619,4639.494761904762,rejection,15.0,1.33866193013613,0.15025615748963592,1.0,3.6182679717742263,-0.15968114419309143,0.43631810221511386,0.45944345766726274,0.7479207195015265,-0.06752189164082305,3.000733497713286,-0.004242173167134211,0.11148040307958684,2.5984918932622327,0.39538695703079846,-1.6302868138328583,-0.4118231495280598,-0.7150449764892759,-0.0558491029737007,-1.012277800996609,0.9266959943157416,0.75,132,4613.317152,4648.939602,1755054600000000001,1755057060000000000,stop,-0.9997518942434532,40.26356800000066,40.99999999998333,0.11502031754860681,0.0,0,0.0,6777.890536412453,6574.604269329859
SOLUSDT,-1,1755077700000000000,1754758800000000000,1754751600000000000,200.89,202.01,197.66,196.63491666666664,201.89291666666665,rejection,60.0,2.8839285714285507,0.19730267857142778,1.0,5.617450347401632,-0.2053693725612249,0.35198235404577805,0.8571428571428608,0.8954613095238035,-0.10673758776558223,2.654913434791903,-0.0994708913377717,0.020365791809309516,3.5875100236354154,0.16323529411764878,-1.4390458899119238,-0.5428571428571652,-1.9237771370401413,-0.20169401799894365,-0.8833972373669482,0.12856026244553354,0.5,89,200.839824,202.050402,1755077700000000001,1755079020000000000,stop,-1.0071276028330305,1.4020300000000046,21.999999999983334,0.1436810289366129,0.0,0,0.0,6574.604269329859,6375.960306209478
