symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,phase,scale,rr,cost_r,sweep,deep_sweep,impulse_volume,impulse_flow,test_effort,test_result,acceptance,test_flow,width_atr,slope_atr,overshoot,reaction_volume,range_location,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode,entry_fill,exit_fill,entry_ts,exit_ts,reason,net_r,unit_risk,hold_minutes,fee_r,funding_r,censored,predicted_value,nav_before,nav_after
XRPUSDT,1,1763437800000000000,1763434800000000000,1763433000000000000,2.1668,2.1590999999999996,2.1791333333333327,2.106533333333333,2.1549333333333327,acceptance,15.0,1.6017316017314862,0.3095428571428466,0.0,0.0,5.243489254390345,-0.1352280455206678,0.5909317476905371,0.98701298701296,1.5411255411255496,-0.07630203294486287,2.2860740870214356,-0.051956229250488914,0.435261707989001,3.99772386156414,0.8702397743300377,1.128867162806041,0.23828514456630592,0.3400771369122663,0.021466905187834614,0.5009204975796298,2.694537176931359,1.0,97,2.16733338,2.15866818,1763437800000000001,1763437920000000000,stop,-1.0093278865934696,0.01072813000000026,1.9999999999833333,0.201619553454325,0.0,0,0.0,8944.874286331524,8674.024954553506
XRPUSDT,1,1763449800000000000,1763440200000000000,1763438400000000000,2.1445,2.1235,2.166,2.1314200000000003,2.19728,rejection,15.0,1.023809523809532,0.11233095238095286,1.0,0.0,2.4814100252045534,0.12769335396364356,0.3157496493752092,0.6142857142857022,0.6228571428571236,0.1303216643299605,2.673124385613125,0.06818780698193203,0.11873671424233499,1.6324571853095102,0.5147492625368715,-0.6575252816114899,-0.2913669064748288,1.0025231145557794,0.0914476119955588,-0.5243722221398117,0.6413760967565518,1.0,99,2.1449288999999996,2.166,1763449800000000001,1763452140000000000,target,0.8156478993313386,0.023987599999999908,38.99999999998333,0.06276844911537652,0.0,0,0.0,8674.024954553506,8886.273461541381
XRPUSDT,1,1763454000000000000,1763451900000000000,1763450100000000000,2.1752,2.1662999999999997,2.187818518518519,2.1187851851851853,2.1648074074074075,acceptance,15.0,1.4178110694964994,0.2688449438202208,0.0,0.0,2.215311032722046,-0.006500608327091872,0.5863989175980309,0.07865168539322366,1.1677070328755208,-0.006370014127693964,2.325893151567283,-0.05615386652745619,0.36488009013358846,1.7876176541694127,0.8896551724137897,2.2944469863119026,0.7721088435374164,1.3140004767424927,0.10375099760574746,0.0039881483396922365,0.05704560930283917,0.75,102,2.17563504,2.16586674,1763454000000000001,1763454180000000000,stop,-1.0000000745452984,0.01193905000000013,2.9999999999833333,0.18181939852835663,0.0,0,0.0,8886.273461541381,8619.685237822243
ETHUSDT,1,1763456100000000000,1763450100000000000,1763448300000000000,3060.39,3053.39,3079.99,2991.6561904761907,3053.554761904762,acceptance,15.0,2.799999999999987,0.4809184285714286,0.0,0.0,3.097553564414024,0.23689650920788297,0.33382318938630945,-0.3414285714286182,0.9764625850339793,0.15676906009222616,2.301314470030239,0.08312116932302496,0.21543692830821182,1.5900363669494715,0.9312969030757846,1.3046040141095414,0.47132303559434985,2.9226252935067403,0.22825866023983898,-0.013414268103318888,-0.15504721491272055,0.25,101,3061.002078,3052.779322,1763456100000000001,1763456700000000000,stop,-1.0000000620586957,11.279646,9.999999999983334,0.2710094536654785,0.0,0,0.0,8619.685237822243,8361.094664639782
SOLUSDT,-1,1763469000000000000,1763464500000000000,1763462700000000000,137.24,137.7,136.60500000000002,137.68,139.82999999999998,acceptance,15.0,1.3804347826087373,0.3281826086956668,0.0,0.0,0.7923128520734312,0.2385983062924798,0.6606278091427319,0.2173913043478234,0.9565217391304723,0.06861659975610376,2.25566339153445,-0.11540603398548412,0.37209302325582316,1.1603633036792245,0.6740740740740744,0.7344020344530726,0.2108433734939693,-0.3252351866863684,-0.02825888787602566,0.010231050293957988,-0.5119693783969494,0.0,104,137.21255200000002,137.72753999999998,1763469000000000001,1763469360000000000,stop,-1.0000000705025922,0.6524579999999796,5.999999999983333,0.21069562485248755,0.0,0,0.0,8361.094664639782,8110.261807016223
XRPUSDT,1,1763473800000000000,1763472600000000000,1763470800000000000,2.1638,2.1489,2.188257142857143,2.163157142857143,2.191214285714286,rejection,15.0,1.6414189837008302,0.15974362416107002,1.0,0.0,8.379037387253366,-0.228764415635616,0.1610765876476573,0.4832214765100619,0.04314477468839945,-0.18316383936820124,2.045801891651073,-0.07187389537877871,0.5045824847250526,4.4207384269358885,0.28244274809160586,-1.8010139871001258,-0.505112474437625,-1.1666487365830915,-0.08611410118407042,-0.9993710957979077,0.4502925134153366,0.75,107,2.16423276,2.188257142857143,1763473800000000001,1763476140000000000,target,1.2559156872200938,0.017918890000000357,38.99999999998333,0.08481372498918172,0.0,0,0.0,8110.261807016223,8415.835957943033
SOLUSDT,-1,1763480700000000000,1762851600000000000,1762844400000000000,140.55,142.09,137.13,132.719722222222,140.91305555555533,rejection,60.0,2.2207792207792427,0.10039285714285767,1.0,0.0,8.477195460997496,-0.04709778651249663,0.23532856807899538,-0.16883116883118227,0.23575036075020908,-0.055927782735627825,3.4523234523815782,0.07256714606986017,0.14242609167347622,3.724143534733379,0.28705440900562806,-0.8806374306929432,-0.3240310077519305,-1.0871026656400962,-0.15886699507389007,0.2338494157872772,0.23407010892899383,0.75,19,140.511892,142.118418,1763480700000000001,1763520900000000000,stop,-0.9963533343959269,1.737847999999992,669.9999999999833,0.08131617667367955,-0.009396970003543274,0,0.0,8415.835957943033,8164.281571390262
ETHUSDT,-1,1763525100000000000,1763521200000000000,1763519400000000000,3068.56,3075.92,3050.9466666666667,3075.721666666667,3125.271666666667,acceptance,15.0,2.3931159420289303,0.45861630434781814,0.0,0.0,4.229254899136424,0.0852771122371827,0.47523799589081467,1.0135869565217266,0.9730525362318936,0.015871651604863528,2.8339518850948533,-0.002001782360815794,0.20326269761184013,1.9326614791270942,0.9510101010101035,2.672665420594996,0.8610650451446406,2.3375098596130357,0.15829427940663443,0.3281044910340095,-0.1281054934365134,0.25,114,3067.946288,3050.9466666666667,1763525100000000001,1763528400000000000,target,1.2739289599229342,11.661136000000127,54.99999999998333,0.18387252128208692,0.0,0,0.0,8164.281571390262,8476.303013313036
BTCUSDT,1,1763529600000000000,1763492400000000000,1763485200000000000,91022.8,90800.09999999999,91934.0,90942.71481481484,94777.6814814815,rejection,60.0,4.091603053434888,0.449596228109541,1.0,0.0,4.936617636188927,-0.3366982344500592,0.36331948343627174,0.25460260440051247,0.35961017146456187,-0.17872343105608096,3.5387824184037178,0.07321647080757242,0.03716194355835617,2.7383948883468605,0.10934813577639443,-0.6050586180881133,-0.48965723246955417,-1.1465385587532166,-0.23567458887350756,0.16755937460979115,-0.43720276566256244,0.0,110,91041.00456,90781.93998,1763529600000000001,1763530140000000000,stop,-1.0000000636329123,349.97603000001163,8.999999999983334,0.2597648538101223,0.0,0,0.0,8476.303013313036,8222.013906732489
ETHUSDT,1,1763531700000000000,1763507700000000000,1763505900000000000,3011.44,2990.14,3042.4088888888887,3009.8988888888885,3050.5648888888886,rejection,15.0,1.453938445487716,0.15552037558685314,1.0,0.0,5.772521531219016,-0.37187893924980164,0.772688146043055,-0.008920187793429716,0.07235263432448784,-0.04961577116231465,2.7769734740290257,-0.18565054881375723,0.48563637655260605,4.35329874745724,0.15782060785767196,-3.223163034824398,-0.5782896348933877,-6.241464012350665,-0.4061139251755002,-0.1465455327219196,0.6898900217155539,0.75,112,3012.0322859999997,3042.4088888888887,1763531700000000001,1763533980000000000,target,1.1082697734016334,25.50110600000018,37.99999999998333,0.08291789072904378,0.0,0,0.0,8222.013906732489,8495.380191412072
BTCUSDT,1,1763535900000000000,1763533800000000000,1763532000000000000,91104.7,90903.29999999999,91562.29444444444,89502.69444444444,90875.7611111111,acceptance,15.0,2.2720677479862306,0.49759270109233195,0.0,0.0,1.1866856483200012,0.29795802757370904,0.8744058397853942,0.4369414101290774,1.136737283460196,0.22493004854597734,3.540527761725168,-0.2756904931960935,0.17547501132906407,0.9261300008661966,0.4382649526595329,1.6121125145396433,0.45502183406111396,-3.7432881275707075,-0.2572339860015916,0.01744579091136722,1.0516342376350045,1.0,116,91122.92094,91562.29444444444,1763535900000000001,1763537880000000000,target,1.1420109179574456,328.80560000000867,32.99999999998333,0.19426043643687094,0.0,0,0.0,8495.380191412072,8786.434699335832
SOLUSDT,-1,1763561100000000000,1763549100000000000,1763547300000000000,136.14,136.95,134.92999999999998,137.28074074074067,138.91407407407402,acceptance,15.0,1.4938271604938327,0.18488148148148095,0.0,0.0,3.162894751503107,0.22202321991273277,1.913716559005837,1.3209876543210106,1.4083219021489863,0.13566725999614332,2.082408816097475,0.11191176630728075,0.6984126984126536,3.956691893049394,1.0,2.855874947790798,0.7417218543046432,4.411306838998279,0.3545081967213209,0.8331054222409997,1.4635328499559401,1.0,118,136.12277,136.97738999999999,1763561100000000001,1763561760000000000,stop,-0.9900186882655279,1.0011630000000022,10.999999999983334,0.13639145673581593,0.0,0,0.0,8786.434699335832,8525.472662668817
