event_id,minute,perp_open,perp_high,perp_low,perp_close,perp_volume,perp_quote_volume,perp_taker_buy_quote,spot_open,spot_high,spot_low,spot_close,spot_quote_volume,long_liq_notional,short_liq_notional,open_interest,last_price_tick,index_price_tick,mark_price_tick,symbol,sample_day,perp_ret_1m,spot_ret_1m,perp_spot_basis,mark_index_basis,oi_change_15m,rolling_vwap_4h,perp_spot_basis_center,perp_spot_basis_scale,mark_index_basis_center,mark_index_basis_scale,dominant_liq,liq_total,liq_dominance,event_direction,directional_perp_return,directional_spot_return,futures_lead_return,directional_vwap_deviation,perp_basis_z_directional,mark_basis_z_directional,liq_share_of_perp_volume,liq_threshold_99,event_candidate,global_cluster_id,cluster_symbol_count,cluster_symbols,cluster_total_liquidation_notional,cluster_first_minute,cluster_last_minute,regime,reversal_return_1m,continuation_return_1m,reversal_return_5m,continuation_return_5m,reversal_return_15m,continuation_return_15m,reversal_return_30m,continuation_return_30m,reversal_return_60m,continuation_return_60m,reversal_mfe_30m,reversal_mae_30m,continuation_mfe_30m,continuation_mae_30m,vwap_reclaim_60m
211,2025-08-01 17:02:00+00:00,2.9972,2.9973,2.9892,2.9929,2708045.7,8106358.29046,2760805.0023,2.9982,2.9982,2.9904,2.9939,971094.91276,74606.74184,0.0,299138904.9,2.9926,2.99298684,2.9925,XRPUSDT,2025-08-01,-0.0014357024886433312,-0.001401869388462318,-0.00033401249206721495,-0.00016266025412925433,-0.0006846971797366264,3.004698865625815,-0.0003819823495833097,7.674535344868456e-05,-0.00030140637956915795,0.000115401078804177,74606.74184,74606.74184,1.0,-1,0.0014357024886433312,0.001401869388462318,3.3833100181013265e-05,0.003934534840109371,-0.6250522717074926,-1.2022948734763614,0.009203484371989978,47757.36847020002,True,212,1,XRPUSDT,74606.74184,2025-08-01 17:02:00+00:00,2025-08-01 17:02:00+00:00,FORCED_OI_DERIVATIVES_LEAD,-0.000668471564716719,0.000668471564716719,0.0027693916700613176,-0.0027693916700613176,0.005464676556036896,-0.005464676556036896,0.008649709605884869,-0.008649709605884869,0.0027027494388547784,-0.0027027494388547784,0.013264726519429226,-0.002806642386982472,0.002806642386982472,-0.013264726519429226,True
212,2025-08-01 18:03:00+00:00,114340.6,114353.8,114198.1,114265.3,813.731,92980442.3551,21306855.9508,114382.95,114385.73,114230.78,114307.59,6819636.8634108,222408.88515999998,0.0,88558.028,114270.1,114326.40673913,114285.37512319,BTCUSDT,2025-08-01,-0.0006596502518227965,-0.0006590565812452098,-0.00036996668375210984,-0.0003588988503210322,0.001006431745179892,115070.22463777674,-0.00042484442433537994,6.657648648747737e-05,-0.00037550886966492003,6.298167676660512e-05,222408.88515999998,222408.88515999998,1.0,-1,0.0006596502518227965,0.0006590565812452098,5.936705775866358e-07,0.00701965335987899,-0.824281116030241,-0.2637278046032429,0.002391996419102869,194876.20813649957,True,213,1,BTCUSDT,222408.88515999998,2025-08-01 18:03:00+00:00,2025-08-01 18:03:00+00:00,UNRESOLVED,-0.0005234804742276821,0.0005234804742276821,-0.00036062942479185827,0.00036062942479185827,-0.00026958448266941405,0.00026958448266941405,-0.0019228155584928236,0.0019228155584928236,-0.005224303698633663,0.005224303698633663,0.0007403822507794366,-0.005538864379649899,0.005538864379649899,-0.0007403822507794366,False
213,2025-08-01 18:16:00+00:00,3556.04,3559.45,3536.01,3538.63,42359.472,150151410.2997,40016997.18179,3557.3,3560.65,3539.55,3540.67,8997624.158778,204265.41274,0.0,2078590.744,3539.05,3541.19511628,3539.01566279,ETHUSDT,2025-08-01,-0.004919167996499496,-0.004688666489311544,-0.0005761621388041815,-0.0006154570472495235,-0.0005434666469058547,3597.106004527067,-0.0004745517787058118,8.994309963628722e-05,-0.00042499719928207336,0.00010784566535932461,204265.41274,204265.41274,1.0,-1,0.004919167996499496,0.004688666489311544,0.00023050150718795237,0.0163899879498083,1.1297182386337887,1.7660408263314826,0.0013603962315924256,184782.3312975,True,214,1,ETHUSDT,204265.41274,2025-08-01 18:16:00+00:00,2025-08-01 18:16:00+00:00,FORCED_BASIS_DISLOCATION,0.0020438993635229974,-0.0020438993635229974,0.0032276750128277343,-0.0032276750128277343,0.011229221492900426,-0.011229221492900426,0.008823148077223942,-0.008823148077223942,0.004623855448210595,-0.004623855448210595,0.012973947544671294,-0.0010258207272306752,0.0010258207272306752,-0.012973947544671294,False
214,2025-08-01 19:01:00+00:00,3553.01,3554.2,3541.31,3542.08,9247.801,32804585.32946,6376550.71927,3554.66,3555.77,3544.0,3544.27,1559266.905427,214310.59270000004,0.0,2070240.007,3543.39,3545.57395349,3543.53318992,ETHUSDT,2025-08-01,-0.003078191823767895,-0.0029243905826614736,-0.0006178987492487797,-0.000575580596194003,-0.003350218606249511,3581.8392500619516,-0.0004732138992428747,9.170707144521049e-05,-0.0004212860151889819,0.00010940780597137919,214310.59270000004,214310.59270000004,1.0,-1,0.003078191823767895,0.0029243905826614736,0.00015380124110642157,0.01116230027008816,1.577684770932257,1.4102703151307523,0.006532946249667709,188779.40927450007,True,215,1,ETHUSDT,214310.59270000004,2025-08-01 19:01:00+00:00,2025-08-01 19:01:00+00:00,FORCED_BASIS_DISLOCATION,0.0015487368480400412,-0.0015487368480400412,0.0020616325216515604,-0.0020616325216515604,0.00364937682304088,-0.00364937682304088,-0.00391212790314281,0.00391212790314281,-0.003591907089737739,0.003591907089737739,0.005059174270485078,-0.004997063872075103,0.004997063872075103,-0.005059174270485078,False
215,2025-08-01 19:21:00+00:00,113506.6,113527.8,113326.0,113439.2,1242.961,140994098.0127,28420379.9689,113561.97,113561.97,113377.88,113477.12,11340055.363302,1120200.93599,0.0,89013.147,113429.1,113465.90717391,113429.1,BTCUSDT,2025-08-01,-0.0005930934313607139,-0.00074744841472274,-0.00033416427910748503,-0.00032438972046100467,0.000684198267822067,114477.15562989136,-0.00039224847558155806,7.660666483653332e-05,-0.0003572302021057072,6.214385841165083e-05,1120200.93599,1120200.93599,1.0,-1,0.0005930934313607139,0.00074744841472274,-0.00015435498336202613,0.009108278366505474,-0.7582133564751272,-0.5284590059915809,0.007945020052464169,196283.5081260002,True,216,1,BTCUSDT,1120200.93599,2025-08-01 19:21:00+00:00,2025-08-01 19:21:00+00:00,SPOT_CONFIRMED_INFORMATION_MOVE,-0.0004293970388205394,0.0004293970388205394,-0.0010080961640741048,0.0010080961640741048,0.0033292778556223935,-0.0033292778556223935,-0.0010416286332140764,0.0010416286332140764,0.0010634404398520876,-0.0010634404398520876,0.0036557027905697037,-0.0023404607930944676,0.0023404607930944676,-0.0036557027905697037,False
216,2025-08-01 20:07:00+00:00,2.9922,2.993,2.9831,2.9831,2120189.7,6336524.60744,1984219.69459,2.9929,2.9937,2.9831,2.9833,1198100.87592,940367.47373,0.0,293418952.9,2.9843,2.98701579,2.98608504,XRPUSDT,2025-08-01,-0.003079294196061566,-0.003212746647498932,-6.703985519385114e-05,-0.0003115986206421173,-0.0035459451106667483,3.009458604623009,-0.00023284460776229476,9.93406759626466e-05,-0.0001752208846073633,0.00014476368424084588,940367.47373,940367.47373,1.0,-1,0.003079294196061566,0.003212746647498932,-0.00013345245143736584,0.008797168739870133,-1.6690519866282005,0.9420714646075183,0.14840429604358704,47865.597169999965,True,217,3,"ETHUSDT,SOLUSDT,XRPUSDT",1369864.7001069998,2025-08-01 20:07:00+00:00,2025-08-01 20:07:00+00:00,UNRESOLVED,0.0011725883716205557,-0.0011725883716205557,0.00030165407210360146,-0.00030165407210360146,0.0014404156246442773,-0.0014404156246442773,0.00036867595477335305,-0.00036867595477335305,0.014675071606011374,-0.014675071606011374,0.003888572290570158,-0.0058999027856926345,0.0058999027856926345,-0.003888572290570158,True
217,2025-08-01 20:15:00+00:00,113243.8,113258.9,113132.9,113139.7,89.021,10077122.9117,3522866.4856,113304.64,113304.65,113200.0,113200.01,532756.057599,238193.71949999998,0.0,89237.692,113150.1,113213.22891304,113158.44144565,BTCUSDT,2025-08-01,-0.0009187953473297483,-0.0009238663086339471,-0.0005327738045252106,-0.0004839316740280486,0.001045235368659414,114092.01369422986,-0.00039224847558155806,7.70958293515828e-05,-0.00035907878709445784,6.734779355459175e-05,238193.71949999998,238193.71949999998,1.0,-1,0.0009187953473297483,0.0009238663086339471,-5.070961304198818e-06,0.008381922173356435,1.8227358097778543,1.8538526705019027,0.023637075937959058,199237.57670330082,True,218,1,BTCUSDT,238193.71949999998,2025-08-01 20:15:00+00:00,2025-08-01 20:15:00+00:00,SPOT_CONFIRMED_INFORMATION_MOVE,0.00015378034540738152,-0.00015378034540738152,0.0032623145459978577,-0.0032623145459978577,0.0028931139755791263,-0.0028931139755791263,0.003486059526983822,-0.003486059526983822,0.0062057518693564954,-0.0062057518693564954,0.004682706424005145,-4.154156321778402e-05,4.154156321778402e-05,-0.004682706424005145,False
218,2025-08-01 20:40:00+00:00,3522.01,3522.83,3510.5,3510.51,11165.105,39248119.19111,11538531.1483,3523.81,3524.26,3511.98,3512.27,3145972.629593,317393.51002,586.6141200000001,2068275.716,3510.5,3512.96488372,3511.02,ETHUSDT,2025-08-01,-0.00327052329766353,-0.0032774006855120774,-0.0005011004279282805,-0.000553630276526107,-0.0036257277752735906,3549.7730760657087,-0.0004450479174845645,0.00011274526888579,-0.00039135812464347053,0.00012216817773110924,317393.51002,317980.12413999997,0.9981551862035826,-1,0.00327052329766353,0.0032774006855120774,-6.8773878485473006e-06,0.011122353141024435,0.497160643614205,1.328268579398766,0.008086846365160143,196095.2537670001,True,219,2,"ETHUSDT,SOLUSDT",519848.01902,2025-08-01 20:40:00+00:00,2025-08-01 20:40:00+00:00,UNRESOLVED,0.0017588802348686707,-0.0017588802348686707,0.002941111663613842,-0.002941111663613842,0.006753933869871126,-0.006753933869871126,0.009788117350141807,-0.009788117350141807,0.009802221463888962,-0.009802221463888962,0.01178746108115325,-0.0006665698146423038,0.0006665698146423038,-0.01178746108115325,True
219,2025-08-01 22:05:00+00:00,2.9864,2.9864,2.9752,2.9752,1524217.0,4541061.46718,2334026.77178,2.987,2.987,2.9761,2.9765,574666.35199,71443.54184,0.0,293973820.0,2.9756,2.97684474,2.9762,XRPUSDT,2025-08-01,-0.0037238992962729256,-0.00348794665582286,-0.00043675457752401226,-0.00021658502754173803,0.00037005384301980193,3.0012555920859705,-0.0001993554282674337,5.1991829633044234e-05,-0.0001446291912587938,8.69852004134572e-05,71443.54184,71443.54184,1.0,-1,0.0037238992962729256,0.00348794665582286,0.0002359526404500656,0.008719468175168546,4.566085689465634,0.8272192963966795,0.015732784582712656,49229.62730020006,True,220,2,"SOLUSDT,XRPUSDT",197721.35404,2025-08-01 22:05:00+00:00,2025-08-01 22:06:00+00:00,UNRESOLVED,-0.004277757167473672,0.004277757167473672,-0.004649134136241906,0.004649134136241906,-0.004379028117988052,0.004379028117988052,-0.017392922052417336,0.017392922052417336,-0.015957515107394266,0.015957515107394266,0.00016805592901314448,-0.02124226942726548,0.02124226942726548,-0.00016805592901314448,False
220,2025-08-01 22:23:00+00:00,113520.9,113520.9,113302.0,113312.4,383.588,43502041.9158,9859394.6949,113581.06,113581.06,113367.78,113369.56,3177907.8787491,274385.4667,3418.0319999999997,88982.76,113302.0,113370.89347826,113302.1,BTCUSDT,2025-08-01,-0.0018374740437945292,-0.0018639301528828867,-0.0005041917777576232,-0.0006068001772711051,-0.0008630173809409669,113621.17386723809,-0.0004490453270331596,8.788109469033176e-05,-0.00040890628935674744,8.815896697998608e-05,274385.4667,277803.4987,0.9876962240720693,-1,0.0018374740437945292,0.0018639301528828867,-2.6456109088357493e-05,0.0027212725955329227,0.6275121050640555,2.2447391875551777,0.006307415804322114,205858.55115739998,True,221,1,BTCUSDT,274385.4667,2025-08-01 22:23:00+00:00,2025-08-01 22:23:00+00:00,UNRESOLVED,0.0011933317727065686,-0.0011933317727065686,0.0001182501450824986,-0.0001182501450824986,-0.002418368043226776,0.002418368043226776,-0.0031644085542861886,0.0031644085542861886,0.0006166884555774357,-0.0006166884555774357,0.0028487614771199876,-0.005757534038639989,0.005757534038639989,-0.0028487614771199876,True
221,2025-08-01 22:27:00+00:00,3504.14,3504.59,3475.03,3479.03,49452.85,172318586.87613,38822772.40809,3506.03,3506.03,3478.0,3481.65,16371047.396397,485726.50176,0.0,2038513.059,3480.57,3480.6627907,3480.69521546,ETHUSDT,2025-08-01,-0.007191607313687953,-0.006986580522744035,-0.0007525167664755861,9.315685531641194e-06,-0.003312688709964151,3528.887420353084,-0.00043788725160842645,9.66498681257815e-05,-0.00039988658818695955,0.00010439699249967604,485726.50176,485726.50176,1.0,-1,0.007191607313687953,0.006986580522744035,0.0002050267909439185,0.014229123595630286,3.2553537937340624,-3.9196749247337808,0.0028187702241845858,196476.08811540002,True,222,1,ETHUSDT,485726.50176,2025-08-01 22:27:00+00:00,2025-08-01 22:27:00+00:00,FORCED_BASIS_DISLOCATION,0.0007441834080237228,-0.0007441834080237228,-0.004266020224103885,0.004266020224103885,-0.009681585152907948,0.009681585152907948,-0.002466369285878413,0.002466369285878413,0.001711655467708635,-0.001711655467708635,0.0026932794485818867,-0.014420686225758317,0.014420686225758317,-0.0026932794485818867,False
222,2025-08-01 22:41:00+00:00,2.9187,2.9213,2.9091,2.9095,3908928.5,11392213.16569,4492690.50434,2.9193,2.9221,2.9102,2.9108,2297767.56007,1795963.8725,0.0,291473753.1,2.9098,2.91109737,2.9104,XRPUSDT,2025-08-01,-0.0031570665527669295,-0.002915904023121474,-0.0004466126150887151,-0.00023955571091038852,-0.001317472354782634,2.9804312654059304,-0.00020159258958563075,9.492329999130868e-05,-0.00017002304989577333,0.00011044330721293113,1795963.8725,1795963.8725,1.0,-1,0.0031570665527669295,0.002915904023121474,0.0002411625296454556,0.02408676486668193,2.5812421768471885,0.6295778600740239,0.15764837318080704,50265.35787389977,True,223,2,"SOLUSDT,XRPUSDT",2460994.4442,2025-08-01 22:41:00+00:00,2025-08-01 22:41:00+00:00,FORCED_BASIS_DISLOCATION,-0.00010311581633910365,0.00010311581633910365,-0.0028912696973144255,0.0028912696973144255,0.005176474081053965,-0.005176474081053965,0.009713795298133768,-0.009713795298133768,0.016295444786155924,-0.016295444786155924,0.011754597009795642,-0.005671077504725952,0.005671077504725952,-0.011754597009795642,False
223,2025-08-01 23:02:00+00:00,3458.01,3459.37,3448.0,3453.72,11226.782,38767587.61609,13603864.44454,3460.01,3461.01,3450.58,3455.6,3102254.190165,289034.98169999995,0.0,2018295.51,3453.9,3454.44023256,3453.0,ETHUSDT,2025-08-01,-0.0012384762539756622,-0.0012753757362737872,-0.0005440444495891095,-0.00041692212429234043,-0.0019783900114848096,3504.190382641571,-0.0004418649844041833,0.00010202009861965203,-0.00040430400654239973,0.00010019505600742621,289034.98169999995,289034.98169999995,1.0,-1,0.0012384762539756622,0.0012753757362737872,-3.689948229812501e-05,0.014507593536694518,1.0015621095002885,0.1259355326774355,0.007455583374500187,199198.30494449998,True,224,1,ETHUSDT,289034.98169999995,2025-08-01 23:02:00+00:00,2025-08-01 23:02:00+00:00,UNRESOLVED,-0.00044309874441822433,0.00044309874441822433,0.0017039549464922888,-0.0017039549464922888,0.007988345528151315,-0.007988345528151315,0.004898629170797605,-0.004898629170797605,,,0.01010215072443632,-0.0018704469383735711,0.0018704469383735711,-0.01010215072443632,False
