symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,root_low,root_high,pool,shift,flow,delivery_minutes,first_leg_minutes,test_effort,test_progress_per_volume,parent_guard,rebound_ts,tip,tip_ts,relative_strength,market_direction,market_breadth,episode
ETHUSDT,-1,1754831700000000000,1754828700000000000,1754828100000000000,60.0,4194.73,4203.93,4181.35,1.4543478260867546,market,4194.73,4203.93,4195.5,4198.65,-0.10195716527477927,40,11,0.42237266526102074,0.6266612194621852,4331.99,1754829300000000000,4203.92,1754831580000000000,0.7425032759355754,-0.38531032087319383,0.25,103
ETHUSDT,-1,1754842500000000000,1754841000000000000,1754839500000000000,60.0,4220.24,4227.84,4212.01,1.0828947368419959,market,4220.24,4227.84,4227.83,4220.58,-0.01800762713046722,20,26,0.9788816450020896,1.0514535832471343,4331.99,1754841300000000000,4227.7,1754842140000000000,-0.07558540009728865,-0.29304564805769234,0.0,104
ETHUSDT,1,1754862240000000000,1754860200000000000,1754858700000000000,60.0,4197.31,4184.04,4214.15,1.2690278824414982,market,4184.04,4197.31,4184.05,4194.98,-0.15007666929097652,19,26,0.36902985166561475,1.9152193585879418,4161.02,1754861100000000000,4189.1,1754861940000000000,0.1539854541384743,-0.18819428239056968,0.0,106
ETHUSDT,1,1754883180000000000,1754879700000000000,1754877900000000000,60.0,4295.01,4281.99,4318.639999999999,1.8149001536097087,market,4281.99,4295.01,4291.96,4291.2,-0.15396718200767245,48,31,0.37246647723496257,1.1759582510403468,4184.05,1754880300000000000,4282.0,1754883120000000000,0.4581023483337799,-0.5272864495661307,0.0,110
ETHUSDT,1,1754912160000000000,1754907600000000000,1754904900000000000,60.0,4209.59,4190.599999999999,4263.5,2.838862559241595,market,4190.599999999999,4209.59,4208.31,4209.0,-0.131504479882819,66,46,1.474587750615036,0.4776995920107088,4184.05,1754908200000000000,4190.61,1754911860000000000,-0.1309936073047494,-0.465224296951983,0.25,115
ETHUSDT,-1,1754981760000000000,1754979000000000000,1754977500000000000,60.0,4293.28,4311.52,4271.01,1.2209429824560682,market,4293.28,4311.52,4296.0,4294.28,-0.15540900583631867,36,26,1.0054858856572533,0.9699198712304778,4349.67,1754979600000000000,4311.51,1754980980000000000,-0.40046138899833517,0.11478277430861805,0.5,124
ETHUSDT,-1,1754985240000000000,1754981100000000000,1754979600000000000,60.0,4308.55,4318.01,4288.150000000001,2.1564482029597842,market,4308.55,4318.01,4311.51,4311.53,-0.08057855207303843,54,26,0.7388916422498543,0.4803152704145008,4349.67,1754982000000000000,4318.0,1754984340000000000,0.912472606061683,-0.14253110305028605,0.25,124
ETHUSDT,1,1755037620000000000,1755034500000000000,1755032100000000000,60.0,4581.19,4561.07,4614.99,1.6799204771371952,market,4561.07,4581.19,4577.64,4579.02,-0.057898596998262164,42,41,0.6404595075261063,1.3179127703959668,4266.0,1755035100000000000,4561.08,1755036360000000000,-0.25581499601066116,0.9309037727297672,1.0,128
ETHUSDT,1,1755066720000000000,1755064500000000000,1755063600000000000,60.0,4626.18,4606.139999999999,4649.11,1.1442115768462267,market,4606.139999999999,4626.18,4620.57,4625.86,-0.222683430499244,22,16,0.7840577286841269,1.0694370419429233,4255.56,1755065400000000000,4606.15,1755066540000000000,-0.6664260678417642,0.28488147998512303,0.75,133
ETHUSDT,1,1755134280000000000,1755129900000000000,1755128700000000000,60.0,4730.26,4705.99,4764.73,1.4202719406674382,market,4705.99,4730.26,4727.87,4722.77,0.04742027117468384,43,21,0.9401532063622653,0.5473199493387707,4613.11,1755131700000000000,4706.0,1755133500000000000,0.654204540905882,0.12923692763862515,0.5,140
ETHUSDT,1,1755136980000000000,1755133500000000000,1755131700000000000,60.0,4725.06,4705.99,4747.99,1.202412165705225,market,4705.99,4725.06,4706.0,4723.07,-0.16756623653686398,28,31,0.37306166342341984,1.5914743804679714,4613.11,1755135300000000000,4716.5,1755136320000000000,-0.1736311433968301,-0.4235776763952464,0.25,140
ETHUSDT,1,1755161940000000000,1755159900000000000,1755158400000000000,60.0,4726.56,4720.219999999999,4742.46,2.5078864353307555,market,4720.219999999999,4726.56,4726.3,4725.31,-0.0433926316073141,24,26,0.9450352606931511,0.9237188242723868,4613.11,1755160500000000000,4720.23,1755161820000000000,-0.12028337361172584,0.3599991229215596,0.75,145
ETHUSDT,-1,1755180480000000000,1755177600000000000,1755177000000000000,60.0,4580.32,4637.87,4507.01,1.2738488271068507,market,4580.32,4637.87,4584.1,4585.0,0.003405260674882782,33,11,0.7935286652408183,0.4257913154907609,4767.0,1755178500000000000,4637.86,1755179580000000000,0.20039877027123976,1.2140479758730378,1.0,149
ETHUSDT,-1,1755221520000000000,1755219000000000000,1755218100000000000,60.0,4580.39,4596.01,4553.110000000001,1.7464788732394325,market,4580.39,4596.01,4590.0,4581.9,-0.12600806502235073,27,16,0.49501622941148254,0.9383581378939667,4767.0,1755219900000000000,4596.0,1755221460000000000,0.027557822796881903,-0.9532977112828573,0.0,156
ETHUSDT,1,1755232500000000000,1755231000000000000,1755229200000000000,60.0,4628.55,4620.0,4645.67,2.0023391812864944,market,4620.0,4628.55,4621.5,4628.5,-0.07191294190733832,20,31,0.8799895463580002,1.706860764727806,4451.0,1755231300000000000,4620.01,1755232320000000000,-0.23576752970518217,0.29624528365013586,1.0,156
ETHUSDT,1,1755233760000000000,1755232500000000000,1755231300000000000,60.0,4622.08,4611.99,4638.59,1.6362735381565887,market,4611.99,4622.08,4620.01,4620.41,-0.12214599547185645,16,21,1.4362607525204387,0.946938527970621,4451.0,1755232800000000000,4612.0,1755233580000000000,0.1745784747452015,-1.1091083638859511,0.0,156
ETHUSDT,1,1755235800000000000,1755233700000000000,1755232800000000000,60.0,4615.87,4603.44,4630.87,1.2067578439259572,market,4603.44,4615.87,4612.0,4615.5,-0.19019989694440353,25,16,0.9141324782220366,0.7219631076839673,4451.0,1755234300000000000,4603.45,1755235380000000000,-0.2438548034806238,0.4450567473783552,1.0,156
ETHUSDT,-1,1755309660000000000,1755306900000000000,1755301800000000000,60.0,4478.38,4488.34,4450.01,2.8483935742971673,market,4478.38,4488.34,4487.12,4482.13,-0.09059457006289717,36,86,0.4887965455936338,2.453886583280659,4666.0,1755307500000000000,4488.33,1755309300000000000,0.08031184652313517,0.09330679733051647,0.75,168
ETHUSDT,-1,1755351600000000000,1755347700000000000,1755347400000000000,60.0,4406.04,4426.75,4382.820000000001,1.1211974891356498,market,4406.04,4426.75,4407.37,4416.55,-0.03986824541127887,50,6,0.5768358704299376,0.265895298377886,4489.3,1755348600000000000,4426.74,1755350400000000000,0.5812798227366901,-0.07249626380967618,0.5,175
ETHUSDT,-1,1755356640000000000,1755354600000000000,1755352200000000000,60.0,4409.36,4417.280000000001,4390.66,2.3611111111107954,market,4409.36,4417.280000000001,4413.0,4410.29,-0.012547490920594928,24,41,0.8480052283960973,1.7354961589050082,4489.3,1755355200000000000,4417.27,1755356520000000000,-0.03490999568182751,-0.22237204201776123,0.25,178
ETHUSDT,-1,1755358260000000000,1755356700000000000,1755355200000000000,60.0,4407.1,4417.280000000001,4396.01,1.089390962671889,market,4407.1,4417.280000000001,4417.27,4407.47,0.12913942234361286,16,26,0.6555388529523728,1.5793294188125935,4489.3,1755357300000000000,4412.96,1755358080000000000,-0.044987953394918304,0.13571873105333587,0.75,178
SOLUSDT,1,1754799180000000000,1754797200000000000,1754796300000000000,60.0,184.85,184.3,185.69,1.5272727272727809,market,184.3,184.85,184.7,184.82,0.0014359177175873317,28,16,0.4918468397953873,1.2919236640676786,178.79,1754797500000000000,184.31,1754798880000000000,-0.3719528167665502,0.29499901458329314,0.75,98
SOLUSDT,1,1754806020000000000,1754804100000000000,1754799900000000000,60.0,182.19,181.55,182.98000000000002,1.2343750000000584,market,181.55,182.19,182.0,182.1,0.00043040944976779905,27,71,0.7336796835080804,1.2410065602174825,178.79,1754804400000000000,181.56,1754805240000000000,0.05558439506133406,0.1724338706383178,0.75,99
SOLUSDT,-1,1754939040000000000,1754937300000000000,1754935500000000000,60.0,177.83,178.29,177.29999999999998,1.1521739130435937,market,177.83,178.29,178.2,177.88,0.04396530521260522,14,31,0.22970049928549421,5.714660601878955,186.76,1754938200000000000,178.28,1754938800000000000,-0.030416619775543483,-0.02781884129352661,0.5,119
SOLUSDT,-1,1754964180000000000,1754960400000000000,1754958900000000000,60.0,175.7,176.32999999999998,174.85999999999999,1.3333333333333484,market,175.7,176.32999999999998,175.86,175.78,-0.17245014867986375,43,26,0.9565843586624615,0.8150684834906504,181.7,1754961600000000000,176.32,1754963340000000000,0.2963385384883511,0.6101436164471687,1.0,120
SOLUSDT,-1,1754966820000000000,1754963400000000000,1754961600000000000,60.0,176.26,176.67999999999998,175.45,1.9285714285714914,market,176.26,176.67999999999998,176.32,176.33,-0.26476709493488815,27,31,0.7664096770494945,1.2535011209217408,181.7,1754965200000000000,176.67,1754966400000000000,-0.0592204348533457,0.10410609999449906,0.75,120
SOLUSDT,-1,1754996220000000000,1754994900000000000,1754993700000000000,60.0,174.61,175.01999999999998,174.19,1.0243902439025574,market,174.61,175.01999999999998,174.99,174.63,-0.11161634719028446,12,21,0.45452173309280713,2.5771506232964363,181.7,1754995500000000000,175.01,1754996100000000000,0.08913389258284976,-0.6043133944646806,0.25,125
SOLUSDT,1,1755007440000000000,1755004200000000000,1755003300000000000,60.0,176.53,175.83,178.45000000000002,2.74285714285721,market,175.83,176.53,176.2,176.51,-0.08926116462455536,19,16,1.1271640147317796,0.7989405669079329,173.49,1755006300000000000,175.84,1755006900000000000,-0.4498020768804647,0.2257346276621799,0.75,126
SOLUSDT,1,1755039720000000000,1755036300000000000,1755035400000000000,60.0,191.95,190.99,193.28,1.3854166666667092,market,190.99,191.95,191.31,191.78,-0.2097450091182136,27,16,0.7347491658932122,0.7447335485964952,173.49,1755038100000000000,191.0,1755039300000000000,-0.6746579583193354,0.9460228715293582,1.0,128
SOLUSDT,1,1755057780000000000,1755056100000000000,1755055800000000000,60.0,198.17,197.19,199.43,1.285714285714319,market,197.19,198.17,197.94,198.15,-0.12864010823191796,18,6,0.8284739227425837,0.5814551513134364,173.6,1755056700000000000,197.2,1755057660000000000,-0.8712357018017824,0.7743717654799207,0.75,132
SOLUSDT,1,1755162060000000000,1755159000000000000,1755157500000000000,60.0,203.64,202.58,205.26000000000002,1.5283018867925215,market,202.58,203.64,203.56,203.6,-0.1462614401897746,41,26,0.9249007062412573,0.5420376778030677,194.6,1755159600000000000,202.59,1755160920000000000,0.3004425402591305,0.22270886389628847,0.75,145
SOLUSDT,-1,1755182700000000000,1755179700000000000,1755177900000000000,60.0,196.37,198.97,193.5,1.103846153846158,market,196.37,198.97,196.86,197.45,-0.0672317251293153,35,31,0.7494589933633607,1.1281802130185556,210.1,1755180600000000000,198.96,1755181980000000000,0.27369026476090563,-0.03896511064777339,0.5,149
SOLUSDT,-1,1755193620000000000,1755190500000000000,1755189000000000000,60.0,193.64,195.51,191.54,1.1229946524064114,market,193.64,195.51,193.78,193.67,-0.03501458935945956,32,26,0.9111159968165085,1.0793601029217947,210.1,1755191700000000000,195.5,1755192540000000000,0.01295337944868924,0.8943486799153675,1.0,151
SOLUSDT,-1,1755199860000000000,1755197100000000000,1755195900000000000,60.0,194.28,194.76999999999998,193.32,1.9591836734694812,market,194.28,194.76999999999998,194.6,194.46,-0.04372914930249139,11,21,0.6046331929274493,1.379000878589996,210.1,1755199200000000000,194.76,1755199800000000000,0.1537485758888847,-0.7173127144305034,0.0,153
SOLUSDT,-1,1755221760000000000,1755219000000000000,1755218100000000000,60.0,193.06,193.94,192.01999999999998,1.1818181818182112,market,193.06,193.94,193.93,193.09,-0.15726931560562818,16,16,0.7663021109689951,1.102254818411868,210.1,1755220800000000000,193.75,1755221400000000000,0.2532955633042933,-0.7050017194085172,0.0,156
SOLUSDT,-1,1755239760000000000,1755238200000000000,1755235500000000000,60.0,197.14,197.75,196.26,1.4426229508196324,market,197.14,197.75,197.74,197.22,-0.029353839900004397,16,46,0.809879733302767,1.540723313845139,210.1,1755238800000000000,197.73,1755239520000000000,0.16999035700510856,0.21339812667848906,0.75,158
