source_id,symbol,source_kind,source_side,source_price,source_timeframe_minutes,source_semantic_weight,source_confluence_weight,source_confluence_count,source_confluence_kinds,source_confluence_timeframes,source_accumulated,source_interaction_index,source_interaction_time_ns,line_slope_atr_per_hour,branch,side,confirmation_index,confirmation_time_ns,event_extreme,zone_lower,zone_upper,location_kind,event_strength,event_value_migration_atr,event_last_bar_flow_signed,event_consecutive_outside_closes,reason,counterfactual_mfe_r,counterfactual_mae_r,episode_id,entry_limit,response_index,response_time_ns,stop,target
XRPUSDT:ACTIVE_POOL:LOW:1755533700000000000:69ecf359fb8bea76,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.9847,15,11.312549778522126,11.312549778522126,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,52073,1755575640000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,52074.0,1.7555757e+18,2.9829,2.9838,2.9856000000000003,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.38721163433197,-0.16634536838751796,0.683509756646758,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,7.760000000000199,-3.2400000000000677,,,,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755495900000000000:9f57936d74ed8b4a,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,115640.4,15,8.705961210065222,8.705961210065222,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,50760,1755496860000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,50761.0,1.75549692e+18,115684.5,115640.0,115658.93999999999,TRANSFERRED_BOUNDARY_OB_OVERLAP,7.315249266863531,-0.13959133574106655,0.7301219264669098,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,7.629096722621501,-0.2262190247801886,,,,,,
BTCUSDT:ACTIVE_POOL:HIGH:1755521700000000000:4f64c4bdc6b3875b,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,115342.5,15,14.109722733450093,14.109722733450093,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,51176,1755521820000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51178.0,1.75552194e+18,115420.0,115293.8,115343.3,DIRECTIONAL_FVG,5.9613501722711195,0.21877450254653916,0.6100674787503385,2.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,7.3038580030227545,-5.375269465528909,,,,,,
ETHUSDT:DIAGONAL:60:LOW:1753495200000000000:1755457200000000000:7fcc2b107e8be86f,ETHUSDT,DIAGONAL_SUPPORT,LOW,4425.788284403669,60,5.093719417483691,5.093719417483691,1,DIAGONAL_SUPPORT,60,True,50489,1755480600000000000,0.41049223165853255,ACCEPTED_AUCTION_CONTINUATION,SHORT,50494.0,1.7554809e+18,4404.23,4428.84,4437.87,DIRECTIONAL_FVG,5.583804607175792,0.21022000624475107,0.40641992853305475,3.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,7.2317127641299,-0.2691093822857996,,,,,,
ETHUSDT:ACTIVE_POOL:LOW:1755560100000000000:fc321fc17eafbc63,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4314.45,60,47.813853595578514,47.813853595578514,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,60,True,51822,1755560580000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,51829.0,1.755561e+18,4305.05,4315.46,4317.97,DIRECTIONAL_FVG,5.409483106814626,0.042459613730921254,0.09364692052022028,5.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,7.206945791366722,-3.7516131249189173,,,,,,
ETHUSDT:ACTIVE_POOL:LOW:1755531000000000000:f545ee0f1da2dab2,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4278.43,15,14.928003189293976,14.928003189293976,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,51871,1755563520000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,51873.0,1.75556364e+18,4265.0,4283.53,4284.58,DIRECTIONAL_FVG,6.297333685891646,1.0426983336049394,0.10784676502655693,3.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,7.094737228554968,-7.793197129063388,,,,,,
XRPUSDT:15m:LOW:c3401:s2:1755514800000000000,XRPUSDT,DEFENDED_INTRADAY_SWING,LOW,2.9535,15,3.173354153031047,3.173354153031047,1,DEFENDED_INTRADAY_SWING,15,False,52709,1755613800000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52711.0,1.75561392e+18,2.9407,2.9482,2.9502,ORDER_BLOCK,6.072056632884985,0.9867118052988557,0.19091486510896316,3.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,6.503036437247051,-2.44180161943321,,,,,,
XRPUSDT:ACTIVE_POOL:LOW:1755302400000000000:3a7aa717ae2866e3,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,3.001,1440,272.29820291994673,272.29820291994673,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,1440,True,50599,1755487200000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50601.0,1.75548732e+18,2.9863,2.9938,3.0,DIRECTIONAL_FVG,7.35515811196974,1.021824778636473,0.4565923321112713,3.0,NEAREST_OPPOSING_LIQUIDITY_RR_BELOW_ONE,6.421875000000283,-1.5312500000000324,,2.9938000000000002,50605.0,1.75548756e+18,,
BTCUSDT:CONFLUENCE:LOW:50537:3860b22c4a1a19eb,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,115850.0,1440,230.47519974722593,355.6165998820802,3,ACCUMULATED_EQUAL_HIGH_LOW_POOL,60|1440,True,50537,1755483480000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50538.0,1.75548354e+18,115711.0,115883.1,115902.461,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.760930752140494,0.15888221141955322,0.31958531073023655,2.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.973881633787594,-1.8089070325803642,,,,,,
BTCUSDT:ACTIVE_POOL:LOW:1755604800000000000:d214d0b16bc1cda9,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,114303.8,240,135.37388202318152,135.37388202318152,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,240,True,52707,1755613680000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52708.0,1.75561374e+18,114100.4,114280.0,114444.4,DIRECTIONAL_FVG,5.406406475164767,0.25470265451504875,0.27148576022724097,2.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,5.909684913605505,-1.4940156402331395,,,,,,
